GSE,Title,PMID,Summary,Design,Experiment_type,Platform,Contributors,Organization_name,Country,Sample,Status,Submission_date,Last_update_date
GSE187438,Factors contributing to Chimeric Antigen Receptor T-cell Therapy efficacy in pediatric oncology patients,,"Immune cell populations are composed of multiple cell types and their functions are tightly connected through their interactions. Cancer immunotherapy enhances the immune system’s ability to recognize and fight cancer and diminish cancer’s ability to evade the immune system. In Chimeric Antigen Receptor T-cell (CAR-T) therapy, T-cells are engineered to eliminate cancer cells by targeting cell surface markers. Problems with CAR-T therapy include relapse due to loss of persistence of CAR-T cells and loss of CD19 expression on leukemia cells. The mechanisms of CAR-T failure need to be elucidated and exploring these mechanisms will identify potential treatment options and improve outcomes.Utilizing single-cell RNA seq (scRNA-seq), we investigated the interactions between CAR-T cells and the immune cells in pediatric ALL patients who’ve received CAR-T therapy. We analyzed the lymphocyte composition and gene expression profile at different time-points of ALL patients through CAR-T cell therapy. We have compared this data in responders with relapse patients after CAR-T infusion. Focusing on significantly altered immune cell populations and their gene markers, we  employ in vitro and in vivo models to validate their function.","PBMC or BMMC from the patients' blood or bone marrow were isloated by EasySep™ Direct Human PBMC Isolation Kit following the manufacturer’s instructions. Then they were used for single-cell RNA-Seq library generation by 10X Genomics Chromium Single Cell 3' Reagent kit (V2/V3).  The library were sequenced  by HiSeq 4000/Novaseq at the IGM Genomics core, UCSD.",Expression profiling by high throughput sequencing,Illumina HiSeq 4000 (Homo sapiens),Li N;Rana T;Zhu Z,"University of California, San Diego",USA,GSM5668378;GSM5668379;GSM5668380;GSM5668381;GSM5668382;GSM5668383;GSM5668384;GSM5668385;GSM5668386;GSM5668387;GSM5668388;GSM5668389;GSM5668390;GSM5668391;GSM5668392;GSM5668393;GSM5668394;GSM5668395;GSM5668396;GSM5668397,"Nov 02, 2023","Nov 03, 2021","Nov 02, 2023"
GSE246456,Pathophysiology of androgen-associated endothelial cell dysfunction in phenotype A polycystic ovarian syndrome revealed by iPSCs modeling,,"Abundant evidence suggests that women with polycystic ovary syndrome (PCOS) have increased metabolic aberrations and cardiovascular risks and present with signs of endothelial cell (EC) dysfunction. However, whether and how androgen is involved in the pathogenesis of EC dysfunction in PCOS remains unclear. Induced pluripotent stem cells (iPSCs) were established in two PCOS patients and two control participants and further differentiated into ECs via monoculture under chemically defined conditions. Both PCOS patients were phenotype A (present with oligomenorrhea, hyperandrogenism, and polycystic ovarian morphology) and were diagnosed with metabolic syndrome. Single-cell transcriptomic analysis of the iPSC-derived ECs revealed functional differences involving the cell cycle process, vascular endothelial growth factor (VEGF) signaling and apoptosis between the PCOS and control groups. Decreased expression of cell proliferation and cell cycle related genes were noted in the PCOS iPSC-derived ECs. Dihydrotestosterone (DHT) treatment significantly enhanced cell proliferation and angiogenic function in the control iPSC-derived ECs. In contrast, significantly deteriorated cell proliferation accompanied with diminished expression of androgen receptor/cyclin-dependent kinase 1/VEGF signaling pathway was shown in the PCOS iPSC-derived ECs after DHT treatment, alongside with impaired angiogenesis demonstrated by the tube formation and wound healing assay. In conclusion, disease-specific iPSCs were successfully established in phenotype A PCOS patients with metabolic syndrome and served as an effective platform for disease modeling in this specific subgroup. Both intrinsic and androgen-induced cellular proliferation and angiogenesis were significantly impaired in the PCOS iPSC-derived ECs, providing new pathogenic evidence for androgen-mediated EC dysfunction and possibly further cardiovascular consequences.",single-cell RNA-seq,Expression profiling by high throughput sequencing,Illumina NextSeq 500 (Homo sapiens),Wu CE;Ho HN,National Taiwan University Hospital,Taiwan,GSM7869173;GSM7869174;GSM7869175;GSM7869176,"Nov 01, 2023","Oct 27, 2023","Nov 01, 2023"
GSE233315,Immune landscape of PBMC based on single-cell rna sequancing in End Stage Renal Disease,,"Although an increase in studies has revealed the potential mechanisms underlying immune dysfunction during CKD progression, there are still many significant components that need to be clarified, such as the machinery of T-cell phenotype switching and the plasticity levels of different subsets. Fortunately, in the last decade, novel technologies such as single-cell RNA sequencing have enabled us to investigate transcriptomic profiles at the single-cell level and have enabled us to unravel the potential mechanisms of the heterogeneity of the cell phenotype underlying different diseases. In this study, we investigated the immune cell composition, function, and interaction with other cells in PBMCs (peripheral blood mononuclear cells) during the ESRD period, especially CD4+ T-cell plasticity and the involved signaling pathways and mediators, which could be potential therapeutic targets for preventing CKD progression and complications.","In this case‒control study, 14 male and 6 female ESRD patients who underwent standard hemodialysis were enrolled. Twenty healthy volunteers who were sex- and age-matched to ESRD patients comprised the healthy control group. All the participants were involved between June 1, 2022, and September 1, 2022. ESRD patients were required to meet the following inclusion/exclusion criteria. Inclusion criteria: ESRD patients receiving standard hemodialysis (HD) with arteriovenous fistulas (AVFs) for 5-10 years; the cause of kidney damage was primary kidney disease or diabetic nephropathy; and the discontinuation of corticosteroid and immunosuppression therapy for at least 1 year. Exclusion criteria: infection, tumor (including parenchymal tumor and hematological system tumor), autoimmune disease, acute infection, and other diseases; vaccination for COVID-19, influenza, and other viruses in the past 3 months; and an unwillingness or inability to cooperate due to individual reasons. Ficoll-Paque density gradient centrifugation was applied for PBMC isolation. Dead cells were removed using a Miltenyi ® Dead Cell Removal Kit (MACS, 130-090-101). Cell suspensions were resuspended in 1× PBS buffer with 0.04% BSA and centrifuged at 300 × g for 3 min at 4 °C (repeated twice). The cell pellet was resuspended in 50 μl of 1× PBS buffer with 0.04% BSA. The overall cell viability was confirmed by trypan blue exclusion. Cell viability above 85% was required for scRNA sequencing using a Countess II Automated Cell Counter. The PBMCs were diluted to a concentration of 1*106 cells/mL with sorting buffer. The 20 cellular suspensions from patients and controls were separately pooled with an equal volume.",Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Zhang R;Liu X;Li R,The Second Hospital of Shanxi Medical University,China,GSM7422419;GSM7422420,"Oct 31, 2023","May 24, 2023","Oct 31, 2023"
GSE229626,Gene expression profile at single cell level of human T cells stimulated via antibodies against the T Cell Receptor (TCR),,We used single cell RNA sequencing (scRNAseq) to compare gene expression in human T cells following stimulation with antibodies directed against a CD3 subunit (CD3ε) versus the TCRβ chain variable (V) domain,Purified human T cells from six healthy donors were stimulated with antibodies in vitro for 7 days and analyzed using scRNAseq,Expression profiling by high throughput sequencing,NextSeq 2000 (Homo sapiens),Vantourout P;Eum J;Conde Poole M;Hayday TS;Laing AG;Hussain K;Nuamah R;Kannambath S;Moisan J;Stoop A;Battaglia S;Servattalab R;Hsu J;Bayliffe A;Katragadda M;Hayday AC,Marengo Therapeutics,USA,GSM7169472;GSM7169473;GSM7169474;GSM7169475;GSM7169476;GSM7169477;GSM7169478;GSM7169479;GSM7169480;GSM7169481;GSM7169482;GSM7169483;GSM7169484;GSM7169485;GSM7169486;GSM7169487;GSM7169488;GSM7169489,"Oct 31, 2023","Apr 13, 2023","Oct 31, 2023"
GSE233276,Gene expression profiles of peripheral blood mononuclear cells (PBMC) from children with active idiopathic nephrotic syndrome (INS) and healthy controls (HC) [RTXrel_vs_RTXrem],,"An autoimmune B cell origin for childhood idiopathic nephrotic syndrome (INS) is predicted based on the efficacy of rituximab (RTX) at maintaining long-term remission from proteinuria. Knowledge regarding the nature of the culprit B cell response is very limited. In particular, no transcriptomics work has been performed to evaluate the B cell response in INS. Here, we performed single-cell RNA-sequencing (scRNAseq) on B cells isolated from peripheral blood mononuclear cells (PBMC) collected from four children with INS during the B cell recovery phase of a previous RTX treamtent while in remission or relapse (paired relapse-remisison samples). We show that the post-RTX B cell landscape is overwhelmingly antigen-inexperienced with minimal transcriptomic differences between relapse and remission. However, post-RTX relapses were associated with an early resurgence of an extrafollicular B cell population expressing genes associated with marginal zone B cells (MZB1, CD24, IGHM, CD1C, TNFRSF13B, GPR183). Together, our study provides evidence for an extrafollicular origin for humoral immunity in active INS.",PBMC were isolated from the blood of four children with INS during the B cell recovery phase of previous RTX treatments during relapse and remission. Live B cells were sorted by fluorescence-activated cell sorting (FACS) and analyzed by single-cell RNA-sequencing (scRNAseq).,Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Al-Aubodah T;Piccirillo CA;Takano T,McGill University,Canada,GSM7421512;GSM7421513;GSM7421514;GSM7421515;GSM7421516;GSM7421517;GSM7421518;GSM7421519,"Oct 29, 2023","May 23, 2023","Oct 30, 2023"
GSE233275,Gene expression profiles of peripheral blood mononuclear cells (PBMC) from children with active idiopathic nephrotic syndrome (INS) and healthy controls (HC) [HC_vs_INS],,"An autoimmune B cell origin for childhood idiopathic nephrotic syndrome (INS) is predicted based on the efficacy of rituximab (RTX) at maintaining long-term remission from proteinuria. Knowledge regarding the nature of the culprit B cell response is very limited. In particular, no transcriptomics work has been performed to evaluate the B cell response in INS. Using single-cell RNA-sequencing (scRNAseq) on peripheral blood mononuclear cells (PBMC) isolated from four affected children with active INS and four age/sex-matched health controls (HC), we demonstrate that a B cell transcriptional program poised for effector functions represents the major immune perturbation in the blood of children with active INS. We show that this nephrotic B cell signature is conferred by the engagement of memory B cells through an extrafollicular developmental route defined by expression of the interfollicular-homing gene GPR183 and the expansion of atypical B cells and marginal zone-like B cells. Moreover, we show that genes involved in APRIL signaling, which promotes extrafollicular antibody-secreting cell development, were substantially upregulated in B cells, monocytes, and dendritic cells from INS children. Collectively, our study provides evidence for an extrafollicular origin for humoral immunity in active INS.",PBMC were isolated from the blood of four children at either first onset or relapse of INS and four healthy age-matched controls. Live lymphocytes and monocytes were sorted by fluorescence-activated cell sorting (FACS) and analyzed by single-cell RNA-sequencing (scRNAseq).,Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Al-Aubodah T;Piccirillo CA;Takano T,McGill University,Canada,GSM7421504;GSM7421505;GSM7421506;GSM7421507;GSM7421508;GSM7421509;GSM7421510;GSM7421511,"Oct 29, 2023","May 23, 2023","Oct 30, 2023"
GSE237254,Early-to-mid stage idiopathic Parkinson’s disease shows enhanced cytotoxicity and differentiation in CD8 T-cells in females,,"Neuroinflammation in the brain contributes to the pathogenesis of Parkinson’s disease (PD), but the potential dysregulation of peripheral immunity has not been systematically investigated for idiopathic PD (iPD). Here we showed an elevated peripheral cytotoxic immune milieu, with more terminally-differentiated effector memory (TEMRA) CD8 T, CD8+ NKT cells and circulating cytotoxic molecules in fresh blood of early-to-mid iPD, especially in females, after analyzing >700 innate and adaptive features. This profile, also reflected by fewer CD8+FOXP3+ regulatory T cells, was confirmed in another subcohort. Co-expression between cytotoxic molecules was selectively enhanced in CD8 TEMRA and effector memory (TEM) cells. Single-cell RNA-sequencing analysis demonstrated the accelerated CD8 differentiation within CD8 compartments, enhanced cytotoxic pathways in CD8 TEMRA and TEM cells, while CD8 central-memory (TCM) and naïve cells were already more-active and transcriptionally-reprogrammed. Our work provides a comprehensive map of dysregulated peripheral immunity in iPD, proposing previously-unrecognized candidates for early diagnosis and treatments.","We compared samples between patients with early-to-mid idiopathic Parkinson’s diseases (iPD) and age-matched healthy controls (HC). Four HC were 59-65 years old (mean=62.33) while five iPD were 56-68 years old (mean=63.14) when they were sampled. Considering our female-biased data in clinical diagnostic values, we only selected female iPD vs age-matched HC for scRNA-seq. All the iPD and HC are CMV seropositive (for other inclusion and exclusion criteria, please refer to the manuscript). All the iPD have a Hoehn and Yahr (H&Y) staging scale of 2. All the PBMC were cryopreserved at the Luxembourg biobank (IBBL) and thawed (for detailed procedures, please refer to the manuscript text). After thawing, PBMC from each participant were stained with marker Abs and sorted into four CD8 subsets: CD8 Naïve (CD45RO-CCR7+), CD8 TCM (CD45RO+CCR7+), CD8 TEM (CD45RO+CCR7-) and CD8 TEMRA (CD45RO-CCR7-). For each subset, we pooled the sorted samples from the same group (HC or iPD) prior to scRNA-seq. The processed files provided in this dataset are the starting point of our scRNA-seq analysis. For detailed analysis steps, please refer to the Methods section of our manuscript including all the code depository information.",Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Capelle CM;Hedin F;Pavelka L;Grzyb K;Kyriakis D;Hunewald O;Tslaf V;Skupin A;Cosma A;Balling R;Krüger R;Ollert M;Hefeng FQ,Luxembourg Institute of Health,Luxembourg,GSM7597865;GSM7597866;GSM7597867;GSM7597868;GSM7597869;GSM7597870;GSM7597871;GSM7597872,"Oct 13, 2023","Jul 13, 2023","Oct 18, 2023"
GSE237579,Dendritic Cell Vaccination in Conjunction with TLR Agonist Polarizes Interferon Immune Responses Associated with Long-term Survival in Malignant Glioma Patients [scRNA-seq],37790490,"Autologous tumor lysate-pulsed dendritic cell (ATL-DC) vaccination is a promising immunotherapy for patients with high grade gliomas, but responses have not been demonstrated in all patients. Pre-clinical studies demonstrate that toll-like receptor (TLR) agonists can enhance the anti-tumor immune response from cancer vaccines.  To determine the most effective combination of autologous tumor lysate-pulsed DC vaccination, with or without the adjuvant toll-like receptor (TLR) agonists poly-ICLC or resiquimod, we conducted a randomized, open-label multi-arm Phase 2 clinical trial to evaluate immune responses and survival in 23 patients with newly diagnosed or recurrent WHO Grade III-IV malignant gliomas. Patients were randomized to receive ATL-DC vaccination with either a placebo, a TLR-7/8 agonist (resiquimod, topical 0.2%), or a TLR-3 agonist (poly-ICLC, 20 mcg/kg intramuscular).  Peripheral blood was obtained at baseline and following the vaccination cycle for immune monitoring. Mass cytometry, bulk and single-cell RNA sequencing analyses were performed. Analysis of the bulk RNAseq data (pre-treatment vs. post-treatment) demonstrated highly significant upregulation of type 1 and type 2 interferon gene expression selectively in patients who received adjuvant TLR agonist (either poly-ICLC or resiquimod) together with ATL-DC.  CyTOF analysis of patient peripheral blood mononuclear cells (PBMCs) showed increased levels of memory PD-1+ T-cell and monocyte populations after ATL-DC + TLR agonist administration.  In addition, scRNA-seq demonstrated a higher expression fold change of IFN-induced genes with poly-ICLC treatment in both peripheral blood monocytes and T lymphocytes. Median progression-free survival (PFS) was 8.1 months (5.5 placebo vs. 8.1 resiquimod vs. 31.4 poly-ICLC), and median overall survival (OS) was 26.6 months (7.7 placebo vs. 16.7 resiquimod vs. 52.5 poly-ICLC).   Patients who had higher expression of interferon response genes lived significantly longer and had longer time to progression compared to those with lower expression.  The results suggest that ATL-DC in conjunction with adjuvant poly-ICLCTL induces a polarized interferon response in circulating monocytes and specific activation of a CD8+ T cell population. This combination was associated with extended survival in this patient population. This interferon response signature may represent an important blood biomarker for immunotherapy in patients with malignant glioma.","The cells for scRNAseq analysis were resuspended in PBS at a concentration of 1,000 cells/µl. We only selected representative patients from each treatment group whose PBMC quality were sufficient for single cell RNAseq processing (Placebo: 2 pairs, Poly-ICLC: 3 pairs (1 sample failed and is not included), Resiquimod (2 pairs); PBMC of two normal donors are added to provide a normal reference). Cell preparation, library preparation, and sequencing were carried out according to Chromium product-based manufacturer protocols (10X Genomics), targeting for a total of 10,000 cells sequenced. Cells from post-treatment samples (Placebo, Poly-ICLC, or Resiquimod), were compared to the pre-treatment samples to identify differentially expressed genes associated with each treatment.",Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Everson RG;Hugo W;Sun L;Antonios J;Lee A;Ding L;Bu M;Lu B;Khattab S;Chavez C;Billingslea-Yoon E;Salazar A;Ellingson BM;Cloughesy TF;Liau LM;Prins RM,UCLA,USA,GSM7633484;GSM7633485;GSM7633487;GSM7633488;GSM7633489;GSM7633490;GSM7633492;GSM7633493;GSM7633494;GSM7633496;GSM7633497;GSM7633498;GSM7633499;GSM7633501;GSM7633502;GSM7633503,"Oct 11, 2023","Jul 17, 2023","Oct 11, 2023"
GSE237562,Dendritic Cell Vaccination in Conjunction with TLR Agonist Polarizes Interferon Immune Responses Associated with Long-term Survival in Malignant Glioma Patients [Bulk RNA-seq],37790490,"Autologous tumor lysate-pulsed dendritic cell (ATL-DC) vaccination is a promising immunotherapy for patients with high grade gliomas, but responses have not been demonstrated in all patients. Pre-clinical studies demonstrate that toll-like receptor (TLR) agonists can enhance the anti-tumor immune response from cancer vaccines.  To determine the most effective combination of autologous tumor lysate-pulsed DC vaccination, with or without the adjuvant toll-like receptor (TLR) agonists poly-ICLC or resiquimod, we conducted a randomized, open-label multi-arm Phase 2 clinical trial to evaluate immune responses and survival in 23 patients with newly diagnosed or recurrent WHO Grade III-IV malignant gliomas. Patients were randomized to receive ATL-DC vaccination with either a placebo, a TLR-7/8 agonist (resiquimod, topical 0.2%), or a TLR-3 agonist (poly-ICLC, 20 mcg/kg intramuscular).  Peripheral blood was obtained at baseline and following the vaccination cycle for immune monitoring. Mass cytometry, bulk and single-cell RNA sequencing analyses were performed. Analysis of the bulk RNAseq data (pre-treatment vs. post-treatment) demonstrated highly significant upregulation of type 1 and type 2 interferon gene expression selectively in patients who received adjuvant TLR agonist (either poly-ICLC or resiquimod) together with ATL-DC.  CyTOF analysis of patient peripheral blood mononuclear cells (PBMCs) showed increased levels of memory PD-1+ T-cell and monocyte populations after ATL-DC + TLR agonist administration.  In addition, scRNA-seq demonstrated a higher expression fold change of IFN-induced genes with poly-ICLC treatment in both peripheral blood monocytes and T lymphocytes. Median progression-free survival (PFS) was 8.1 months (5.5 placebo vs. 8.1 resiquimod vs. 31.4 poly-ICLC), and median overall survival (OS) was 26.6 months (7.7 placebo vs. 16.7 resiquimod vs. 52.5 poly-ICLC).   Patients who had higher expression of interferon response genes lived significantly longer and had longer time to progression compared to those with lower expression.  The results suggest that ATL-DC in conjunction with adjuvant poly-ICLCTL induces a polarized interferon response in circulating monocytes and specific activation of a CD8+ T cell population. This combination was associated with extended survival in this patient population. This interferon response signature may represent an important blood biomarker for immunotherapy in patients with malignant glioma.","Total RNA was isolated from frozen PBMC of the patients isolated at baseline and after receiving vaccines with ATL-DC plus adjuvant (placebo: 5 pairs, resiquimod: 9 pairs and poly-ICLC: 9 pairs). The RNA were sent for RNA sequencing. For each pair, we compute gene expression changes pre- vs. post- ATL-DC+adjuvant treatment and compare the changes among the patients treated with placebo vs. resiquimod or poly-ICLC.",Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Everson RG;Hugo W;Sun L;Antonios J;Lee A;Ding L;Bu M;Lu B;Khattab S;Chavez C;Billingslea-Yoon E;Salazar A;Ellingson BM;Cloughesy TF;Liau LM;Prins RM,UCLA,USA,GSM7626248;GSM7626249;GSM7626250;GSM7626252;GSM7626253;GSM7626254;GSM7626255;GSM7626257;GSM7626258;GSM7626259;GSM7626261;GSM7626262;GSM7626263;GSM7626264;GSM7626266;GSM7626267;GSM7626268;GSM7626269;GSM7626271;GSM7626272;GSM7626273;GSM7626275;GSM7626276;GSM7626277;GSM7626278;GSM7626280;GSM7626281;GSM7626282;GSM7626284;GSM7626285;GSM7626286;GSM7626287;GSM7626289;GSM7626290;GSM7626291;GSM7626292;GSM7626294;GSM7626295;GSM7626296;GSM7626297;GSM7626299;GSM7626300;GSM7626301;GSM7626303;GSM7626304;GSM7626305;GSM7626307;GSM7626308,"Oct 11, 2023","Jul 17, 2023","Oct 11, 2023"
GSE189050,Molecular Dissection of Disease Heterogeneity in SLE,37606045,"Systemic lupus erythematosus (SLE) affects 1 in 537 of African American (AA) women, which is >2-fold more than European American (EA) women. AA patients also develop the disease at a younger age, have more severe symptoms, and a greater chance of early mortality. We used a multi-omics approach to uncover ancestry-specific immune alterations in SLE patients and healthy controls that may contribute to disease disparities. Cell composition, signaling, and epigenetics were evaluated by mass cytometry; droplet-based single cell transcriptomics and paired proteogenomics (scRNA-Seq/scCITE-Seq).  Soluble mediator levels were measured in plasma and stimulated whole blood. TLR3/4/7/8/9 gene expression pathways in B cells and monocytes were enhanced in AA SLE patients compared to EA patients. TLR7/8/9 and IFN phospho-signaling responses were also heightened in healthy AA versus EA controls. Exposure of AA and EA healthy control cells to TLR7/8/9 agonists or IFN resulted in altered immune cell compositions that recapitulated the ancestry-associated differences in SLE patients. These data support that ancestry-based differences in TLR7/8, TLR9, and IFN responses that can be detected in healthy individuals could influence lupus disease course and severity.","multiplexed scRNA-seq with CITEseq profiles of PBMCs from both healthy controls and SLE patients with high and low disease activity.Please note that [1] the SUBnnnnn accessions (in the sample title) are deidentified names for the individual demultiplexed samples [2] The ""sample.csv"" has sample characteristics for each sample [3] Each processed data file was generated from *cite, *gex, and *hto raw data  and is linked to the *cite sample records.",Expression profiling by high throughput sequencing,Illumina NovaSeq 6000 (Homo sapiens),Webb S;Thomas K;Smith M,Oklahoma Medical Research Foundation,USA,GSM5693865;GSM5693866;GSM5693867;GSM5693868;GSM5693869;GSM5693870;GSM5693871;GSM5693872;GSM5693873;GSM5693874;GSM5693875;GSM5693876;GSM5693877;GSM5693878;GSM5693879;GSM5693880;GSM5693881;GSM5693882;GSM5693883;GSM5693884;GSM5693885;GSM5693886;GSM5693887;GSM5693888;GSM5693889;GSM5693890;GSM5693891;GSM5693892;GSM5693893;GSM5693894,"Oct 11, 2023","Nov 17, 2021","Oct 12, 2023"
