PMID,DOI,Title,Abstract,Author 1st,Affiliation 1st,Journel,Publication time
37853083,10.1038/s41598-023-44693-4,"Thymic T cell development comprises T cell receptor (TCR) recombination and assessment of TCR avidity towards self-peptide-MHC complexes presented by antigen-presenting cells. Self-reactivity may lead to negative selection, or to agonist selection and differentiation into unconventional lineages such as regulatory T cells and CD8[Formula: see text] T cells. To explore the effect of the adaptive immune receptor repertoire on thymocyte developmental decisions, we performed single cell adaptive immune receptor repertoire sequencing (scAIRR-seq) of thymocytes from human young paediatric thymi and blood. Thymic PDCD1(+) cells, a putative CD8[Formula: see text] T cell precursor population, exhibited several TCR features previously associated with thymic and peripheral ZNF683(+) CD8[Formula: see text] T cells, including enrichment of large and positively charged complementarity-determining region 3 (CDR3) amino acids. Thus, the TCR repertoire may partially explain the decision between conventional vs. agonist selected thymocyte differentiation, an aspect of importance for the development of therapies for patients with immune-mediated diseases.","Thymic T cell development comprises T cell receptor (TCR) recombination and assessment of TCR avidity towards self-peptide-MHC complexes presented by antigen-presenting cells. Self-reactivity may lead to negative selection, or to agonist selection and differentiation into unconventional lineages such as regulatory T cells and CD8[Formula: see text] T cells. To explore the effect of the adaptive immune receptor repertoire on thymocyte developmental decisions, we performed single cell adaptive immune receptor repertoire sequencing (scAIRR-seq) of thymocytes from human young paediatric thymi and blood. Thymic PDCD1(+) cells, a putative CD8[Formula: see text] T cell precursor population, exhibited several TCR features previously associated with thymic and peripheral ZNF683(+) CD8[Formula: see text] T cells, including enrichment of large and positively charged complementarity-determining region 3 (CDR3) amino acids. Thus, the TCR repertoire may partially explain the decision between conventional vs. agonist selected thymocyte differentiation, an aspect of importance for the development of therapies for patients with immune-mediated diseases.","Heimli, Marte","Department of Medical Genetics, University of Oslo and Oslo University Hospital, 0424, Oslo, Norway.",Sci Rep,2023 Oct 18
36609611,10.1038/s41467-022-35778-1,"Richter's Transformation (RT) is a poorly understood and fatal progression of chronic lymphocytic leukemia (CLL) manifesting histologically as diffuse large B-cell lymphoma. Protein arginine methyltransferase 5 (PRMT5) is implicated in lymphomagenesis, but its role in CLL or RT progression is unknown. We demonstrate herein that tumors uniformly overexpress PRMT5 in patients with progression to RT. Furthermore, mice with B-specific overexpression of hPRMT5 develop a B-lymphoid expansion with increased risk of death, and Emicro-PRMT5/TCL1 double transgenic mice develop a highly aggressive disease with transformation that histologically resembles RT; where large-scale transcriptional profiling identifies oncogenic pathways mediating PRMT5-driven disease progression. Lastly, we report the development of a SAM-competitive PRMT5 inhibitor, PRT382, with exclusive selectivity and optimal in vitro and in vivo activity compared to available PRMT5 inhibitors. Taken together, the discovery that PRMT5 drives oncogenic pathways promoting RT provides a compelling rationale for clinical investigation of PRMT5 inhibitors such as PRT382 in aggressive CLL/RT cases.","Richter's Transformation (RT) is a poorly understood and fatal progression of chronic lymphocytic leukemia (CLL) manifesting histologically as diffuse large B-cell lymphoma. Protein arginine methyltransferase 5 (PRMT5) is implicated in lymphomagenesis, but its role in CLL or RT progression is unknown. We demonstrate herein that tumors uniformly overexpress PRMT5 in patients with progression to RT. Furthermore, mice with B-specific overexpression of hPRMT5 develop a B-lymphoid expansion with increased risk of death, and Emicro-PRMT5/TCL1 double transgenic mice develop a highly aggressive disease with transformation that histologically resembles RT; where large-scale transcriptional profiling identifies oncogenic pathways mediating PRMT5-driven disease progression. Lastly, we report the development of a SAM-competitive PRMT5 inhibitor, PRT382, with exclusive selectivity and optimal in vitro and in vivo activity compared to available PRMT5 inhibitors. Taken together, the discovery that PRMT5 drives oncogenic pathways promoting RT provides a compelling rationale for clinical investigation of PRMT5 inhibitors such as PRT382 in aggressive CLL/RT cases.","Hing, Zachary A","Division of Hematology, Department of Internal Medicine, The Ohio State University, Columbus, OH, USA.",Nat Commun,2023 Jan 6
33846646,10.1038/s41587-021-00865-z,"Methods for quantifying gene expression(1) and chromatin accessibility(2) in single cells are well established, but single-cell analysis of chromatin regions with specific histone modifications has been technically challenging. In this study, we adapted the CUT&amp;Tag method(3) to scalable nanowell and droplet-based single-cell platforms to profile chromatin landscapes in single cells (scCUT&amp;Tag) from complex tissues and during the differentiation of human embryonic stem cells. We focused on profiling polycomb group (PcG) silenced regions marked by histone H3 Lys27 trimethylation (H3K27me3) in single cells as an orthogonal approach to chromatin accessibility for identifying cell states. We show that scCUT&amp;Tag profiling of H3K27me3 distinguishes cell types in human blood and allows the generation of cell-type-specific PcG landscapes from heterogeneous tissues. Furthermore, we used scCUT&amp;Tag to profile H3K27me3 in a patient with a brain tumor before and after treatment, identifying cell types in the tumor microenvironment and heterogeneity in PcG activity in the primary sample and after treatment.","Methods for quantifying gene expression(1) and chromatin accessibility(2) in single cells are well established, but single-cell analysis of chromatin regions with specific histone modifications has been technically challenging. In this study, we adapted the CUT&amp;Tag method(3) to scalable nanowell and droplet-based single-cell platforms to profile chromatin landscapes in single cells (scCUT&amp;Tag) from complex tissues and during the differentiation of human embryonic stem cells. We focused on profiling polycomb group (PcG) silenced regions marked by histone H3 Lys27 trimethylation (H3K27me3) in single cells as an orthogonal approach to chromatin accessibility for identifying cell states. We show that scCUT&amp;Tag profiling of H3K27me3 distinguishes cell types in human blood and allows the generation of cell-type-specific PcG landscapes from heterogeneous tissues. Furthermore, we used scCUT&amp;Tag to profile H3K27me3 in a patient with a brain tumor before and after treatment, identifying cell types in the tumor microenvironment and heterogeneity in PcG activity in the primary sample and after treatment.","Wu, Steven J","Basic Sciences Division, Fred Hutchinson Cancer Research Center, Seattle, WA, USA.",Nat Biotechnol,2021 Jul
36599369,10.1038/s41586-022-05670-5,"Acute viral infections can have durable functional impacts on the immune system long after recovery, but how they affect homeostatic immune states and responses to future perturbations remain poorly understood(1-4). Here we use systems immunology approaches, including longitudinal multimodal single-cell analysis (surface proteins, transcriptome and V(D)J sequences) to comparatively assess baseline immune statuses and responses to influenza vaccination in 33 healthy individuals after recovery from mild, non-hospitalized COVID-19 (mean, 151 days after diagnosis) and 40 age- and sex-matched control individuals who had never had COVID-19. At the baseline and independent of time after COVID-19, recoverees had elevated T cell activation signatures and lower expression of innate immune genes including Toll-like receptors in monocytes. Male individuals who had recovered from COVID-19 had coordinately higher innate, influenza-specific plasmablast, and antibody responses after vaccination compared with healthy male individuals and female individuals who had recovered from COVID-19, in part because male recoverees had monocytes with higher IL-15 responses early after vaccination coupled with elevated prevaccination frequencies of 'virtual memory'-like CD8(+) T cells poised to produce more IFNgamma after IL-15 stimulation. Moreover, the expression of the repressed innate immune genes in monocytes increased by day 1 to day 28 after vaccination in recoverees, therefore moving towards the prevaccination baseline of the healthy control individuals. By contrast, these genes decreased on day 1 and returned to the baseline by day 28 in the control individuals. Our study reveals sex-dimorphic effects of previous mild COVID-19 and suggests that viral infections in humans can establish new immunological set-points that affect future immune responses in an antigen-agnostic manner.","Acute viral infections can have durable functional impacts on the immune system long after recovery, but how they affect homeostatic immune states and responses to future perturbations remain poorly understood(1-4). Here we use systems immunology approaches, including longitudinal multimodal single-cell analysis (surface proteins, transcriptome and V(D)J sequences) to comparatively assess baseline immune statuses and responses to influenza vaccination in 33 healthy individuals after recovery from mild, non-hospitalized COVID-19 (mean, 151 days after diagnosis) and 40 age- and sex-matched control individuals who had never had COVID-19. At the baseline and independent of time after COVID-19, recoverees had elevated T cell activation signatures and lower expression of innate immune genes including Toll-like receptors in monocytes. Male individuals who had recovered from COVID-19 had coordinately higher innate, influenza-specific plasmablast, and antibody responses after vaccination compared with healthy male individuals and female individuals who had recovered from COVID-19, in part because male recoverees had monocytes with higher IL-15 responses early after vaccination coupled with elevated prevaccination frequencies of 'virtual memory'-like CD8(+) T cells poised to produce more IFNgamma after IL-15 stimulation. Moreover, the expression of the repressed innate immune genes in monocytes increased by day 1 to day 28 after vaccination in recoverees, therefore moving towards the prevaccination baseline of the healthy control individuals. By contrast, these genes decreased on day 1 and returned to the baseline by day 28 in the control individuals. Our study reveals sex-dimorphic effects of previous mild COVID-19 and suggests that viral infections in humans can establish new immunological set-points that affect future immune responses in an antigen-agnostic manner.","Sparks, Rachel","Multiscale Systems Biology Section, Laboratory of Immune System Biology, NIAID, NIH, Bethesda, MD, USA.",Nature,2023 Feb
35668194,10.1038/s43018-022-00391-0,"A complete chart of the chromatin regulatory elements of immune cells in patients with cancer and their dynamic behavior is necessary to understand the developmental fates and guide therapeutic strategies. Here, we map the single-cell chromatin landscape of immune cells from blood, normal tumor-adjacent kidney tissue and malignant tissue from patients with early-stage clear cell renal cell carcinoma (ccRCC). We catalog the T cell states dictated by tissue-specific and developmental-stage-specific chromatin accessibility patterns, infer key chromatin regulators and observe rewiring of regulatory networks in the progression to dysfunction in CD8(+) T cells. Unexpectedly, among the transcription factors orchestrating the path to dysfunction, NF-kappaB is associated with a pro-apoptotic program in late stages of dysfunction in tumor-infiltrating CD8(+) T cells. Importantly, this epigenomic profiling stratified ccRCC patients based on a NF-kappaB-driven pro-apoptotic signature. This study provides a rich resource for understanding the functional states and regulatory dynamics of immune cells in ccRCC.","A complete chart of the chromatin regulatory elements of immune cells in patients with cancer and their dynamic behavior is necessary to understand the developmental fates and guide therapeutic strategies. Here, we map the single-cell chromatin landscape of immune cells from blood, normal tumor-adjacent kidney tissue and malignant tissue from patients with early-stage clear cell renal cell carcinoma (ccRCC). We catalog the T cell states dictated by tissue-specific and developmental-stage-specific chromatin accessibility patterns, infer key chromatin regulators and observe rewiring of regulatory networks in the progression to dysfunction in CD8(+) T cells. Unexpectedly, among the transcription factors orchestrating the path to dysfunction, NF-kappaB is associated with a pro-apoptotic program in late stages of dysfunction in tumor-infiltrating CD8(+) T cells. Importantly, this epigenomic profiling stratified ccRCC patients based on a NF-kappaB-driven pro-apoptotic signature. This study provides a rich resource for understanding the functional states and regulatory dynamics of immune cells in ccRCC.","Kourtis, Nikos","Regeneron Pharmaceuticals, Tarrytown, NY, USA.",Nat Cancer,2022 Jul
28192419,10.1038/nmeth.4179,"Single-cell RNA-seq can precisely resolve cellular states, but applying this method to low-input samples is challenging. Here, we present Seq-Well, a portable, low-cost platform for massively parallel single-cell RNA-seq. Barcoded mRNA capture beads and single cells are sealed in an array of subnanoliter wells using a semipermeable membrane, enabling efficient cell lysis and transcript capture. We use Seq-Well to profile thousands of primary human macrophages exposed to Mycobacterium tuberculosis.","Single-cell RNA-seq can precisely resolve cellular states, but applying this method to low-input samples is challenging. Here, we present Seq-Well, a portable, low-cost platform for massively parallel single-cell RNA-seq. Barcoded mRNA capture beads and single cells are sealed in an array of subnanoliter wells using a semipermeable membrane, enabling efficient cell lysis and transcript capture. We use Seq-Well to profile thousands of primary human macrophages exposed to Mycobacterium tuberculosis.","Gierahn, Todd M","Koch Institute for Integrative Cancer Research, MIT, Cambridge, Massachusetts, USA.",Nat Methods,2017 Apr
37024479,10.1038/s41467-023-37614-6,"Despite the intense CD8+ T-cell infiltration in the tumor microenvironment of nasopharyngeal carcinoma, anti-PD-1 immunotherapy shows an unsatisfactory response rate in clinical trials, hindered by immunosuppressive signals. To understand how microenvironmental characteristics alter immune homeostasis and limit immunotherapy efficacy in nasopharyngeal carcinoma, here we establish a multi-center single-cell cohort based on public data, containing 357,206 cells from 50 patient samples. We reveal that nasopharyngeal carcinoma cells enhance development and suppressive activity of regulatory T cells via CD70-CD27 interaction. CD70 blocking reverts Treg-mediated suppression and thus reinvigorate CD8+ T-cell immunity. Anti-CD70+ anti-PD-1 therapy is evaluated in xenograft-derived organoids and humanized mice, exhibiting an improved tumor-killing efficacy. Mechanistically, CD70 knockout inhibits a collective lipid signaling network in CD4+ naive and regulatory T cells involving mitochondrial integrity, cholesterol homeostasis, and fatty acid metabolism. Furthermore, ATAC-Seq delineates that CD70 is transcriptionally upregulated by NFKB2 via an Epstein-Barr virus-dependent epigenetic modification. Our findings identify CD70+ nasopharyngeal carcinoma cells as a metabolic switch that enforces the lipid-driven development, functional specialization and homeostasis of Tregs, leading to immune evasion. This study also demonstrates that CD70 blockade can act synergistically with anti-PD-1 treatment to reinvigorate T-cell immunity against nasopharyngeal carcinoma.","Despite the intense CD8+ T-cell infiltration in the tumor microenvironment of nasopharyngeal carcinoma, anti-PD-1 immunotherapy shows an unsatisfactory response rate in clinical trials, hindered by immunosuppressive signals. To understand how microenvironmental characteristics alter immune homeostasis and limit immunotherapy efficacy in nasopharyngeal carcinoma, here we establish a multi-center single-cell cohort based on public data, containing 357,206 cells from 50 patient samples. We reveal that nasopharyngeal carcinoma cells enhance development and suppressive activity of regulatory T cells via CD70-CD27 interaction. CD70 blocking reverts Treg-mediated suppression and thus reinvigorate CD8+ T-cell immunity. Anti-CD70+ anti-PD-1 therapy is evaluated in xenograft-derived organoids and humanized mice, exhibiting an improved tumor-killing efficacy. Mechanistically, CD70 knockout inhibits a collective lipid signaling network in CD4+ naive and regulatory T cells involving mitochondrial integrity, cholesterol homeostasis, and fatty acid metabolism. Furthermore, ATAC-Seq delineates that CD70 is transcriptionally upregulated by NFKB2 via an Epstein-Barr virus-dependent epigenetic modification. Our findings identify CD70+ nasopharyngeal carcinoma cells as a metabolic switch that enforces the lipid-driven development, functional specialization and homeostasis of Tregs, leading to immune evasion. This study also demonstrates that CD70 blockade can act synergistically with anti-PD-1 treatment to reinvigorate T-cell immunity against nasopharyngeal carcinoma.","Gong, Lanqi","Department of Clinical Oncology, Li Ka Shing Faculty of Medicine, The University of Hong Kong, Hong Kong, China.",Nat Commun,2023 Apr 6
37325644,10.3389/fimmu.2023.1184383,"BACKGROUND: T cell lymphomas (TCL) are a group of heterogeneous diseases with over 40 subtypes. In this study, we identified a novel TCL subtype which was featured by a unique T cell receptor (TCR) presentation, alpha, beta and gamma chains were co-existing in a single malignant T cell. CASE PRESENTATION: A 45-year-old male patient was diagnosed T cell lymphoma after 2-month of abdominal distension and liver enlargement. Combining histology review, PET-CT scanning and immunophenotyes, the patient was not classified to any existing TCL subtypes. To better understand this unclassified TCL case, we performed single cell RNA sequencing paired with TCR sequencing on the patient's PBMC and bone marrow samples. To our surprise, we identified that the malignant T cells had a very rare TCR combination, by expressing two alpha chains, one beta chain and one gamma chain simultaneously. We further studied the molecular pathogenesis and tumor cell heterogeneity of this rare TCL subtype. A set of potential therapeutic targets were identified from the transcriptome data, such as CCL5, KLRG1 and CD38. CONCLUSIONS: We identified the first TCL case co-expressing alpha, beta and gamma chains and dissected its molecular pathogenesis, providing valuable information for precision medicine options for this novel TCL subtype.","BACKGROUND: T cell lymphomas (TCL) are a group of heterogeneous diseases with over 40 subtypes. In this study, we identified a novel TCL subtype which was featured by a unique T cell receptor (TCR) presentation, alpha, beta and gamma chains were co-existing in a single malignant T cell. CASE PRESENTATION: A 45-year-old male patient was diagnosed T cell lymphoma after 2-month of abdominal distension and liver enlargement. Combining histology review, PET-CT scanning and immunophenotyes, the patient was not classified to any existing TCL subtypes. To better understand this unclassified TCL case, we performed single cell RNA sequencing paired with TCR sequencing on the patient's PBMC and bone marrow samples. To our surprise, we identified that the malignant T cells had a very rare TCR combination, by expressing two alpha chains, one beta chain and one gamma chain simultaneously. We further studied the molecular pathogenesis and tumor cell heterogeneity of this rare TCL subtype. A set of potential therapeutic targets were identified from the transcriptome data, such as CCL5, KLRG1 and CD38. CONCLUSIONS: We identified the first TCL case co-expressing alpha, beta and gamma chains and dissected its molecular pathogenesis, providing valuable information for precision medicine options for this novel TCL subtype.","Song, Wei","Department of Radiology, The First People's Hospital of Yunnan Province, Kunming, Yunnan, China.",Front Immunol,2023 May 30
31792411,10.1038/s41587-019-0332-7,"Identifying the causes of human diseases requires deconvolution of abnormal molecular phenotypes spanning DNA accessibility, gene expression and protein abundance(1-3). We present a single-cell framework that integrates highly multiplexed protein quantification, transcriptome profiling and analysis of chromatin accessibility. Using this approach, we establish a normal epigenetic baseline for healthy blood development, which we then use to deconvolve aberrant molecular features within blood from patients with mixed-phenotype acute leukemia(4,5). Despite widespread epigenetic heterogeneity within the patient cohort, we observe common malignant signatures across patients as well as patient-specific regulatory features that are shared across phenotypic compartments of individual patients. Integrative analysis of transcriptomic and chromatin-accessibility maps identified 91,601 putative peak-to-gene linkages and transcription factors that regulate leukemia-specific genes, such as RUNX1-linked regulatory elements proximal to the marker gene CD69. These results demonstrate how integrative, multiomic analysis of single cells within the framework of normal development can reveal both distinct and shared molecular mechanisms of disease from patient samples.","Identifying the causes of human diseases requires deconvolution of abnormal molecular phenotypes spanning DNA accessibility, gene expression and protein abundance(1-3). We present a single-cell framework that integrates highly multiplexed protein quantification, transcriptome profiling and analysis of chromatin accessibility. Using this approach, we establish a normal epigenetic baseline for healthy blood development, which we then use to deconvolve aberrant molecular features within blood from patients with mixed-phenotype acute leukemia(4,5). Despite widespread epigenetic heterogeneity within the patient cohort, we observe common malignant signatures across patients as well as patient-specific regulatory features that are shared across phenotypic compartments of individual patients. Integrative analysis of transcriptomic and chromatin-accessibility maps identified 91,601 putative peak-to-gene linkages and transcription factors that regulate leukemia-specific genes, such as RUNX1-linked regulatory elements proximal to the marker gene CD69. These results demonstrate how integrative, multiomic analysis of single cells within the framework of normal development can reveal both distinct and shared molecular mechanisms of disease from patient samples.","Granja, Jeffrey M","Center for Personal Dynamic Regulomes, Stanford University School of Medicine, Stanford, CA, USA.",Nat Biotechnol,2019 Dec
18172304,10.1158/0008-5472.CAN-07-1939,"It is generally accepted that human cancers derive from a mutated single cell. However, the genetic steps characterizing various stages of progression remain unclear. Studying a unique case of metastatic melanoma, we observed that cell lines derived from metachronous metastases arising over a decade retained a central core of genetic stability in spite of divergent phenotypes. In the present study, we expanded our previous observations comparing these autologous cell lines of clonal derivation with allogeneic ones and correlated array comparative genomic hybridization (aCGH) with gene expression profiling to determine their relative contribution to the dynamics of disease progression. aCGH and gene expression profiling were performed on autologous cell lines and allogeneic melanoma cell lines originating from other patients. A striking correlation existed between total extent of genetic imbalances, global transcriptional patterns, and cellular phenotypes. They did not follow a strict temporal progression but stemmed independently at various time points from a central core of genetic stability best explained according to the cancer stem cell hypothesis. Although their contribution was intertwined, genomic imbalances detectable by aCGH contributed only 25% of the transcriptional traits determining autologous tumor distinctiveness. Our study provides important insights about the dynamics of cancer progression and supports the development of targeted anticancer therapies aimed against stable genetic factors that are maintained throughout the end stage of disease.","It is generally accepted that human cancers derive from a mutated single cell. However, the genetic steps characterizing various stages of progression remain unclear. Studying a unique case of metastatic melanoma, we observed that cell lines derived from metachronous metastases arising over a decade retained a central core of genetic stability in spite of divergent phenotypes. In the present study, we expanded our previous observations comparing these autologous cell lines of clonal derivation with allogeneic ones and correlated array comparative genomic hybridization (aCGH) with gene expression profiling to determine their relative contribution to the dynamics of disease progression. aCGH and gene expression profiling were performed on autologous cell lines and allogeneic melanoma cell lines originating from other patients. A striking correlation existed between total extent of genetic imbalances, global transcriptional patterns, and cellular phenotypes. They did not follow a strict temporal progression but stemmed independently at various time points from a central core of genetic stability best explained according to the cancer stem cell hypothesis. Although their contribution was intertwined, genomic imbalances detectable by aCGH contributed only 25% of the transcriptional traits determining autologous tumor distinctiveness. Our study provides important insights about the dynamics of cancer progression and supports the development of targeted anticancer therapies aimed against stable genetic factors that are maintained throughout the end stage of disease.","Sabatino, Marianna","Infectious Disease and Immunogenetics Section, Department of Transfusion Medicine, Warren G. Magnuson Clinical Center, Biometrics Research Branch, National Cancer Institute, NIH, Bethesda, Maryland 20892-1184, USA.",Cancer Res,2008 Jan 1
