Title,Summary,GSE,Taxon,Sequencing_type,Publish_date
Factors contributing to Chimeric Antigen Receptor T-cell Therapy efficacy in pediatric oncology patients,Immune cell populations are composed of multiple cell types and their functions are tightly connected through their interactions. Cancer immunotherapy enhances the immune system’s ability to recognize and fight cancer and diminish cancer’s ability to evade the immune system. In Chimeric Antigen Receptor T-cell (CAR-T) therapy__ T-cells are engineered to eliminate cancer cells by targeting cell surface markers. Problems with CAR-T therapy include relapse due to loss of persistence of CAR-T cells and loss of CD19 expression on leukemia cells. The mechanisms of CAR-T failure need to be elucidated and exploring these mechanisms will identify potential treatment options and improve outcomes. Utilizing single-cell RNA seq (scRNA-seq)__ we investigated the interactions between CAR-T cells and the immune cells in pediatric ALL patients who’ve received CAR-T therapy. We analyzed the lymphocyte composition and gene expression profile at different time-points of ALL patients through CAR-T cell therapy. We have compared this data in responders with relapse patients after CAR-T infusion. Focusing on significantly altered immune cell populations and their gene markers__ we employ in vitro and in vivo models to validate their function.,GSE187438,Homo sapiens,Expression profiling by high throughput sequencing,2023/11/02
Pathophysiology of androgen-associated endothelial cell dysfunction in phenotype A polycystic ovarian syndrome revealed by iPSCs modeling,Abundant evidence suggests that women with polycystic ovary syndrome (PCOS) have increased metabolic aberrations and cardiovascular risks and present with signs of endothelial cell (EC) dysfunction. However__ whether and how androgen is involved in the pathogenesis of EC dysfunction in PCOS remains unclear. Induced pluripotent stem cells (iPSCs) were established in two PCOS patients and two control participants and further differentiated into ECs via monoculture under chemically defined conditions. Both PCOS patients were phenotype A (present with oligomenorrhea__ hyperandrogenism__ and polycystic ovarian morphology) and were diagnosed with metabolic syndrome. Single-cell transcriptomic analysis of the iPSC-derived ECs revealed functional differences involving the cell cycle process__ vascular endothelial growth factor (VEGF) signaling and apoptosis between the PCOS and control groups. Decreased expression of cell proliferation and cell cycle related genes were noted in the PCOS iPSC-derived ECs. Dihydrotestosterone (DHT) treatment significantly enhanced cell proliferation and angiogenic function in the control iPSC-derived ECs. In contrast__ significantly deteriorated cell proliferation accompanied with diminished expression of androgen receptor/cyclin-dependent kinase 1/VEGF signaling pathway was shown in the PCOS iPSC-derived ECs after DHT treatment__ alongside with impaired angiogenesis demonstrated by the tube formation and wound healing assay. In conclusion__ disease-specific iPSCs were successfully established in phenotype A PCOS patients with metabolic syndrome and served as an effective platform for disease modeling in this specific subgroup. Both intrinsic and androgen-induced cellular proliferation and angiogenesis were significantly impaired in the PCOS iPSC-derived ECs__ providing new pathogenic evidence for androgen-mediated EC dysfunction and possibly further cardiovascular consequences.,GSE246456,Homo sapiens,Expression profiling by high throughput sequencing,2023/11/01
Immune landscape of PBMC based on single-cell rna sequancing in End Stage Renal Disease,Although an increase in studies has revealed the potential mechanisms underlying immune dysfunction during CKD progression__ there are still many significant components that need to be clarified__ such as the machinery of T-cell phenotype switching and the plasticity levels of different subsets. Fortunately__ in the last decade__ novel technologies such as single-cell RNA sequencing have enabled us to investigate transcriptomic profiles at the single-cell level and have enabled us to unravel the potential mechanisms of the heterogeneity of the cell phenotype underlying different diseases. In this study__ we investigated the immune cell composition__ function__ and interaction with other cells in PBMCs (peripheral blood mononuclear cells) during the ESRD period__ especially CD4+ T-cell plasticity and the involved signaling pathways and mediators__ which could be potential therapeutic targets for preventing CKD progression and complications.,GSE233315,Homo sapiens,Expression profiling by high throughput sequencing,2023/10/31
Gene expression profile at single cell level of human T cells stimulated via antibodies against the T Cell Receptor (TCR),We used single cell RNA sequencing (scRNAseq) to compare gene expression in human T cells following stimulation with antibodies directed against a CD3 subunit (CD3ε) versus the TCRβ chain variable (V) domain,GSE229626,Homo sapiens,Expression profiling by high throughput sequencing,2023/10/31
Gene expression profiles of peripheral blood mononuclear cells (PBMC) from children with active idiopathic nephrotic syndrome (INS) and healthy controls (HC) [RTXrel_vs_RTXrem],An autoimmune B cell origin for childhood idiopathic nephrotic syndrome (INS) is predicted based on the efficacy of rituximab (RTX) at maintaining long-term remission from proteinuria. Knowledge regarding the nature of the culprit B cell response is very limited. In particular__ no transcriptomics work has been performed to evaluate the B cell response in INS. Here__ we performed single-cell RNA-sequencing (scRNAseq) on B cells isolated from peripheral blood mononuclear cells (PBMC) collected from four children with INS during the B cell recovery phase of a previous RTX treamtent while in remission or relapse (paired relapse-remisison samples). We show that the post-RTX B cell landscape is overwhelmingly antigen-inexperienced with minimal transcriptomic differences between relapse and remission. However__ post-RTX relapses were associated with an early resurgence of an extrafollicular B cell population expressing genes associated with marginal zone B cells (MZB1__ CD24__ IGHM__ CD1C__ TNFRSF13B__ GPR183). Together__ our study provides evidence for an extrafollicular origin for humoral immunity in active INS.,GSE233276,Homo sapiens,Expression profiling by high throughput sequencing,2023/10/29
Gene expression profiles of peripheral blood mononuclear cells (PBMC) from children with active idiopathic nephrotic syndrome (INS) and healthy controls (HC) [HC_vs_INS],An autoimmune B cell origin for childhood idiopathic nephrotic syndrome (INS) is predicted based on the efficacy of rituximab (RTX) at maintaining long-term remission from proteinuria. Knowledge regarding the nature of the culprit B cell response is very limited. In particular__ no transcriptomics work has been performed to evaluate the B cell response in INS. Using single-cell RNA-sequencing (scRNAseq) on peripheral blood mononuclear cells (PBMC) isolated from four affected children with active INS and four age/sex-matched health controls (HC)__ we demonstrate that a B cell transcriptional program poised for effector functions represents the major immune perturbation in the blood of children with active INS. We show that this nephrotic B cell signature is conferred by the engagement of memory B cells through an extrafollicular developmental route defined by expression of the interfollicular-homing gene GPR183 and the expansion of atypical B cells and marginal zone-like B cells. Moreover__ we show that genes involved in APRIL signaling__ which promotes extrafollicular antibody-secreting cell development__ were substantially upregulated in B cells__ monocytes__ and dendritic cells from INS children. Collectively__ our study provides evidence for an extrafollicular origin for humoral immunity in active INS.,GSE233275,Homo sapiens,Expression profiling by high throughput sequencing,2023/10/29
Early-to-mid stage idiopathic Parkinson’s disease shows enhanced cytotoxicity and differentiation in CD8 T-cells in females,Neuroinflammation in the brain contributes to the pathogenesis of Parkinson’s disease (PD)__ but the potential dysregulation of peripheral immunity has not been systematically investigated for idiopathic PD (iPD). Here we showed an elevated peripheral cytotoxic immune milieu__ with more terminally-differentiated effector memory (TEMRA) CD8 T__ CD8+ NKT cells and circulating cytotoxic molecules in fresh blood of early-to-mid iPD__ especially in females__ after analyzing >700 innate and adaptive features. This profile__ also reflected by fewer CD8+FOXP3+ regulatory T cells__ was confirmed in another subcohort. Co-expression between cytotoxic molecules was selectively enhanced in CD8 TEMRA and effector memory (TEM) cells. Single-cell RNA-sequencing analysis demonstrated the accelerated CD8 differentiation within CD8 compartments__ enhanced cytotoxic pathways in CD8 TEMRA and TEM cells__ while CD8 central-memory (TCM) and naïve cells were already more-active and transcriptionally-reprogrammed. Our work provides a comprehensive map of dysregulated peripheral immunity in iPD__ proposing previously-unrecognized candidates for early diagnosis and treatments.,GSE237254,Homo sapiens,Expression profiling by high throughput sequencing,2023/10/13
Dendritic Cell Vaccination in Conjunction with TLR Agonist Polarizes Interferon Immune Responses Associated with Long-term Survival in Malignant Glioma Patients [scRNA-seq],Autologous tumor lysate-pulsed dendritic cell (ATL-DC) vaccination is a promising immunotherapy for patients with high grade gliomas__ but responses have not been demonstrated in all patients. Pre-clinical studies demonstrate that toll-like receptor (TLR) agonists can enhance the anti-tumor immune response from cancer vaccines. To determine the most effective combination of autologous tumor lysate-pulsed DC vaccination__ with or without the adjuvant toll-like receptor (TLR) agonists poly-ICLC or resiquimod__ we conducted a randomized__ open-label multi-arm Phase 2 clinical trial to evaluate immune responses and survival in 23 patients with newly diagnosed or recurrent WHO Grade III-IV malignant gliomas. Patients were randomized to receive ATL-DC vaccination with either a placebo__ a TLR-7/8 agonist (resiquimod__ topical 0.2%)__ or a TLR-3 agonist (poly-ICLC__ 20 mcg/kg intramuscular). Peripheral blood was obtained at baseline and following the vaccination cycle for immune monitoring. Mass cytometry__ bulk and single-cell RNA sequencing analyses were performed. Analysis of the bulk RNAseq data (pre-treatment vs. post-treatment) demonstrated highly significant upregulation of type 1 and type 2 interferon gene expression selectively in patients who received adjuvant TLR agonist (either poly-ICLC or resiquimod) together with ATL-DC. CyTOF analysis of patient peripheral blood mononuclear cells (PBMCs) showed increased levels of memory PD-1+ T-cell and monocyte populations after ATL-DC + TLR agonist administration. In addition__ scRNA-seq demonstrated a higher expression fold change of IFN-induced genes with poly-ICLC treatment in both peripheral blood monocytes and T lymphocytes. Median progression-free survival (PFS) was 8.1 months (5.5 placebo vs. 8.1 resiquimod vs. 31.4 poly-ICLC)__ and median overall survival (OS) was 26.6 months (7.7 placebo vs. 16.7 resiquimod vs. 52.5 poly-ICLC). Patients who had higher expression of interferon response genes lived significantly longer and had longer time to progression compared to those with lower expression. The results suggest that ATL-DC in conjunction with adjuvant poly-ICLCTL induces a polarized interferon response in circulating monocytes and specific activation of a CD8+ T cell population. This combination was associated with extended survival in this patient population. This interferon response signature may represent an important blood biomarker for immunotherapy in patients with malignant glioma.,GSE237579,Homo sapiens,Expression profiling by high throughput sequencing,2023/10/11
Dendritic Cell Vaccination in Conjunction with TLR Agonist Polarizes Interferon Immune Responses Associated with Long-term Survival in Malignant Glioma Patients [Bulk RNA-seq],Autologous tumor lysate-pulsed dendritic cell (ATL-DC) vaccination is a promising immunotherapy for patients with high grade gliomas__ but responses have not been demonstrated in all patients. Pre-clinical studies demonstrate that toll-like receptor (TLR) agonists can enhance the anti-tumor immune response from cancer vaccines. To determine the most effective combination of autologous tumor lysate-pulsed DC vaccination__ with or without the adjuvant toll-like receptor (TLR) agonists poly-ICLC or resiquimod__ we conducted a randomized__ open-label multi-arm Phase 2 clinical trial to evaluate immune responses and survival in 23 patients with newly diagnosed or recurrent WHO Grade III-IV malignant gliomas. Patients were randomized to receive ATL-DC vaccination with either a placebo__ a TLR-7/8 agonist (resiquimod__ topical 0.2%)__ or a TLR-3 agonist (poly-ICLC__ 20 mcg/kg intramuscular). Peripheral blood was obtained at baseline and following the vaccination cycle for immune monitoring. Mass cytometry__ bulk and single-cell RNA sequencing analyses were performed. Analysis of the bulk RNAseq data (pre-treatment vs. post-treatment) demonstrated highly significant upregulation of type 1 and type 2 interferon gene expression selectively in patients who received adjuvant TLR agonist (either poly-ICLC or resiquimod) together with ATL-DC. CyTOF analysis of patient peripheral blood mononuclear cells (PBMCs) showed increased levels of memory PD-1+ T-cell and monocyte populations after ATL-DC + TLR agonist administration. In addition__ scRNA-seq demonstrated a higher expression fold change of IFN-induced genes with poly-ICLC treatment in both peripheral blood monocytes and T lymphocytes. Median progression-free survival (PFS) was 8.1 months (5.5 placebo vs. 8.1 resiquimod vs. 31.4 poly-ICLC)__ and median overall survival (OS) was 26.6 months (7.7 placebo vs. 16.7 resiquimod vs. 52.5 poly-ICLC). Patients who had higher expression of interferon response genes lived significantly longer and had longer time to progression compared to those with lower expression. The results suggest that ATL-DC in conjunction with adjuvant poly-ICLCTL induces a polarized interferon response in circulating monocytes and specific activation of a CD8+ T cell population. This combination was associated with extended survival in this patient population. This interferon response signature may represent an important blood biomarker for immunotherapy in patients with malignant glioma.,GSE237562,Homo sapiens,Expression profiling by high throughput sequencing,2023/10/11
Molecular Dissection of Disease Heterogeneity in SLE,Systemic lupus erythematosus (SLE) affects 1 in 537 of African American (AA) women__ which is >2-fold more than European American (EA) women. AA patients also develop the disease at a younger age__ have more severe symptoms__ and a greater chance of early mortality. We used a multi-omics approach to uncover ancestry-specific immune alterations in SLE patients and healthy controls that may contribute to disease disparities. Cell composition__ signaling__ and epigenetics were evaluated by mass cytometry; droplet-based single cell transcriptomics and paired proteogenomics (scRNA-Seq/scCITE-Seq). Soluble mediator levels were measured in plasma and stimulated whole blood. TLR3/4/7/8/9 gene expression pathways in B cells and monocytes were enhanced in AA SLE patients compared to EA patients. TLR7/8/9 and IFN phospho-signaling responses were also heightened in healthy AA versus EA controls. Exposure of AA and EA healthy control cells to TLR7/8/9 agonists or IFN resulted in altered immune cell compositions that recapitulated the ancestry-associated differences in SLE patients. These data support that ancestry-based differences in TLR7/8__ TLR9__ and IFN responses that can be detected in healthy individuals could influence lupus disease course and severity.,GSE189050,Homo sapiens,Expression profiling by high throughput sequencing,2023/10/11
