Gene,C,Z,Pval,FDR,Module
HBB,0.10959890112443214,42.78627504795812,0.0,0.0,12.0
HBA2,0.14720368720347665,35.22913807929818,3.580291437531907e-272,1.2645589357362694e-268,12.0
MTCO3P13,0.32187796363109367,28.825612858871317,5.122747525325232e-183,1.206236283963248e-179,1.0
MTCO2P9,0.2347901879153026,27.864920868920912,3.552147982463893e-171,6.273093337031235e-168,1.0
MTRNR2L5,0.34042645956482537,27.164464724569658,8.542890717968688e-163,1.2069396006346161e-159,1.0
HBA1,0.12546490212985806,26.256262721317114,3.0312639692799973e-152,3.56880811316565e-149,12.0
FP236383.1,0.25755689406153576,25.230798939644917,9.201088976281938e-141,9.285213218350801e-138,1.0
MTRNR2L1,0.293425635391925,25.120326968065644,1.4914071421859955e-139,1.316912506550234e-136,1.0
MTRNR2L10,0.32082504578122883,24.947978168942335,1.1230169708476351e-137,8.814435424519661e-135,1.0
MECOM,0.17140107882202057,22.37847108055346,3.189730733135607e-111,2.253225789886993e-108,2.0
ZNF385B,0.2631705997237558,20.667319768989934,3.40999481432808e-95,2.1898366698557778e-92,1.0
ESRRG,0.16035840641606391,20.408739114126888,6.9922974713961486e-93,4.116132444828533e-90,2.0
ERBB4,0.260650265828963,19.64618641395663,3.1161604780844452e-86,1.6932736628606556e-83,1.0
MTCO2P34,0.28396147669797794,19.53799832737721,2.6094544027969355e-85,1.3166561358112539e-82,1.0
AC090204.1,0.27772608692431816,19.254012742250335,6.5320565392947704e-83,3.076163159571884e-80,1.0
MTCO1P25,0.21074253963410175,18.64574309767641,6.837054931536795e-78,3.018559752273495e-75,1.0
SNHG10,0.09793926948677537,17.88625490083674,7.545842101166954e-72,3.1355193295672566e-69,12.0
MTCYBP42,0.09209799511984541,17.846215593100197,1.546494147920185e-71,6.069130367171215e-69,14.0
IRF8,0.2575232856123665,17.32312258160385,1.5740116039096367e-67,5.852009457904039e-65,4.0
PLS1,0.09752101003133824,16.76526982160781,2.1901062965561104e-63,7.735455439436183e-61,9.0
MTRNR2L11,0.2562951981364334,16.137300229739523,6.9755790872404225e-59,2.346451936774588e-56,1.0
PGA5,0.17400218121318956,15.62308317325237,2.53469239218643e-55,8.138666844729518e-53,3.0
PNPLA2,0.0915292372349877,15.562938376095648,6.499575256029081e-55,1.9962173742864968e-52,16.0
MTRNR2L7,0.22119242413501156,15.493962947411365,1.9052992042054125e-54,5.607930657711264e-52,1.0
SLFN12,0.09615944461760696,15.487021662117826,2.1225271393647516e-54,5.997412684989042e-52,43.0
DHFR,0.2230414830409275,15.077755611520116,1.1342506139750524e-51,3.0816716681229884e-49,1.0
MTCO3P22,0.22162598892475227,14.831936295970314,4.553385667219874e-50,1.1913006056755995e-47,1.0
FOS,0.20209026155003917,14.734834724091769,1.92569216983703e-49,4.858246245617422e-47,41.0
VEGFA,0.18058661001711052,14.390838192003756,2.953779126128001e-47,7.194998533437311e-45,2.0
NEAT1,0.15270870456206506,14.372371144331732,3.8572061913812497e-47,9.082434845305717e-45,41.0
SELENOP,0.1728290988191575,13.875295042421344,4.4712186330758083e-44,1.0188609169047583e-41,3.0
PRKCH,0.22307805047007745,13.604048425593708,1.8943370250678017e-42,4.181748982837172e-40,6.0
CD247,0.18786581824482793,13.54938178373577,3.995010873200361e-42,8.551744487359802e-40,6.0
TGFBR3,0.19953408997739178,13.529271394250985,5.252987610912818e-42,1.0913854259849455e-39,6.0
RNA5SP202,0.17036496644434052,13.48119134157623,1.0091074488801461e-41,2.0366671482541004e-39,3.0
CUX2,0.27914162558527894,13.460135071010487,1.342125436669058e-41,2.6335483568417294e-39,4.0
AAMDC,0.17979635457311763,13.345050231084695,6.329261069915491e-41,1.2083756810238655e-38,3.0
ZNF571-AS1,0.23958517957831502,13.281109405519949,1.489734407312652e-40,2.769337856120151e-38,1.0
TBL1X,0.18917468415228467,13.21831088301104,3.439572458371271e-40,6.230035857931965e-38,-1.0
PARP14,0.16484004038629782,13.038604340735652,3.689776591385725e-39,6.51614546038719e-37,-1.0
ATP1B1,0.1902095203318079,12.874878892545459,3.1168390764331003e-38,5.3700856672983954e-36,-1.0
ZNF551,0.09660181030563612,12.809987864318657,7.207855368385667e-38,1.2122926267208656e-35,31.0
AC112719.1,0.19405786538298817,12.749368249285947,1.5714088708378915e-37,2.58149587525555e-35,3.0
PLXNA4,0.2791851396820234,12.55053880408028,1.9740716965567635e-36,3.169282378290222e-34,4.0
ANK3,0.19402425366088194,12.4865803584742,4.4185507515875436e-36,6.936142779825424e-34,2.0
MTSS1,0.13996482475370473,12.450543379710997,6.944814368432369e-36,1.0664819282305708e-33,-1.0
