Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of Sodium Ion Transmembrane Transporter Activity (GO:2000651),2/12,5.6111289598260925e-05,0.0087705074096817,0,0,234.95294117647057,2299.760158461114,DMD;ANK3
GO_Biological_Process_2023,Sodium Ion Export Across Plasma Membrane (GO:0036376),2/12,5.6111289598260925e-05,0.0087705074096817,0,0,234.95294117647057,2299.760158461114,ATP4B;ATP4A
GO_Biological_Process_2023,Intracellular Potassium Ion Homeostasis (GO:0030007),2/13,6.627587463235582e-05,0.0087705074096817,0,0,213.5828877005348,2055.0271833037777,ATP4B;ATP4A
GO_Biological_Process_2023,Positive Regulation Of Cold-Induced Thermogenesis (GO:0120162),3/98,0.00010442022318891156,0.0092185471584099,0,0,39.24868421052632,359.79611035149287,ESRRG;PPARGC1A;VEGFA
GO_Biological_Process_2023,Intracellular Sodium Ion Homeostasis (GO:0006883),2/18,0.00012963563814508892,0.0092185471584099,0,0,146.8014705882353,1313.9880817962558,ATP4B;ATP4A
GO_Biological_Process_2023,Positive Regulation Of Metabolic Process (GO:0009893),3/108,0.00013932313085758045,0.0092185471584099,0,0,35.49285714285714,315.1309503403191,ESRRG;PPARGC1A;VEGFA
GO_Biological_Process_2023,Potassium Ion Homeostasis (GO:0055075),2/23,0.00021375931421138065,0.012123206820274,0,0,111.82072829131651,944.9589418585076,ATP4B;ATP4A
GO_Biological_Process_2023,Sodium Ion Homeostasis (GO:0055078),2/25,0.00025318287347810177,0.0125642000963508,0,0,102.08695652173913,845.4227696575183,ATP4B;ATP4A
GO_Biological_Process_2023,Regulation Of Cold-Induced Thermogenesis (GO:0120161),3/146,0.0003389148838894199,0.0149499121004555,0,0,26.01136363636364,207.8245933591528,ESRRG;PPARGC1A;VEGFA
GO_Biological_Process_2023,Muscle Cell Development (GO:0055001),2/32,0.0004169409200680791,0.0160095393912708,0,0,78.2392156862745,608.9018617989119,DMD;VEGFA
GO_Biological_Process_2023,Positive Regulation Of Ion Transmembrane Transporter Activity (GO:0032414),2/33,0.0004435892526548597,0.0160095393912708,0,0,75.71157495256168,584.5396585589853,DMD;ANK3
GO_Biological_Process_2023,Action Potential (GO:0001508),2/35,0.0004993126391262996,0.0165189264777617,0,0,71.11586452762923,540.6425813872303,DMD;ANK3
