Gene,C,Z,Pval,FDR,Module
JCHAIN,0.5546284103679431,472.32886344169515,0.0,0.0,4.0
IGKC,0.4976200832723538,328.543583695681,0.0,0.0,4.0
ABCA13,0.46161151617840074,203.18018396248138,0.0,0.0,1.0
RPS27,0.5730638483753923,184.02166033823016,0.0,0.0,3.0
RPS15A,0.5893827354874938,164.32780255919118,0.0,0.0,3.0
MT-RNR2,0.48132336705221285,160.91532036217615,0.0,0.0,3.0
GAS5,0.48031875276714503,141.74913299324766,0.0,0.0,3.0
HBB,0.3377962109983084,137.24262101446487,0.0,0.0,21.0
SNHG1,0.45871239594514096,135.1186451912678,0.0,0.0,3.0
TCF4,0.4360856756945245,133.47342503537027,0.0,0.0,2.0
IGLC2,0.12243627655763123,131.1082635512713,0.0,0.0,4.0
TXNDC5,0.33075584661134777,130.98730777927818,0.0,0.0,4.0
SNHG5,0.546248551065612,129.88787045008047,0.0,0.0,3.0
AC009570.2,0.3192070840119885,123.6153746462661,0.0,0.0,4.0
LYZ,0.5073494631596404,123.42247504191278,0.0,0.0,5.0
RPL35A,0.5153938682636778,120.46516630672637,0.0,0.0,3.0
ATP2B1,0.5080891461335953,119.846528985999,0.0,0.0,5.0
S100A9,0.49740717623994685,115.87633792396554,0.0,0.0,5.0
LTF,0.3248046229342106,115.74241982646734,0.0,0.0,1.0
NAMPT,0.35858255973191705,109.12830119128907,0.0,0.0,5.0
LRMDA,0.49442703175555724,107.49317276934961,0.0,0.0,5.0
PLXDC2,0.5036080107326653,107.34306933481149,0.0,0.0,5.0
S100A8,0.3945868495673961,106.0007650698882,0.0,0.0,1.0
CAMP,0.2848501490161948,105.78041362753547,0.0,0.0,1.0
LINC01374,0.2102501838345961,102.91747780174873,0.0,0.0,2.0
VCAN,0.38398032096602003,101.01467073761312,0.0,0.0,5.0
RMRP,0.30360257993139067,96.34557600255232,0.0,0.0,3.0
HSP90B1,0.3838295825254839,95.53065656122537,0.0,0.0,4.0
HBA1,0.41487681107672336,93.78458122629377,0.0,0.0,21.0
IGKV4-1,0.2747737476537526,93.3888088641033,0.0,0.0,4.0
