Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),63/93,1.341864451884875e-109,9.460144385788368e-107,0,0,337.77560975609754,84676.195828785,EIF4A2;RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPS4X;RPS14;RPS16;RPL18A;RPS19;RACK1;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS8;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),61/158,3.9543167215750464e-85,1.393896644355204e-82,0,0,99.19480412371134,19278.006775886,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;MRPL34;RPS4X;RPS14;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS8;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS27;RPS29;RPL27A;RPS6KB2;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),62/183,2.6933178396031253e-82,6.3292969230673445e-80,0,0,81.37603305785125,15284.144488929232,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;MRPL34;RPS4X;RPS14;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS8;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;EEF2;RPS27;RPS29;RPL27A;RPS6KB2;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Translation (GO:0006412),64/234,4.024255238969157e-78,7.092749858683137e-76,0,0,60.61793635486982,10802.679847250243,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;MRPL34;RPL10A;RPS4X;RPS14;RPS16;RPS19;RPL18A;RPL36;RACK1;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS8;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;EEF2;RPS27;RPS29;RPL27A;RPS6KB2;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Gene Expression (GO:0010467),61/296,6.326611568344886e-66,8.92052231136629e-64,0,0,40.65766808510638,6103.7670348584215,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;MRPL34;RPL10A;RPS4X;RPS14;RPS16;RPS19;RPL18A;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS13;RPS8;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS27;RPS29;RPL27A;RPS6KB2;RPS20;FAU;RPS21;RPS24;RPS23
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),21/118,3.0067498519011077e-21,3.5329310759838013e-19,0,0,25.87047797563261,1222.4687487094268,NOP56;RPL5;RPS8;RPS5;RPS6;RPL11;RPL35A;RPS3A;RPS4X;RPS14;RPS16;RPS27;RPS15A;RPS19;RPL14;RPL38;RPL26;RPS11;RPS13;RPS24;RPS23
GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),21/155,1.1061537036451702e-18,1.11405480152835e-16,0,0,18.691994572591582,772.8325309654663,NOP56;RPL5;RPS8;RPS5;RPS6;RPL11;RPL35A;RPS3A;RPS4X;RPS14;RPS16;RPS27;RPS15A;RPS19;RPL14;RPL27;RPL26;RPS11;RPS13;RPS24;RPS23
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),16/84,5.990853544764908e-17,5.279439686324075e-15,0,0,27.33010380622837,1020.880845200942,NOP56;RPS8;RPS5;RPS6;RPS3A;RPSA;RPS4X;RPS14;RPS16;RPS15A;RPS27;RPS19;RPS11;RPS13;RPS24;RPS23
GO_Biological_Process_2023,rRNA Processing (GO:0006364),13/101,1.0203977042174835e-11,7.99311534970362e-10,0,0,16.844324750394115,426.3002734799671,NOP56;RPL5;RPS6;RPL11;RPL35A;RPS14;RPS16;RPS27;RPS19;RPL14;RPL27;RPL26;RPS24
GO_Biological_Process_2023,Ribosome Assembly (GO:0042255),10/50,2.824237196106789e-11,1.991087223255286e-09,0,0,28.088068181818183,682.2647295371668,RPL5;RPS14;RPS27;RPS19;RPL10;RPS5;RPLP0;RPL11;RPSA;RPL23A
GO_Biological_Process_2023,rRNA Metabolic Process (GO:0016072),12/91,4.87479795367233e-11,3.124302324853629e-09,0,0,17.228284591881273,409.0745461311439,NOP56;RPL5;RPS16;RPS27;RPS19;RPS6;RPL11;RPL14;RPL35A;RPL27;RPL26;RPS24
GO_Biological_Process_2023,ncRNA Processing (GO:0034470),12/100,1.5093992607292336e-10,8.867720656784247e-09,0,0,15.45924764890282,349.59757824178064,NOP56;RPL5;RPS16;RPS27;RPS19;RPS6;RPL11;RPL14;RPL35A;RPL27;RPL26;RPS24
GO_Biological_Process_2023,Ribosomal Large Subunit Biogenesis (GO:0042273),8/54,3.473999830336813e-08,1.883976831067272e-06,0,0,19.314118221787982,331.72720635313686,RPL5;RPL10;RPLP0;RPL11;RPL14;RPL35A;RPL23A;RPL26
GO_Biological_Process_2023,protein-RNA Complex Assembly (GO:0022618),11/150,1.6231282109301064e-07,8.173609919326607e-06,0,0,8.897225077081192,139.09690686218644,RPL5;RPS14;RPS27;RPS19;RPL10;RPS5;RPLP0;RPL11;RPL38;RPSA;RPL23A
GO_Biological_Process_2023,Ribosomal Small Subunit Assembly (GO:0000028),5/17,3.7253939576094566e-07,1.750935160076444e-05,0,0,45.58471454880295,674.7870214617186,RPS14;RPS27;RPS19;RPS5;RPSA
GO_Biological_Process_2023,Ribosomal Large Subunit Assembly (GO:0000027),5/22,1.526669367872751e-06,6.72688690218931e-05,0,0,32.169320766980825,430.8251217112587,RPL5;RPL10;RPL11;RPLP0;RPL23A
GO_Biological_Process_2023,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),6/43,2.7332951520992942e-06,0.00011335135777823544,0,0,17.817117117117117,228.23731768525187,UQCRB;COX7A2;UQCR10;COX6C;COX7C;COX6B1
GO_Biological_Process_2023,"Maturation Of SSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",5/30,7.777816978463581e-06,0.0003046311649898236,0,0,21.86629834254144,257.2402690712632,RPS14;RPS16;RPS19;RPS8;RPS21
GO_Biological_Process_2023,"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",4/16,1.2077517000476248e-05,0.0004481394465966186,0,0,36.26739926739927,410.69801099148697,COX7A2;COX6C;COX7C;COX6B1
