Gene,C,Z,Pval,FDR,Module
MTRNR2L5,0.4175278430370155,622.2789008597264,0.0,0.0,1.0
AC090204.1,0.3893654365409101,610.2716666406806,0.0,0.0,1.0
IGF2,0.13755238928210164,578.2585078342119,0.0,0.0,22.0
MTRNR2L1,0.3769887522874727,482.76727541693407,0.0,0.0,1.0
MYRIP,0.23327282064362875,443.0428551184869,0.0,0.0,1.0
PGC,0.20934125954483773,400.3048252196389,0.0,0.0,1.0
TMEM79,0.09560007926938931,328.8441292813002,0.0,0.0,22.0
RNA5SP370,0.3796567399989117,253.24815169401958,0.0,0.0,1.0
RNF152,0.16605685841015722,251.61535919145686,0.0,0.0,1.0
ATP1B1,0.28401044690325783,228.8362679638131,0.0,0.0,1.0
INMT,0.11609802965448507,226.701228117268,0.0,0.0,22.0
FP236383.1,0.28679000632124624,223.5979065261985,0.0,0.0,1.0
AC239727.1,0.12702424443246377,219.57317551894442,0.0,0.0,1.0
CAVIN1,0.14498601878138037,201.52134754506278,0.0,0.0,22.0
LUCAT1,0.16727373911877239,198.48513904709202,0.0,0.0,4.0
MTCO3P13,0.2911652363905657,196.94319675009652,0.0,0.0,1.0
PROB1,0.0944040269089355,192.45205244088802,0.0,0.0,34.0
RNA5SP202,0.34500077308063476,185.71358629536988,0.0,0.0,1.0
RNA5SP242,0.1861724727020531,183.2289170156685,0.0,0.0,1.0
CREB5,0.09388579899084008,181.93600454548545,0.0,0.0,4.0
TREM1,0.23819915639531708,175.52530717560083,0.0,0.0,4.0
MTCO3P44,0.11951404749844005,167.80662145652215,0.0,0.0,1.0
AL034370.1,0.0945450772228056,165.40813015989718,0.0,0.0,9.0
ERBB4,0.2951334893447835,162.029169085691,0.0,0.0,1.0
AC007547.3,0.3073312702415176,160.72437949804885,0.0,0.0,1.0
RPS3AP26,0.09276302502792835,160.41488092459795,0.0,0.0,9.0
F8,0.09264173489181644,159.42445030743164,0.0,0.0,39.0
MAP1B,0.09330597784960339,156.75233129002655,0.0,0.0,14.0
NKG7,0.5986833854279812,156.3668743306142,0.0,0.0,21.0
AC092574.2,0.09368565518148597,154.52186700115277,0.0,0.0,46.0
MTCO3P43,0.18083859657469326,154.4655869000452,0.0,0.0,1.0
RIMS1,0.09850694803388294,150.46612170029084,0.0,0.0,2.0
FABP4,0.08399015859019757,148.65961303413957,0.0,0.0,34.0
AP001993.1,0.09435607763894066,148.59455179228718,0.0,0.0,2.0
AC073657.2,0.1356107294992226,147.8445150494243,0.0,0.0,9.0
AC011450.1,0.09445786046668116,146.69302119157277,0.0,0.0,16.0
AP000943.3,0.07922148152568247,146.20939937672776,0.0,0.0,14.0
CHIA,0.15442032680203105,143.86120759918703,0.0,0.0,1.0
NSG2,0.09347202781542825,143.36953538665634,0.0,0.0,36.0
