Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Execution Phase Of Apoptosis (GO:1900118),4/19,4.291689484440836e-07,0.00011759229187367892,0,0,84.3089947089947,1236.089174527399,MTRNR2L5;MTRNR2L8;MTRNR2L1;MTRNR2L3
GO_Biological_Process_2023,Regulation Of Execution Phase Of Apoptosis (GO:1900117),4/24,1.1618391013484892e-06,0.00015917195688474302,0,0,63.215873015873015,863.8769157703956,MTRNR2L5;MTRNR2L8;MTRNR2L1;MTRNR2L3
GO_Biological_Process_2023,Negative Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043569),1/5,0.0166396661964726,0.2743028975924573,0,0,75.48863636363636,309.1988806923386,IGFBP5
GO_Biological_Process_2023,Chitin Catabolic Process (GO:0006032),1/5,0.0166396661964726,0.2743028975924573,0,0,75.48863636363636,309.1988806923386,CHIA
GO_Biological_Process_2023,Chitin Metabolic Process (GO:0006030),1/5,0.0166396661964726,0.2743028975924573,0,0,75.48863636363636,309.1988806923386,CHIA
GO_Biological_Process_2023,Prepulse Inhibition (GO:0060134),1/5,0.0166396661964726,0.2743028975924573,0,0,75.48863636363636,309.1988806923386,GRID2
GO_Biological_Process_2023,Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process (GO:1902108),1/6,0.0199347325407437,0.2743028975924573,0,0,60.38787878787879,236.43616149285907,MTRNR2L5
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),5/482,0.0226594245130565,0.2743028975924573,0,0,3.289375803070264,12.457456347034377,ERBB4;MTRNR2L5;MTRNR2L8;MTRNR2L1;MTRNR2L3
GO_Biological_Process_2023,Mammary Gland Epithelial Cell Differentiation (GO:0060644),1/7,0.0232189232742133,0.2743028975924573,0,0,50.32070707070707,189.3461363331078,ERBB4
GO_Biological_Process_2023,Positive Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904754),1/7,0.0232189232742133,0.2743028975924573,0,0,50.32070707070707,189.3461363331078,IGFBP5
GO_Biological_Process_2023,Glucosamine-Containing Compound Catabolic Process (GO:1901072),1/8,0.0264922734714402,0.2743028975924573,0,0,43.12987012987013,156.6003384261292,CHIA
GO_Biological_Process_2023,Mitochondrial Fragmentation Involved In Apoptotic Process (GO:0043653),1/8,0.0264922734714402,0.2743028975924573,0,0,43.12987012987013,156.6003384261292,ERBB4
GO_Biological_Process_2023,Commissural Neuron Axon Guidance (GO:0071679),1/8,0.0264922734714402,0.2743028975924573,0,0,43.12987012987013,156.6003384261292,NFIB
GO_Biological_Process_2023,Lactation (GO:0007595),1/8,0.0264922734714402,0.2743028975924573,0,0,43.12987012987013,156.6003384261292,ERBB4
GO_Biological_Process_2023,Regulation Of Long-Term Synaptic Depression (GO:1900452),1/9,0.0297548181817399,0.2743028975924573,0,0,37.73674242424242,132.63575146396252,GRID2
GO_Biological_Process_2023,Aminoglycan Metabolic Process (GO:0006022),1/9,0.0297548181817399,0.2743028975924573,0,0,37.73674242424242,132.63575146396252,CHIA
GO_Biological_Process_2023,Positive Regulation Of Sodium Ion Transmembrane Transport (GO:1902307),1/9,0.0297548181817399,0.2743028975924573,0,0,37.73674242424242,132.63575146396252,ATP1B1
GO_Biological_Process_2023,Cardiac Muscle Cell Membrane Repolarization (GO:0099622),1/10,0.0330065923938031,0.2743028975924573,0,0,33.54208754208754,114.4136695514984,ATP1B1
GO_Biological_Process_2023,Negative Regulation Of Sprouting Angiogenesis (GO:1903671),1/10,0.0330065923938031,0.2743028975924573,0,0,33.54208754208754,114.4136695514984,CREB3L1
GO_Biological_Process_2023,Positive Regulation Of Transcription From RNA Polymerase II Promoter In Response To Endoplasmic Reticulum Stress (GO:1990440),1/10,0.0330065923938031,0.2743028975924573,0,0,33.54208754208754,114.4136695514984,CREB3L1
GO_Biological_Process_2023,Positive Regulation Of Defense Response To Bacterium (GO:1900426),1/10,0.0330065923938031,0.2743028975924573,0,0,33.54208754208754,114.4136695514984,PGC
GO_Biological_Process_2023,Cell Differentiation In Hindbrain (GO:0021533),1/11,0.0362476310178566,0.2743028975924573,0,0,30.18636363636364,100.13967676460432,GRID2
GO_Biological_Process_2023,Central Nervous System Projection Neuron Axonogenesis (GO:0021952),1/11,0.0362476310178566,0.2743028975924573,0,0,30.18636363636364,100.13967676460432,NFIB
GO_Biological_Process_2023,Negative Regulation Of Mitochondrial Membrane Permeability (GO:0035795),1/12,0.0394779688739908,0.2743028975924573,0,0,27.44077134986226,88.6889163609223,MTRNR2L5
