0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
PRKCH,TXNDC5,AC023590.1,BACH2,CD247,RBFOX1,CDH13,JCHAIN,NAMPT,DCC,MGAT5,JCHAIN,NKAIN2,KCNQ5,AC090204.1
AOAH,HSP90B1,APP,AFF3,PITPNC1,CSMD1,PTPRM,FUT8,LRMDA,FNDC3B,INPP4B,FNDC3B,INPP4B,CENPP,MTRNR2L1
CD247,JCHAIN,TCF4,BANK1,LINC00298,EYS,MECOM,TXNDC5,DPYD,IFNG-AS1,GATA3,IFNG-AS1,CNTNAP2,CMSS1,MTRNR2L5
SKAP1,IFNG-AS1,EPHB1,FOXP1,PRKCH,LRRC4C,DOCK4,AL589693.1,VCAN,MAN1A1,PRKG1,SND1,SSBP2,ALG9,RPL34
SYNE1,MT-CO3,CCDC50,LYN,CEMIP2,GPC5,ADGRL2,CDK14,ARHGAP26,FUT8,GNAQ,SAMD12,AUTS2,MTRNR2L1,MTCO3P13
SYNE2,ELL2,PDE4B,PRKCE,FYN,NRG1,KIAA1217,FNDC3B,ACSL1,JCHAIN,FRY,AL589693.1,NEGR1,RRM2,MYRIP
FYN,MT-CYB,FCHSD2,CD74,SYTL3,AL627171.2,TCF4,IFNG-AS1,FOS,UBE2G1,SSBP2,TXNDC5,MAML3,DTL,ERBB4
TGFBR3,FNDC3B,RUNX2,EBF1,SYNE2,CTNNA3,MAGI1,MAN1A1,LRRK2,TXNDC5,ARHGAP15,MAN1A1,RNF220,SYNE2,EEF2
LINGO2,TXNDC11,FAM160A1,SIPA1L1,SKAP1,PCDH15,FBXL7,TENT5C,PLXDC2,NCOA3,GRIP1,NCOA3,RERE,STK39,FP236383.1
LINC00298,NCOA3,CD2AP,SMAP2,MACF1,RN7SL1,GBE1,SEL1L3,SLC8A1,SPATS2,CDC14A,ITGA4,ATP8B4,GSE1,TLE5
PIP4K2A,TENT5C,LINC01374,FCRL1,MT-CO3,DLG2,LRMDA,GMDS,CD55,HSP90B1,FSTL4,SEL1L3,TARBP1,NCOA1,SF3B1
UTRN,POU2AF1,AFF3,CD83,NCALD,TENM2,PARD3B,MYO1D,ZEB2,SAMD12,ANKRD44,EXT1,NRIP1,SREBF2,ANKRD30BL
RORA,SPATS2,BCL11A,PAX5,PTPN12,NRXN3,RAPGEF5,GLS,SRGN,POU2AF1,RORA,MYO1D,BAALC,MT-CYB,C5orf56
JAZF1,MAN1A1,IRF8,SNX9,TGFBR3,DPP10,AC098650.1,ERC1,DMXL2,DENND5B,TIAM1,GAB1,AL589693.1,MCM4,MGAT4A
