Gene,C,Z,Pval,FDR,Module
CDH13,0.4871039391682775,401.32186613294834,0.0,0.0,1.0
MECOM,0.44070100637465254,363.962246245293,0.0,0.0,1.0
PTPRM,0.49660098678971515,350.684807995771,0.0,0.0,1.0
KIAA1217,0.4225826689488587,332.90899213482777,0.0,0.0,1.0
DOCK4,0.4425298335272919,329.8945730454478,0.0,0.0,1.0
FBXL7,0.4029285883466977,318.6179212746663,0.0,0.0,1.0
COL4A1,0.26309193653954455,308.81215639678544,0.0,0.0,1.0
MAGI1,0.3850084388717877,300.34683337504475,0.0,0.0,1.0
ADGRL2,0.350772057044835,250.92515678116212,0.0,0.0,1.0
AL627171.2,0.41929214328047276,222.42762882095693,0.0,0.0,59.0
PCDH17,0.27506995302978265,214.98697152927295,0.0,0.0,3.0
CDC42BPA,0.3250681395830946,214.5188225717931,0.0,0.0,1.0
COL4A2,0.2836883276798345,211.6570474271097,0.0,0.0,1.0
CD247,0.5166449598858501,206.62027042391134,0.0,0.0,5.0
ADGRL4,0.275025922771248,202.8808923500735,0.0,0.0,1.0
BACH2,0.48243423015381076,198.45808665831356,0.0,0.0,12.0
LINC00298,0.5290513960752498,197.99960505063302,0.0,0.0,5.0
PREX2,0.2222099937675176,197.24605867017883,0.0,0.0,1.0
AOAH,0.5577597785567439,196.89901498938067,0.0,0.0,5.0
ARHGAP29,0.22732949312782597,194.00866752071232,0.0,0.0,1.0
LRMDA,0.4411407214705892,189.84707329998122,0.0,0.0,25.0
RN7SL1,0.3524605895163105,187.81193355669956,0.0,0.0,59.0
GBE1,0.35898519382613264,186.92217509130353,0.0,0.0,3.0
KITLG,0.24180137916449726,180.66156912469611,0.0,0.0,3.0
SORCS2,0.2459788344716423,180.23207540104139,0.0,0.0,1.0
TCF4,0.5511233501168351,178.66708583472786,0.0,0.0,-1.0
PRKCH,0.47340642791114296,177.11523202116163,0.0,0.0,5.0
CHSY3,0.21982268625513654,176.95751052205185,0.0,0.0,1.0
AFF3,0.5352016455835964,176.8522518605526,0.0,0.0,12.0
UACA,0.23979139494080218,172.98251486650463,0.0,0.0,1.0
NFIA,0.2360014351843266,171.95792307308216,0.0,0.0,1.0
LINGO2,0.451674775010289,171.53800137378042,0.0,0.0,5.0
PTPRB,0.21957372653596496,166.79208221216004,0.0,0.0,3.0
VCAN,0.6719165123869646,166.4617882017822,0.0,0.0,4.0
PAX5,0.4414477043099375,164.38594887145808,0.0,0.0,12.0
PARD3B,0.27821667678024187,162.90536897244212,0.0,0.0,3.0
BANK1,0.44976654351110634,162.88692168381695,0.0,0.0,12.0
SPARCL1,0.16354377112706764,161.44483768816443,0.0,0.0,1.0
MTCO3P13,0.14924916666074214,160.11458661170388,0.0,0.0,2.0
MTRNR2L5,0.1734082821652237,157.53336243009247,0.0,0.0,2.0
PITPNC1,0.40725876281134576,152.4590094481666,0.0,0.0,5.0
CASC15,0.24588010897088566,150.31942138755267,0.0,0.0,1.0
SMAD1,0.24776824369405057,147.32793221099945,0.0,0.0,1.0
MTCO3P22,0.11826324681597333,147.29221159000053,0.0,0.0,2.0
APBB2,0.22587975758071266,144.65596237421173,0.0,0.0,3.0
AFAP1L1,0.15541527155700233,143.7722593096068,0.0,0.0,1.0
MT-RNR2,0.4602604322805374,143.19830525940026,0.0,0.0,47.0
TGFBR3,0.3880505444020503,142.91632208197143,0.0,0.0,5.0
PXDN,0.12176763682868767,141.9149280876519,0.0,0.0,1.0
ARHGEF28,0.19217379379428332,140.27756137596856,0.0,0.0,1.0
ST6GALNAC3,0.2546116263777314,137.8341869277792,0.0,0.0,3.0
