BC_1,logFC,pvals,pvals_adj
SNHG5,1.7383311,2.832569775235068e-23,1.1564063113211386e-21
XIST,9.553772,3.603598600233394e-14,1.009600444497821e-12
RNA5SP54,3.8090975,8.25727351870318e-13,2.1562969905029707e-11
RNA5SP352,5.315609,5.8590808429062917e-05,0.0008692732137932284
RNA5SP290,5.1972933,0.005238979266539185,0.05828639462101132
HBB,2.9728792,0.010259270945813932,0.10837462910504908
RNA5SP191,6.070282,0.03409738781434561,0.3140015142022511
MT-TP,0.632351,0.04853144745348225,0.4250869839037193
HBA2,2.5912917,0.058246953474126964,0.4999005992549082
RPL39,1.8049595,0.058469556072324236,0.5014500560706311
KNL1,2.5733817,0.09067849303458872,0.730144083394348
BCL2,0.2525291,0.10966234213255048,0.8519288240874123
RNA5SP42,4.9165936,0.189459648063254,1.0
ITK,-0.056072854,0.25451586926245795,1.0
IFNG-AS1,1.3208466,0.288516225584438,1.0
GATA3,1.7742326,0.2905921074909761,1.0
CAMK4,-0.04838784,0.2920577142195976,1.0
AF165147.1,0.1543068,0.29284139829063127,1.0
SLFN5,0.12863387,0.29295580339406335,1.0
TOX,-0.030303065,0.2944868054252724,1.0
LCK,0.9798657,0.31334518611531537,1.0
GZMA,1.4254777,0.3181295333982095,1.0
HBA1,4.008711,0.3495108355561696,1.0
TLE5,0.86539406,0.3600198189484982,1.0
LINC02384,0.29213378,0.3833236918082189,1.0
RIC8B,0.15606146,0.41920154584743763,1.0
RPLP2,-0.17160429,0.42421205755888824,1.0
TTC13,-0.10507756,0.4286235448145368,1.0
SLAMF6,0.066906735,0.4362658428260887,1.0
LINC01184,0.22898294,0.45290858211956075,1.0
EVL,-0.052225716,0.4572404511582009,1.0
ABCB1,0.70343834,0.46504826493431994,1.0
TXK,-0.0752739,0.4691820534576775,1.0
BICRA-AS1,3.2639542,0.47013383057657776,1.0
SAMD3,-0.26247278,0.48438194856240735,1.0
NFATC2,-0.1419728,0.48497184339388844,1.0
HIVEP3,-0.21770833,0.48501637954537724,1.0
CA5B,0.08075599,0.49088093017965395,1.0
CD96,-0.24987036,0.5122362895500839,1.0
AL589693.1,0.13488528,0.5189530266987404,1.0
TMEM156,0.7771541,0.5257498173912327,1.0
MDFIC,-0.23516735,0.534007783072284,1.0
SNORD60,1.2716595,0.5470851220382227,1.0
PVT1,0.2462508,0.5516695948300829,1.0
CCDC92,0.67506456,0.5518005165446801,1.0
MT-TS2,0.8097233,0.5535038864247959,1.0
AGK,0.47500333,0.5668006999449502,1.0
MAF,0.58740366,0.567259016752569,1.0
PTPN13,1.9098343,0.5689853245255755,1.0
VEZT,0.33142692,0.5793589650175514,1.0
MT-TG,0.28509054,0.5869242011284996,1.0
SUPT3H,-0.16856024,0.5872674880174502,1.0
RASGRP1,-0.039274488,0.5874391663107761,1.0
IL7R,-0.10686735,0.5971394153271188,1.0
ABCD2,0.34313917,0.5987095728764896,1.0
RPL22,0.469115,0.6151389454924758,1.0
OIP5-AS1,0.0023987624,0.6153017322757659,1.0
TARBP1,0.60086316,0.6163540415833542,1.0
DUSP10,0.83151484,0.6182853230758993,1.0
RNU6-235P,3.204234,0.6184359235891757,1.0
AC027097.1,0.22022498,0.6214387158440704,1.0
NAA25,0.09051654,0.6281074702248387,1.0
C12orf75,-0.03136543,0.630332970145618,1.0
RNA5SP429,1.1630024,0.633297072777375,1.0
NIPAL3,0.08410541,0.637347373079056,1.0
TSHZ1,-0.14662707,0.6377924264054218,1.0
S100P,2.2962177,0.6403126120613182,1.0
RPL13,0.08361124,0.6446882083110537,1.0
SNORD66,2.395914,0.6456977520420302,1.0
TANGO6,-0.061312553,0.6459662217190851,1.0
IL2RB,0.24880877,0.6493708198060266,1.0
NCAM1,0.021767888,0.6498321577089443,1.0
LINC01934,-0.11044562,0.6520766827653905,1.0
FCRL3,0.31930977,0.6570128478649884,1.0
RNY1,0.56848663,0.6573604889597604,1.0
AK3,0.15317968,0.6587517941571572,1.0
PMS1,-0.24809656,0.6669429748131399,1.0
GZMB,0.99702984,0.66883495416491,1.0
TRAF5,-0.1146042,0.6692758546908888,1.0
RPL36,0.33263516,0.6696909240660611,1.0
TSEN15,0.10234798,0.676046189915408,1.0
LGALS1,2.0721395,0.6762024402165784,1.0
ZMAT4,1.3260791,0.6765540543731345,1.0
GIMAP7,0.24951631,0.6779221126293982,1.0
CD52,0.5478447,0.6785478648806764,1.0
AC009879.3,1.0714878,0.6825160953960305,1.0
KLHL42,1.0007763,0.6827251941488823,1.0
CROT,0.7845982,0.6859955161988214,1.0
SNAPC3,0.2823698,0.6920282619153877,1.0
CD6,0.0067783855,0.6959074277260013,1.0
PRNP,0.67932403,0.6976194268800859,1.0
AC104041.1,2.227032,0.6981860429590346,1.0
MFSD6,-0.21508579,0.7006521173974737,1.0
SPN,-0.10031759,0.7027910573283473,1.0
MRPL1,0.1052011,0.7050381566430506,1.0
KIF21A,0.13065913,0.7054482000747666,1.0
FDX1,0.6041817,0.705871560462856,1.0
IMPAD1,0.010156003,0.7078175403411467,1.0
CX3CR1,-0.17155768,0.7091954423885389,1.0
HOPX,0.8771563,0.7134676577817309,1.0
AL035461.3,0.6267444,0.7144773247545166,1.0
ALKBH3,0.4833033,0.7170968117957388,1.0
PRF1,-0.01995953,0.7171766455516926,1.0
ACVR1,-0.0902181,0.719013673124244,1.0
RRP1B,0.89315605,0.7195064861315772,1.0
MRPS9,0.19473876,0.7200660368039011,1.0
SATB1-AS1,-0.21914256,0.7213589051850369,1.0
SCAI,-0.12763956,0.7266185047391316,1.0
BIRC3,-0.42449838,0.7269660417454347,1.0
C5orf17,0.8086061,0.7277682645540469,1.0
RPS27AP12,0.6530782,0.7333116920244069,1.0
AC005670.3,0.54934555,0.7348406024816275,1.0
TULP4,-0.11013089,0.7360886506412145,1.0
C20orf194,0.04738914,0.7367465048794326,1.0
RRAS2,-0.17100996,0.7376731981746051,1.0
AC073140.1,1.454181,0.7384255775542183,1.0
PKIA-AS1,1.3335649,0.7385868343316957,1.0
AC073332.1,1.0723695,0.7415183280595865,1.0
IFFO2,0.47305363,0.74310666917881,1.0
ZNF124,-0.07410457,0.7444401048372553,1.0
CD3D,1.0298035,0.7445478907360341,1.0
HIKESHI,0.12066684,0.7465832858634227,1.0
SBK1,0.8064449,0.7478377548731021,1.0
AL136456.1,0.61740685,0.7491198914675019,1.0
HADH,1.0298035,0.7502406419784063,1.0
SEC31B,0.13134906,0.7504702584349753,1.0
NDUFA4,0.80572534,0.7505513048163244,1.0
MT-TV,0.14289205,0.7534302287107066,1.0
SLC6A16,0.47594088,0.7544988731274318,1.0
SNRPD2,1.3947039,0.7558387240553004,1.0
PTPRM,0.09720238,0.7559876417999708,1.0
RPL37A,-0.22773594,0.7577076200344637,1.0
SSBP1,0.34483275,0.7577482639855396,1.0
CETN3,1.6265261,0.7584799695235211,1.0
EVA1C,0.27437195,0.7586019414993737,1.0
RAB4A,0.21904223,0.7588459034708561,1.0
S1PR1,0.27918875,0.7589543387211829,1.0
AC013489.1,0.9901141,0.7589678934608113,1.0
LINC01278,-0.40390527,0.7619245879055272,1.0
SH2D1B,1.022259,0.7620060142004925,1.0
MANEA,0.766036,0.7622503088906589,1.0
RNLS,0.21904223,0.7639474520380293,1.0
DENND2D,-0.24161534,0.7642734336179086,1.0
AC055748.1,1.3915782,0.7644364400786845,1.0
WDR53,0.3382038,0.7660262990616669,1.0
SHPRH,-0.334028,0.7660534847275741,1.0
MIR181A2HG,0.42423165,0.7666788344903418,1.0
DLG3,0.84652835,0.767916386900217,1.0
GALM,0.089908145,0.7679980045959929,1.0
LINC02446,0.41929004,0.7681612477041496,1.0
SNORD13,0.40865287,0.7689095767532969,1.0
TC2N,-0.05029534,0.7694267299354551,1.0
TAF1B,-0.44983685,0.7700801226680526,1.0
SEM1,-0.26635867,0.7706383582515148,1.0
ATXN10,-0.40180802,0.7710332795796571,1.0
SHQ1,0.024197385,0.7717960541734091,1.0
EDA,0.47594088,0.7721638993728317,1.0
SLC11A2,0.114509,0.7730224038615583,1.0
SNORD15A,1.2222117,0.7731859600565065,1.0
EMC7,0.049012538,0.7735131026591324,1.0
ZHX1-C8orf76,0.84652835,0.7735948945991131,1.0
NDUFB2,0.61729324,0.773922087490641,1.0
RUSC2,1.5184722,0.7759952396956873,1.0
AC008750.7,1.1894616,0.7761180423544018,1.0
AASDH,0.5325352,0.7771279650427185,1.0
FARS2,-0.2547768,0.7772371684705571,1.0
AL035701.1,0.3634559,0.7776194151161326,1.0
SMAD1,2.8071828,0.7785069807808309,1.0
TES,-0.64360446,0.7785479523354046,1.0
SNORD53,2.5846298,0.7785616096570486,1.0
FMC1,1.2003725,0.7789440424133366,1.0
RNY4,1.2768204,0.7789577017165634,1.0
PANX1,0.80572534,0.7794494820699495,1.0
MYO3B,0.58460176,0.77987303035319,1.0
RN7SKP226,0.58460176,0.7802419804956611,1.0
CENPK,-0.36038888,0.7818139882134267,1.0
MCEE,0.80500627,0.7820464477720733,1.0
CD3E,0.03629746,0.7833868877620938,1.0
FGFBP2,0.15050131,0.7837699889244207,1.0
RFTN1,-0.32564947,0.7839615591685732,1.0
TOMM70,0.049012538,0.7851112552215163,1.0
POGK,0.43091103,0.786302506245071,1.0
RPL18,0.357998,0.7870010586527689,1.0
GORAB,1.0688455,0.7879190252285105,1.0
PTCD3,-0.045414116,0.788878409527252,1.0
GSTCD,0.31338057,0.7891662873326216,1.0
AP4S1,0.43567526,0.789207415084219,1.0
DHX29,-0.29406324,0.7902632280831701,1.0
PCED1B,-0.53595203,0.7910176161140645,1.0
GNLY,-0.1469851,0.7920191970838041,1.0
EID1,0.12066684,0.7931858540778145,1.0
ZNHIT6,-0.061882276,0.7932544954046951,1.0
MTND4P12,1.543903,0.7933917828632837,1.0
AC015911.3,0.9048639,0.7937350295142633,1.0
ALKBH8,0.3634559,0.7952457885991031,1.0
GOLGA2P5,2.5453506,0.7960289389755438,1.0
GPR174,-0.40010354,0.7960426802923108,1.0
MRPL58,2.278912,0.7960564216723248,1.0
LINC02100,-0.13185912,0.7963999767160186,1.0
FUT11,0.20070702,0.7966336166909935,1.0
AL096803.2,-0.24902594,0.7969772379965847,1.0
TRAC,0.61283344,0.7971559366331659,1.0
P2RX7,0.58236676,0.797169683122669,1.0
ENOSF1,0.2386737,0.7985308963456197,1.0
