Gene,C,Z,Pval,FDR,Module
HBA1,0.17308222212368274,254.45228717383216,0.0,0.0,-1.0
HBB,0.09966003999088542,194.1914875736497,0.0,0.0,-1.0
HBA2,0.09168354166167131,185.59037036137997,0.0,0.0,-1.0
AC090204.1,0.4398534626101106,161.05034548852996,0.0,0.0,2.0
MTRNR2L1,0.48474931301480345,159.73227943678043,0.0,0.0,2.0
MTRNR2L5,0.44514286812971665,147.07039998724326,0.0,0.0,2.0
XIST,0.32007833934604835,146.76182450876027,0.0,0.0,-1.0
MALAT1,0.5394073048902954,146.46276842831492,0.0,0.0,1.0
NAMPT,0.6319805764337385,130.60744363008035,0.0,0.0,1.0
NEAT1,0.5606386476789273,126.30010858845009,0.0,0.0,1.0
LYN,0.5473264026857827,122.31855277447254,0.0,0.0,1.0
SMCHD1,0.5525852480592945,118.50768722973234,0.0,0.0,1.0
MTRNR2L7,0.3704833113720682,118.29465901348645,0.0,0.0,2.0
PICALM,0.5524143396635974,116.7092807357318,0.0,0.0,1.0
FP236383.1,0.40769813663718646,114.40552230819684,0.0,0.0,2.0
COP1,0.5276736913306612,113.24495810933985,0.0,0.0,1.0
FAM49B,0.517830786171201,113.12704507387818,0.0,0.0,1.0
USP15,0.5423721204714543,113.00186367836875,0.0,0.0,1.0
LRRK2,0.5370721906723455,112.57744555048039,0.0,0.0,1.0
MT-RNR1,0.3438871257051067,112.42819271097606,0.0,0.0,4.0
ARHGAP26,0.5382087647633705,112.2533905244516,0.0,0.0,1.0
MT-RNR2,0.3604817833147987,111.68896487168503,0.0,0.0,4.0
MNDA,0.48867528686428763,110.79642845927644,0.0,0.0,1.0
SORL1,0.5013982047575334,110.47973044641253,0.0,0.0,1.0
RN7SL1,0.3181538641794412,109.99031123052863,0.0,0.0,4.0
SSH2,0.5199980242273172,109.04823957556427,0.0,0.0,1.0
ITM2B,0.5224098410195949,108.21265492797616,0.0,0.0,1.0
MED13L,0.504139403580807,106.79742939779871,0.0,0.0,1.0
RNF149,0.4610030708116742,106.19148884435813,0.0,0.0,1.0
RN7SK,0.4546618955987498,105.98422153575044,0.0,0.0,1.0
LYST,0.49488243549865196,105.81542822665634,0.0,0.0,1.0
PTPRC,0.48879292673544866,105.79919226081036,0.0,0.0,1.0
RIPOR2,0.4691148957136389,104.93634071821275,0.0,0.0,1.0
SRGN,0.4927221911739095,103.84976627694269,0.0,0.0,1.0
VMP1,0.4806121799703721,102.91583454940691,0.0,0.0,1.0
DOCK5,0.4416068201974083,102.40862450572718,0.0,0.0,1.0
ANKRD44,0.48208314263583846,100.42574490362674,0.0,0.0,1.0
JMJD1C,0.47355693788428854,100.05328712759548,0.0,0.0,1.0
WDFY3,0.45804661441820477,99.92663748101299,0.0,0.0,1.0
NUMB,0.4747296164170205,99.62514167856293,0.0,0.0,1.0
CPQ,0.47421770101132266,99.10587290338682,0.0,0.0,1.0
S100A9,0.4655010849076567,98.63231792639671,0.0,0.0,1.0
CELF2,0.44709397042981336,98.29476599673804,0.0,0.0,1.0
NCOA1,0.4585155133218526,98.02467665540873,0.0,0.0,1.0
SOD2,0.4164812885663225,97.77945100109913,0.0,0.0,1.0
EPHB1,0.44829757832914,97.50930013437666,0.0,0.0,1.0
GCA,0.476551856845531,97.26283503331568,0.0,0.0,1.0
ZFAND3,0.4555513905742673,95.5335531873448,0.0,0.0,1.0
TET2,0.452028546182812,95.50417180741569,0.0,0.0,1.0
