Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Adipose Tissue Development (GO:1904177),5/11,4.08112495867932e-08,7.097076303143337e-05,0,0,85.03006872852234,1446.7277844221778,NCOA1;NCOA2;SPI1;LCP1;SORL1
GO_Biological_Process_2023,Protein Phosphorylation (GO:0006468),18/500,2.805515186239529e-06,0.0024393954544352,0,0,3.985947135553976,50.95604273279381,SRPK2;LYN;USP15;CAMK1D;DMPK;PRKCB;LIMK2;LRRK2;PIK3CD;STK4;IGF1R;TGFBR2;HCK;STK10;STK17B;SIK3;RICTOR;EPHB1
GO_Biological_Process_2023,Positive Regulation Of Programmed Cell Death (GO:0043068),12/245,6.646777803253316e-06,0.0038529155332858,0,0,5.389272681370636,64.24755872839211,RASSF2;DDX3X;BCL6;STK17B;LRRK2;LAPTM5;MNDA;CFLAR;GBP2;STK4;TMEM164;MCL1
GO_Biological_Process_2023,Regulation Of Cellular Response To Insulin Stimulus (GO:1900076),3/6,1.8982626841727717e-05,0.0073516489195981,0,0,101.01020408163264,1098.1815623949576,NCOA1;NCOA2;ATP2B1
GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),17/525,2.1137575962041835e-05,0.0073516489195981,0,0,3.5474279657350523,38.186140232165776,LYN;DDX3X;PRKCB;LAPTM5;PIK3CD;PTPRJ;IQGAP1;CFLAR;LITAF;IGF1R;PIK3R5;PTPRC;PELI1;RICTOR;ALPK1;S100A9;S100A8
GO_Biological_Process_2023,Phosphorylation (GO:0016310),15/429,2.7323718534087534e-05,0.0079193244217963,0,0,3.8175409577819783,40.1137866985986,SRPK2;LYN;DMPK;PRKCB;LIMK2;LRRK2;PIK3CD;STK4;TGFBR2;HCK;STK10;STK17B;SIK3;RICTOR;EPHB1
GO_Biological_Process_2023,Positive Regulation Of Adipose Tissue Development (GO:1904179),3/7,3.29759098151139e-05,0.0081921581669261,0,0,75.75382653061224,781.7592838780939,NCOA1;NCOA2;SORL1
GO_Biological_Process_2023,Regulation Of Intracellular Signal Transduction (GO:1902531),12/297,4.484160397256555e-05,0.0097474436635364,0,0,4.394258373205742,43.99695911734966,LYN;PREX1;RASSF2;TMSB4X;DOCK8;LRRK2;RICTOR;ARAP1;ARHGAP26;ARHGAP15;DOCK2;STK4
GO_Biological_Process_2023,Regulation Of Aspartic-Type Endopeptidase Activity Involved In Amyloid Precursor Protein Catabolic Process (GO:1902959),3/8,5.237453506859588e-05,0.0101199240538098,0,0,60.6,597.3396574380373,LYN;SORL1;PICALM
GO_Biological_Process_2023,Negative Regulation Of MAPK Cascade (GO:0043409),7/105,8.681716352478535e-05,0.0120437881642131,0,0,7.329985119047619,68.54786742579408,LYN;RGS2;PTPRC;DUSP1;PTPRJ;SORL1;IGF1R
GO_Biological_Process_2023,Positive Regulation Of Cell Migration (GO:0030335),11/272,9.258662830023608e-05,0.0120437881642131,0,0,4.38045161816255,40.68285667649559,SPAG9;DOCK5;PTPRC;PECAM1;NUMB;ITGAX;NEDD9;PIK3CD;SOD2;HIF1A;IGF1R
GO_Biological_Process_2023,Protein Modification Process (GO:0036211),19/711,9.34145850462578e-05,0.0120437881642131,0,0,2.9148281952472703,27.045125759483152,SRPK2;LYN;PPP1R12A;DMPK;PRKCB;LIMK2;LRRK2;PIK3CD;PTPRJ;SSH2;STK4;TGFBR2;HCK;STK10;PTPRC;ATG16L2;STK17B;SIK3;EPHB1
GO_Biological_Process_2023,Positive Regulation Of Cellular Process (GO:0048522),17/594,9.762021779815008e-05,0.0120437881642131,0,0,3.112042203896624,28.73792324291695,SRPK2;LYN;DDX3X;NEDD9;PTPRJ;GAB2;ACTB;IGF1R;TGFBR2;SLC6A6;HCK;NAMPT;CXCR2;ITGAX;RICTOR;S100A9;S100A8
GO_Biological_Process_2023,Positive Regulation Of Protein Kinase Activity (GO:0045860),8/145,0.00010383755141263608,0.0120437881642131,0,0,6.011846982840983,55.14476593079216,RASSF2;PTPRC;DDX3X;LRRK2;NEDD9;LCP2;IQGAP1;TGFBR2
GO_Biological_Process_2023,Positive Regulation Of Protein Phosphorylation (GO:0001934),13/377,0.0001086715752407345,0.0120437881642131,0,0,3.732142857142857,34.06394074517856,LYN;DDX3X;LIMK2;LRRK2;PTPRJ;IQGAP1;STK4;TGFBR2;RASSF2;PTPRC;SLCO3A1;PECAM1;LCP2
GO_Biological_Process_2023,Negative Regulation Of Intracellular Signal Transduction (GO:1902532),10/231,0.00011081116194790668,0.0120437881642131,0,0,4.687687040628217,42.69396779952288,LYN;SPI1;DDX3X;DUSP1;TMSB4X;PLEK;PTPRJ;UBR2;ARHGAP25;IGF1R
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),6/77,0.00011862447954648292,0.012134586466549,0,0,8.638984164051667,78.09250933052424,CXCR2;PECAM1;PIK3CD;TREM1;S100A9;S100A8
GO_Biological_Process_2023,Regulation Of MAP Kinase Activity (GO:0043405),7/114,0.00014558615750221403,0.0130625092307818,0,0,6.710377725856698,59.28445927777137,LYN;RGS2;DUSP1;LRRK2;PTPRJ;SORL1;PIK3R5
GO_Biological_Process_2023,Negative Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071901),6/80,0.00014668494756323882,0.0130625092307818,0,0,8.287494748634645,73.15556827705039,LYN;RGS2;DUSP1;PTPRJ;SORL1;SLC8A1
GO_Biological_Process_2023,Negative Regulation Of MAP Kinase Activity (GO:0043407),5/51,0.00015023012341324718,0.0130625092307818,0,0,11.068467055132228,97.43950403880925,LYN;RGS2;DUSP1;PTPRJ;SORL1
GO_Biological_Process_2023,Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056),7/118,0.0001804196720412062,0.0136226959341245,0,0,6.467248498498498,55.7491366026141,PREX1;DOCK8;ARAP1;ARHGAP15;ARHGAP26;DOCK2;ARHGAP25
GO_Biological_Process_2023,Positive Regulation Of Cell Projection Organization (GO:0031346),7/118,0.0001804196720412062,0.0136226959341245,0,0,6.467248498498498,55.7491366026141,LYN;SETX;NCOA2;CAMK1D;NEDD9;PLXNC1;S100A9
GO_Biological_Process_2023,Actin Cytoskeleton Reorganization (GO:0031532),5/53,0.00018059771723319897,0.0136226959341245,0,0,10.60620704467354,91.417428702615,SIPA1L1;PLEK;MYH9;NEDD9;RICTOR
GO_Biological_Process_2023,Peptidyl-Serine Phosphorylation (GO:0018105),8/158,0.00018800730443875187,0.0136226959341245,0,0,5.48719022687609,47.07476815907856,SRPK2;CAMK1D;DMPK;PRKCB;LRRK2;RICTOR;STK4;TGFBR2
GO_Biological_Process_2023,Integrin-Mediated Signaling Pathway (GO:0007229),6/85,0.00020489382796401649,0.0141921355130013,0,0,7.761002164360202,65.91433593336623,HCK;FYB1;PLEK;ITGAX;MYH9;NEDD9
