Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Lymphocyte Activation (GO:0051249),3/18,0.0007091332972159478,0.2577162436037748,0,0,20.18979591836735,146.4056396816298,LCK;FCRL3;CRTAM
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Proliferation (GO:0050671),5/74,0.0008566035980155941,0.2577162436037748,0,0,7.370386971462723,52.053618104945166,CD40LG;CD6;FCRL3;BCL2;CD3E
GO_Biological_Process_2023,T Cell Activation (GO:0042110),6/111,0.0008571493689704261,0.2577162436037748,0,0,5.831532198371576,41.18168767791654,LCK;CRTAM;SLAMF6;GATA3;CD3E;CD3D
GO_Biological_Process_2023,Positive Regulation Of Natural Killer Cell Mediated Immunity (GO:0002717),3/24,0.0016833730119356,0.3070998603722283,0,0,14.416909620991254,92.08016384706592,CRTAM;SH2D1B;SLAMF6
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),5/93,0.0023745599606898,0.3070998603722283,0,0,5.773488753514527,34.88886424751548,RPL22;RPL36;RPL13;RPL18;RPL39
GO_Biological_Process_2023,Translation (GO:0006412),8/234,0.0024381979592429,0.3070998603722283,0,0,3.627855256451837,21.826976834297582,MRPS9;MRPL1;RPL22;RPL36;RPL13;MRPL58;RPL18;RPL39
GO_Biological_Process_2023,Somatic Recombination Of Immunoglobulin Genes Involved In Immune Response (GO:0002204),2/9,0.0033868209242454,0.3070998603722283,0,0,28.70775924583031,163.28581822148593,EXOSC6;CD40LG
GO_Biological_Process_2023,Regulation Of Dendritic Cell Differentiation (GO:2001198),2/10,0.0042058821002059,0.3070998603722283,0,0,25.118020304568528,137.42750193307856,LGALS1;TMEM176B
GO_Biological_Process_2023,Neuron Projection Maintenance (GO:1990535),2/10,0.0042058821002059,0.3070998603722283,0,0,25.118020304568528,137.42750193307856,PRNP;ABCD2
GO_Biological_Process_2023,Oxygen Transport (GO:0015671),2/10,0.0042058821002059,0.3070998603722283,0,0,25.118020304568528,137.42750193307856,HBB;HBA1
GO_Biological_Process_2023,Negative Regulation Of Activated T Cell Proliferation (GO:0046007),2/10,0.0042058821002059,0.3070998603722283,0,0,25.118020304568528,137.42750193307856,PRNP;CRTAM
GO_Biological_Process_2023,Positive Regulation Of T Cell Activation (GO:0050870),5/107,0.0043452847393377,0.3070998603722283,0,0,4.977511623205984,27.071013223782284,CD40LG;CD6;LCK;GATA3;CD3E
GO_Biological_Process_2023,tRNA Modification (GO:0006400),4/67,0.0044714177314666,0.3070998603722283,0,0,6.426699226699227,34.76876257536488,PUS3;METTL8;ALKBH8;TARBP1
GO_Biological_Process_2023,Carbon Dioxide Transport (GO:0015670),2/11,0.0051069821569661,0.3070998603722283,0,0,22.326001128031585,117.81758150614074,HBB;HBA1
GO_Biological_Process_2023,Isotype Switching (GO:0045190),2/11,0.0051069821569661,0.3070998603722283,0,0,22.326001128031585,117.81758150614074,EXOSC6;CD40LG
GO_Biological_Process_2023,Response To Iron Ion (GO:0010039),2/12,0.006088424117449,0.3432349096211923,0,0,20.09238578680203,102.49861363841087,SLC11A2;BCL2
GO_Biological_Process_2023,Regulation Of Oxidoreductase Activity (GO:0051341),2/13,0.0071485363517022,0.3792929287785523,0,0,18.26488232579603,90.244000903913,GZMA;FDX1
GO_Biological_Process_2023,Lymphocyte Migration (GO:0072676),3/41,0.0078342427264246,0.3925826077352811,0,0,7.960392051557465,38.60193959803714,CRTAM;S1PR1;GATA3
GO_Biological_Process_2023,B Cell Mediated Immunity (GO:0019724),2/15,0.0094982098649534,0.3976151416607442,0,0,15.453338539632956,71.96081878806426,IL2RB;IL21R
GO_Biological_Process_2023,Alpha-Beta T Cell Activation (GO:0046631),2/15,0.0094982098649534,0.3976151416607442,0,0,15.453338539632956,71.96081878806426,CD3E;CD3D
GO_Biological_Process_2023,Gas Transport (GO:0015669),2/15,0.0094982098649534,0.3976151416607442,0,0,15.453338539632956,71.96081878806426,HBB;HBA1
GO_Biological_Process_2023,Gene Expression (GO:0010467),8/296,0.0097789467108222,0.3976151416607442,0,0,2.8378417684700405,13.13217947008201,EXOSC6;GZMA;RPL22;RPL36;RPL13;GZMB;RPL18;RPL39
GO_Biological_Process_2023,B Cell Activation Involved In Immune Response (GO:0002312),2/16,0.0107845516579472,0.3976151416607442,0,0,14.348803480783175,64.99492239036189,EXOSC6;CD40LG
GO_Biological_Process_2023,Neuron Projection Organization (GO:0106027),2/16,0.0107845516579472,0.3976151416607442,0,0,14.348803480783175,64.99492239036189,PRNP;ABCD2
GO_Biological_Process_2023,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),5/134,0.0110203753231913,0.3976151416607442,0,0,3.930312475025973,17.717885651022883,LCK;BCL2;GATA3;CD3E;CD3D
GO_Biological_Process_2023,Positive Regulation Of Cell Death (GO:0010942),3/50,0.0134968444200566,0.4134847227026877,0,0,6.433130699088146,27.696553529978505,PRNP;HBB;HBA1
GO_Biological_Process_2023,Positive Regulation Of Interleukin-4 Production (GO:0032753),2/18,0.0135723774103952,0.4134847227026877,0,0,12.553934010152284,53.978383873324965,CD40LG;GATA3
GO_Biological_Process_2023,Intracellular Lipid Transport (GO:0032365),2/18,0.0135723774103952,0.4134847227026877,0,0,12.553934010152284,53.978383873324965,ABCD2;ARV1
GO_Biological_Process_2023,T Cell Receptor Signaling Pathway (GO:0050852),4/95,0.0149929265810052,0.4134847227026877,0,0,4.442941673710904,18.661140321153745,LCK;GATA3;CD3E;CD3D
GO_Biological_Process_2023,Regulation Of Lymphocyte Differentiation (GO:0045619),2/19,0.0150707852124375,0.4134847227026877,0,0,11.81487011048074,49.56334659892028,FCRL3;CRTAM
GO_Biological_Process_2023,Hydrogen Peroxide Catabolic Process (GO:0042744),2/20,0.016636844244122,0.4134847227026877,0,0,11.157924421883813,45.70437044645185,HBB;HBA1
