ChemicalName,ChemicalID,DiseaseName,DiseaseID
06-Paris-LA-66 protocol,C046983,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198
"10,11-dihydro-10-hydroxycarbamazepine",C039775,Epilepsy,MESH:D004827
10-hydroxycamptothecin,C028098,Huntington Disease,MESH:D006816
10-hydroxycamptothecin,C028098,Liver Neoplasms,MESH:D008113
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,Leukemia,MESH:D007938
10-nitro-oleic acid,C521487,Triple Negative Breast Neoplasms,MESH:D064726
10-propargyl-10-deazaaminopterin,C418863,"Lymphoma, Non-Hodgkin",MESH:D008228
10-propargyl-10-deazaaminopterin,C418863,"Lymphoma, T-Cell",MESH:D016399
"1,10-diaminodecane",C065351,Seizures,MESH:D012640
"1-(1'-(2-methylbenzyl)-1,4'-bipiperidin-4-yl)-1H-benzo(d)imidazol-2-(3H)-one",C532626,Cocaine-Related Disorders,MESH:D019970
"11-(2-pyrrolidin-1-ylethoxy)-14,19-dioxa-5,7,26-triazatetracyclo(19.3.1.1(2,6).1(8,12))heptacosa-1(25),2(26),3,5,8,10,12(27),16,21,23-decaene",C561234,Lymphoma,MESH:D008223
"11-(2-pyrrolidin-1-ylethoxy)-14,19-dioxa-5,7,26-triazatetracyclo(19.3.1.1(2,6).1(8,12))heptacosa-1(25),2(26),3,5,8,10,12(27),16,21,23-decaene",C561234,Primary Myelofibrosis,MESH:D055728
"1-(1,3-benzodioxol-5-ylcarbonyl)piperidine",C085415,Hyperkinesis,MESH:D006948
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,Movement Disorders,MESH:D009069
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,Poisoning,MESH:D011041
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,Acute Lung Injury,MESH:D055371
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,Cardiomyopathies,MESH:D009202
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,Colitis,MESH:D003092
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,Extravasation of Diagnostic and Therapeutic Materials,MESH:D005119
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,Fibrosis,MESH:D005355
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,Hyperalgesia,MESH:D006930
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,Hyperglycemia,MESH:D006943
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,Insulin Resistance,MESH:D007333
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,Pulmonary Edema,MESH:D011654
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,Weight Gain,MESH:D015430
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,Weight Loss,MESH:D015431
11-keto-boswellic acid,C447943,"Carcinoma, Ehrlich Tumor",MESH:D002286
11-keto-boswellic acid,C447943,Myocardial Reperfusion Injury,MESH:D015428
11-keto-boswellic acid,C447943,Sarcoma 180,MESH:D012510
