GI,Accession
38098849,AY436635.1
38098851,AY436636.1
38098853,AY436637.1
52221409,AY704917.1
52221244,AY702644.1
46452188,AY528751.1
46452182,AY528748.1
46452180,AY528747.1
46452186,AY528750.1
118202165,EF056487.1
89146512,DQ401031.1
118202163,EF056486.1
73913005,DQ112226.1
89146515,DQ403250.1
94315241,DQ471935.1
90101883,DQ431014.1
90101903,DQ431025.1
90101877,DQ431011.1
94315247,DQ471938.1
90101897,DQ431021.1
90101889,DQ431017.1
90101909,DQ431028.1
90101895,DQ431020.1
90101881,DQ431013.1
90101912,DQ431023.1
90101901,DQ431024.1
94315245,DQ471937.1
90101879,DQ431012.1
90101887,DQ431016.1
90101899,DQ431022.1
90101907,DQ431027.1
214027097,EU856361.1
214027109,EU856362.1
215254377,EU924790.1
281486533,GQ148751.1
281486553,GQ148761.1
281486513,GQ130261.1
281486567,GQ148768.1
281486579,GQ148774.1
281486493,GQ130251.1
281486547,GQ148758.1
281486559,GQ148764.1
281486527,GQ130268.1
281486573,GQ148771.1
281486487,GQ130248.1
281486507,GQ130258.1
281486545,GQ148757.1
281486499,GQ130254.1
281486571,GQ148770.1
281486525,GQ130267.1
281486485,GQ130247.1
281486505,GQ130257.1
281486531,GQ148750.1
281486539,GQ148754.1
281486551,GQ148760.1
281486479,GQ130244.1
281486519,GQ130264.1
281486565,GQ148767.1
281486511,GQ130260.1
281486491,GQ130250.1
281486549,GQ148759.1
281486503,GQ130256.1
281486557,GQ148763.1
281486537,GQ148753.1
281486477,GQ130243.1
281486563,GQ148766.1
281486517,GQ130263.1
281486497,GQ130253.1
281486543,GQ148756.1
281486569,GQ148769.1
305660873,HM450122.1
284180238,GU300129.1
305660861,HM450116.1
305660841,HM450106.1
305660853,HM450112.1
284180218,GU300119.1
305660867,HM450119.1
315063857,GU324419.1
284180212,GU300116.1
284180232,GU300126.1
305660847,HM450109.1
305660865,HM450118.1
284180210,GU300115.1
305660845,HM450108.1
284180230,GU300125.1
315434508,HQ450377.1
305660879,HM450125.1
284180204,GU300112.1
284180244,GU300132.1
284180216,GU300118.1
284180236,GU300128.1
305660859,HM450115.1
284180224,GU300122.1
284180228,GU300124.1
305660877,HM450124.1
288551407,GU356396.1
315063855,GU324418.1
284180242,GU300131.1
305660857,HM450114.1
284180222,GU300121.1
305660871,HM450121.1
305660851,HM450111.1
418470982,JN856008.2
63098796,DQ010921.1
74054227,DQ122858.1
74054229,DQ122859.1
82570511,DQ256137.1
82570513,DQ256138.1
82570514,DQ256139.1
82570516,DQ256140.1
237682463,FJ917519.1
237682473,FJ917520.1
237682483,FJ917521.1
237682493,FJ917522.1
237682503,FJ917523.1
237682513,FJ917524.1
237682523,FJ917525.1
237682532,FJ917526.1
237682542,FJ917527.1
237682552,FJ917528.1
237682562,FJ917529.1
237682572,FJ917530.1
237682582,FJ917531.1
237682592,FJ917532.1
237682602,FJ917533.1
237682612,FJ917534.1
237682622,FJ917535.1
237783633,FJ897745.1
237783634,FJ897746.1
237783635,FJ897747.1
237783636,FJ897748.1
237783637,FJ897749.1
237783638,FJ897750.1
237783639,FJ897751.1
237783640,FJ897752.1
237783641,FJ897753.1
237783642,FJ897754.1
238559917,FJ943761.1
238559926,FJ943762.1
238559932,FJ943763.1
238559939,FJ943764.1
238559947,FJ943765.1
238559950,FJ943766.1
238559953,FJ943767.1
238559956,FJ943768.1
238559958,FJ943769.1
238559962,FJ943770.1
238559965,FJ943771.1
238559971,FJ943772.1
238559974,FJ943773.1
240015188,GQ152141.1
242266552,GQ233036.1
242266553,GQ233037.1
242266554,GQ233038.1
242266555,GQ233039.1
251747936,FJ938051.1
251747948,FJ938052.1
251747960,FJ938053.1
251747972,FJ938054.1
251747982,FJ938055.1
251747993,FJ938056.1
251748004,FJ938057.1
251748016,FJ938058.1
251748027,FJ938059.1
251748039,FJ938060.1
251748051,FJ938061.1
251748063,FJ938062.1
262527605,GU053607.1
262527607,GU053608.1
262527609,GU053609.1
262527611,GU053610.1
262527613,GU053611.1
262527615,GU053612.1
262527617,GU053613.1
262527619,GU053614.1
262527621,GU053615.1
262527623,GU053616.1
262527625,GU053617.1
262527627,GU053618.1
262527629,GU053619.1
262527631,GU053620.1
262527633,GU053621.1
262527635,GU053622.1
262527637,GU053623.1
262527639,GU053624.1
262527641,GU053625.1
262527643,GU053626.1
262527645,GU053627.1
262527647,GU053628.1
262527649,GU053629.1
262527651,GU053630.1
262527653,GU053631.1
262527655,GU053632.1
262527657,GU053633.1
262527659,GU053634.1
262527661,GU053635.1
262527663,GU053636.1
262527665,GU053637.1
262527667,GU053638.1
262527669,GU053639.1
262527671,GU053640.1
262527673,GU053641.1
262527674,GU053642.1
192758567,EU769559.1
192758569,EU769560.1
52221236,AY702640.1
52221238,AY702641.1
13397900,AJ271965.2
33304214,AY335549.1
60219106,AJ884686.1
85680429,DQ201447.1
110746792,DQ811785.1
110746802,DQ811786.1
110746812,DQ811787.1
110746821,DQ811788.1
110746831,DQ811789.1
126513484,EF100894.1
126513486,EF100895.1
126513488,EF100896.1
126513490,EF100897.1
162296297,EU287428.1
162945935,EU302819.1
