Accession,VirusID
AY436635.1,693997
AY436636.1,693997
AY436637.1,693997
AY704917.1,693997
AY702644.1,693997
AY528751.1,693997
AY528748.1,693997
AY528747.1,693997
AY528750.1,693997
EF056487.1,693997
DQ401031.1,693997
EF056486.1,693997
DQ112226.1,693997
DQ403250.1,693997
DQ471935.1,693997
DQ431014.1,693997
DQ431025.1,693997
DQ431011.1,693997
DQ471938.1,693997
DQ431021.1,693997
DQ431017.1,693997
DQ431028.1,693997
DQ431020.1,693997
DQ431013.1,693997
DQ431023.1,693997
DQ431024.1,693997
DQ471937.1,693997
DQ431012.1,693997
DQ431016.1,693997
DQ431022.1,693997
DQ431027.1,693997
EU856361.1,693997
EU856362.1,693997
EU924790.1,693997
GQ148751.1,693997
GQ148761.1,693997
GQ130261.1,693997
GQ148768.1,693997
GQ148774.1,693997
GQ130251.1,693997
GQ148758.1,693997
GQ148764.1,693997
GQ130268.1,693997
GQ148771.1,693997
GQ130248.1,693997
GQ130258.1,693997
GQ148757.1,693997
GQ130254.1,693997
GQ148770.1,693997
GQ130267.1,693997
GQ130247.1,693997
GQ130257.1,693997
GQ148750.1,693997
GQ148754.1,693997
GQ148760.1,693997
GQ130244.1,693997
GQ130264.1,693997
GQ148767.1,693997
GQ130260.1,693997
GQ130250.1,693997
GQ148759.1,693997
GQ130256.1,693997
GQ148763.1,693997
GQ148753.1,693997
GQ130243.1,693997
GQ148766.1,693997
GQ130263.1,693997
GQ130253.1,693997
GQ148756.1,693997
GQ148769.1,693997
HM450122.1,693997
GU300129.1,693997
HM450116.1,693997
HM450106.1,693997
HM450112.1,693997
GU300119.1,693997
HM450119.1,693997
GU324419.1,693997
GU300116.1,693997
GU300126.1,693997
HM450109.1,693997
HM450118.1,693997
GU300115.1,693997
HM450108.1,693997
GU300125.1,693997
HQ450377.1,693997
HM450125.1,693997
GU300112.1,693997
GU300132.1,693997
GU300118.1,693997
GU300128.1,693997
HM450115.1,693997
GU300122.1,693997
GU300124.1,693997
HM450124.1,693997
GU356396.1,693997
GU324418.1,693997
GU300131.1,693997
HM450114.1,693997
GU300121.1,693997
HM450121.1,693997
HM450111.1,693997
JN856008.2,693997
DQ010921.1,693997
DQ122858.1,693997
DQ122859.1,693997
DQ256137.1,693997
DQ256138.1,693997
DQ256139.1,693997
DQ256140.1,693997
FJ917519.1,693997
FJ917520.1,693997
FJ917521.1,693997
FJ917522.1,693997
FJ917523.1,693997
FJ917524.1,693997
FJ917525.1,693997
FJ917526.1,693997
FJ917527.1,693997
FJ917528.1,693997
FJ917529.1,693997
FJ917530.1,693997
FJ917531.1,693997
FJ917532.1,693997
FJ917533.1,693997
FJ917534.1,693997
FJ917535.1,693997
FJ897745.1,693997
FJ897746.1,693997
FJ897747.1,693997
FJ897748.1,693997
FJ897749.1,693997
FJ897750.1,693997
