Host_ID,Phylum,Class,Order,Family,Genus,Species
10001,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,unclassified Sciurus species
10009,Chordata,Mammalia,Rodentia,Sciuridae,Tamiasciurus,Tamiasciurus hudsonicus
1001553,Chordata,Mammalia,Rodentia,Muridae,Dephomys,Dephomys defua
1001556,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus nanulus
1001577,Chordata,Mammalia,Chiroptera,Phyllostomidae,Lichonycteris,Lichonycteris obscura
10017,Chordata,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys californicus
10018,Chordata,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys heermanni
100181,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus corsicanus
100182,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus granatensis
10020,Chordata,Mammalia,Rodentia,Heteromyidae,Dipodomys,Dipodomys ordii
100224,Chordata,Mammalia,Primates,Cercopithecidae,Allochrocebus,Allochrocebus lhoesti
10023,Chordata,Mammalia,Rodentia,Pedetidae,Pedetes,Pedetes capensis
10029,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,Cricetulus griseus
10030,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,Cricetulus longicaudatus
10032,Chordata,Mammalia,Rodentia,Cricetidae,Cricetulus,Cricetulus migratorius
10034,Chordata,Mammalia,Rodentia,Cricetidae,Cricetus,Cricetus cricetus
10035,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,unclassified Mesocricetus species
10036,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,Mesocricetus auratus
10037,Chordata,Mammalia,Rodentia,Cricetidae,Mesocricetus,Mesocricetus brandti
100382,Chordata,Mammalia,Rodentia,Muridae,Apodemus,Apodemus mystacinus
1003843,Chordata,Aves,Coraciiformes,Alcedinidae,Halcyon,Halcyon smyrnensis
10040,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,unclassified Peromyscus species
10041,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus leucopus
10042,Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus
10044,Chordata,Mammalia,Rodentia,Cricetidae,Phodopus,Phodopus sungorus
10046,Chordata,Mammalia,Rodentia,Muridae,Meriones,unclassified Meriones species
10047,Chordata,Mammalia,Rodentia,Muridae,Meriones,Meriones unguiculatus
100487,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,Cercopithecus petaurista
100488,Chordata,Mammalia,Primates,Cercopithecidae,Miopithecus,Miopithecus ogouensis
10053,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,unclassified Microtus species
10058,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus pennsylvanicus
10060,Chordata,Mammalia,Rodentia,Cricetidae,Ondatra,Ondatra zibethicus
10066,Chordata,Mammalia,Rodentia,Muridae,unclassified Muridae genus,unclassified Muridae species
10068,Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys cahirinus
10069,Chordata,Mammalia,Rodentia,Cricetidae,Akodon,unclassified Akodon species
10080,Chordata,Mammalia,Rodentia,Cricetidae,Bolomys,unclassified Bolomys species
10081,Chordata,Mammalia,Rodentia,Cricetidae,Bolomys,Bolomys amoenus
100819,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco tinnunculus
100823,Chordata,Lepidosauria,Squamata,Colubridae,Natrix,Natrix natrix
100826,Chordata,Aves,Charadriiformes,Scolopacidae,Scolopax,Scolopax rusticola
100828,Chordata,Aves,Podicipediformes,Podicipedidae,Tachybaptus,Tachybaptus ruficollis
100830,Chordata,Aves,Galliformes,Phasianidae,Tetrao,Tetrao urogallus
10084,Chordata,Mammalia,Rodentia,Nesomyidae,Cricetomys,unclassified Cricetomys species
10085,Chordata,Mammalia,Rodentia,Nesomyidae,Cricetomys,Cricetomys gambianus
100858,Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,Threskiornis aethiopicus
100859,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus vanellus
10089,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus caroli
100895,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus californicus
100897,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus fortis
10090,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus
10093,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus pahari
100937,Chordata,Mammalia,Primates,Cercopithecidae,Papio,Papio papio
100944,Chordata,Mammalia,Rodentia,Sciuridae,Hylopetes,unclassified Hylopetes species
100945,Chordata,Mammalia,Rodentia,Sciuridae,Hylopetes,Hylopetes phayrei
10096,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus spretus
10097,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus cervicolor
10098,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus cookii
10102,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus setulosus
10103,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus spicilegus
10105,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus minutoides
10111,Chordata,Mammalia,Rodentia,Muridae,Praomys,unclassified Praomys species
10112,Chordata,Mammalia,Rodentia,Muridae,Mastomys,Mastomys natalensis
10113,Chordata,Mammalia,Rodentia,Muridae,Praomys,Praomys daltoni
10114,Chordata,Mammalia,Rodentia,Muridae,Rattus,unclassified Rattus species
10115,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus leucopus
10116,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus
10117,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus rattus
101187,Chordata,Actinopteri,Batrachoidiformes,Batrachoididae,Halobatrachus,Halobatrachus didactylus
10119,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus fuscipes
10120,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus sordidus
101278,Chordata,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus pygmaeus
10128,Chordata,Mammalia,Rodentia,Muridae,Apodemus,unclassified Apodemus species
10129,Chordata,Mammalia,Rodentia,Muridae,Apodemus,Apodemus sylvaticus
10135,Chordata,Mammalia,Rodentia,Hystricidae,unclassified Hystricidae genus,unclassified Hystricidae species
