Host	Virus	HostTaxID	VirusTaxID	HostNCBIResolved	VirusNCBIResolved	ICTVRatified	HostGenus	HostFamily	HostOrder	HostClass	HostOriginal	VirusGenus	VirusFamily	VirusOrder	VirusClass	VirusOriginal	HostFlagID	DetectionMethod	DetectionOriginal	Database	DatabaseVersion	PublicationYear	ReferenceText	PMID	ReleaseYear	ReleaseMonth	ReleaseDay	CollectionYear	CollectionMonth	CollectionDay	AssocID	DatabaseDOI	NCBIAccession
	coronavirus hku15	9821	1965089	TRUE	TRUE	TRUE		suidae	artiodactyla	mammalia	Suidae	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Coronavirus HKU15	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2015	12	20	2014	8	3			KT313667.1, KT313668.1, KT313669.1, KT313670.1, KT313671.1, KT313679.1, KT313680.1, KT313681.1, KT313682.1, KT313683.1
	deltacoronavirus sp.	8976	1911231	TRUE	TRUE	FALSE			galliformes	aves	Galliformes	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Deltacoronavirus sp.	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2016	10	25	2013					KU956099.1, KU956100.1, KU956101.1, KU956102.1
	falcon coronavirus uae-hku27	8952	2078576	TRUE	TRUE	FALSE	falco	falconidae	falconiformes	aves	Falco	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Falcon coronavirus UAE-HKU27	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	5	8	2013	12	5			LC364342.1
	houbara coronavirus uae-hku28	172679	2078577	TRUE	TRUE	FALSE	chlamydotis	otididae	gruiformes	aves	Chlamydotis	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Houbara coronavirus UAE-HKU28	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	5	8	2013	4	7			LC364343.1
	magpie-robin coronavirus hku18	36291	1159903	TRUE	TRUE	FALSE		muscicapidae	passeriformes	aves	Muscicapidae	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Magpie-robin coronavirus HKU18	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2012	3	19	2007					JQ065046.1
	magpie-robin coronavirus hku18	36291	1159903	TRUE	TRUE	FALSE		muscicapidae	passeriformes	aves	Muscicapidae	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Magpie-robin coronavirus HKU18	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2012	3	30	2007					NC_016993.1
	night heron coronavirus hku19	8899	1159904	TRUE	TRUE	TRUE		ardeidae	pelecaniformes	aves	Ardeidae	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Night heron coronavirus HKU19	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2012	3	19	2007					JQ065047.1
	night heron coronavirus hku19	8899	1159904	TRUE	TRUE	TRUE		ardeidae	pelecaniformes	aves	Ardeidae	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Night heron coronavirus HKU19	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2012	3	30	2007					NC_016994.1
	pigeon coronavirus uae-hku29	8930	2078583	TRUE	TRUE	FALSE		columbidae	columbiformes	aves	Columbidae	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Pigeon coronavirus UAE-HKU29	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	5	8	2017	3	28			LC364344.1
	quail coronavirus uae-hku30	8976	2078581	TRUE	TRUE	FALSE			galliformes	aves	Galliformes	deltacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Quail coronavirus UAE-HKU30	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	5	8	2013	6	23			LC364345.1
