Host	Virus	HostTaxID	VirusTaxID	HostNCBIResolved	VirusNCBIResolved	ICTVRatified	HostGenus	HostFamily	HostOrder	HostClass	HostOriginal	VirusGenus	VirusFamily	VirusOrder	VirusClass	VirusOriginal	HostFlagID	DetectionMethod	DetectionOriginal	Database	DatabaseVersion	PublicationYear	ReferenceText	PMID	ReleaseYear	ReleaseMonth	ReleaseDay	CollectionYear	CollectionMonth	CollectionDay	AssocID	DatabaseDOI	NCBIAccession
	anser fabalis coronavirus ncn2	8830	2860474	TRUE	TRUE	FALSE		anatidae	anseriformes	aves	Anatidae sp.	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Anser fabalis coronavirus NCN2	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2021	7	22	2019	3				MW436465.1
	avian coronavirus	53274	694014	TRUE	TRUE	TRUE	rhizomys	spalacidae	rodentia	mammalia	Rhizomys	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2021	6	23	2014	3	19			MT222079.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2006	11	5						EF025537.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2006	5	9	1989					DQ487086.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2006	9	3	2002					DQ901377.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2009	1	11	2008	4	2			FJ491756.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2009	7	15	2008					GQ253482.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2009	7	7						GQ202253.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2010	10	3						GU301925.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2013	11	2	2009					KF360980.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2013	12	18	1998					KF826867.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2013	12	18	2000					KF826868.1, KF826869.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2013	12	18	2003					KF826874.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2013	12	18	2004					KF826873.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2013	12	18	2005					KF826861.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2013	12	18	2006					KF826862.1, KF826863.1, KF826864.1, KF826865.1, KF826866.1, KF826875.1, KF826876.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2013	12	18	2007					KF826872.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2013	12	18	2008					KF826870.1, KF826871.1, KF826877.1, KF826878.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2014	10	21	2011					KM093872.1, KM093873.1, KM093874.1, KM093875.1, KM093876.1, KM093877.1, KM093878.1, KM093879.1, KM093880.1, KM093881.1, KM093882.1, KM093883.1, KM093884.1, KM093885.1, KM093886.1, KM093887.1, KM093888.1, KM093889.1, KM093890.1, KM093891.1, KM093892.1, KM093893.1, KM093894.1, KM093895.1, KM093896.1, KM093897.1, KM093899.1, KM093901.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2014	5	13	2013	4	10			KJ577263.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2014	5	13	2013	4	15			KJ577258.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2014	5	13	2013	4	22			KJ577259.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2014	5	13	2013	4	26			KJ577260.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2014	5	13	2013	5	16			KJ577262.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2014	5	13	2013	5	2			KJ577261.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2015	10	24	1987	10	10			KR605488.1, KR605489.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	11	26	2016					MH397201.1, MH397202.1, MH397203.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	11	26	2017					MH412801.1, MH412802.1, MH427507.1, MH427508.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	3	23	2019	1	15			MK562092.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	11	30	1987					MT419370.1, MT419372.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	11	30	1987	10	10			MT419368.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	11	30	1990					MT419369.1, MT419371.1, MT419373.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	12	21	2019					MT085342.1, MT085343.1, MT085344.1, MT085345.1, MT085346.1, MT085347.1, MT085348.1, MT085349.1, MT085350.1, MT085351.1, MT085352.1, MT085353.1, MT085354.1, MT085355.1, MT085356.1, MT085357.1, MT085358.1, MT085359.1, MT085360.1, MT085361.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	8	10	2018					MN708473.1, MN708474.1, MN708475.1, MN708476.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	8	17	2018					MT081179.1
	avian coronavirus	8782	694014	TRUE	TRUE	TRUE				aves	Aves	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2020	8	17	2020					MT081180.1
	avian coronavirus	8830	694014	TRUE	TRUE	TRUE		anatidae	anseriformes	aves	Anatidae	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2010	11	24	2004	5				HQ442262.1
	avian coronavirus	8830	694014	TRUE	TRUE	TRUE		anatidae	anseriformes	aves	Anatidae	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2010	12	1	2004	4				HM371091.1
	avian coronavirus	8830	694014	TRUE	TRUE	TRUE		anatidae	anseriformes	aves	Anatidae	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2011	9	25	2004	5				JF699749.1, JF699750.1, JF699751.1, JF699752.1, JF705860.1
	avian coronavirus	8830	694014	TRUE	TRUE	TRUE		anatidae	anseriformes	aves	Anatidae	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2014	4	13	2012					KJ206446.1
	avian coronavirus	8830	694014	TRUE	TRUE	TRUE		anatidae	anseriformes	aves	Anatidae	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2015	5	13	2014					KP032640.1, KP032641.1, KP032642.1, KP032643.1, KP032644.1, KP032665.1, KP032666.1, KP032667.1, KP032668.1, KP032671.1, KP032672.1, KP032673.1
	avian coronavirus	8830	694014	TRUE	TRUE	TRUE		anatidae	anseriformes	aves	Anatidae	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2015	5	9	2014					KM454473.1
	avian coronavirus	8830	694014	TRUE	TRUE	TRUE		anatidae	anseriformes	aves	Anatidae	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2016	1	19	2013					KT222479.1, KT222480.1, KT222481.1, KT222482.1, KT222483.1, KT222484.1, KT222485.1, KT222486.1
	avian coronavirus	8830	694014	TRUE	TRUE	TRUE		anatidae	anseriformes	aves	Anatidae	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2016	1	19	2014					KP032646.1, KP032647.1, KP032648.1, KP032649.1, KP032660.1, KP032661.1, KP032662.1, KP032663.1, KP032664.1
	avian coronavirus	8830	694014	TRUE	TRUE	TRUE		anatidae	anseriformes	aves	Anatidae	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	4	16	2015					MG272487.1
	avian coronavirus	8830	694014	TRUE	TRUE	TRUE		anatidae	anseriformes	aves	Anatidae	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	1	25	2016					MH487500.1, MH487501.1
	avian coronavirus	8830	694014	TRUE	TRUE	TRUE		anatidae	anseriformes	aves	Anatidae	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	10	6	2010	3	23			MK617494.1
	avian coronavirus	8830	694014	TRUE	TRUE	TRUE		anatidae	anseriformes	aves	Anatidae	gammacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Avian coronavirus	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	4	15	2018	7				MH745419.1
