Version,Accession
KC117184.1,KC117184
KC117185.1,KC117185
KC117186.1,KC117186
KC117187.1,KC117187
KC117188.1,KC117188
KC117189.1,KC117189
KC117190.1,KC117190
KC117191.1,KC117191
KC117193.1,KC117193
KC117194.1,KC117194
KC117195.1,KC117195
KC117196.1,KC117196
KC117197.1,KC117197
KC117198.1,KC117198
KC117199.1,KC117199
KC117200.1,KC117200
KC117201.1,KC117201
KC117202.1,KC117202
KC117203.1,KC117203
KC117204.1,KC117204
KC117205.1,KC117205
KC117206.1,KC117206
KC117207.1,KC117207
KC117208.1,KC117208
KC117209.1,KC117209
KC117210.1,KC117210
KC117211.1,KC117211
KC117212.1,KC117212
KC117213.1,KC117213
KC692413.1,KC692413
KC692414.1,KC692414
KC692415.1,KC692415
KC692416.1,KC692416
KX284902.1,KX284902
KX284903.1,KX284903
KX284904.1,KX284904
KX284905.1,KX284905
KX284906.1,KX284906
KX284907.1,KX284907
KX284908.1,KX284908
KX284909.1,KX284909
KX284910.1,KX284910
KX284911.1,KX284911
KX284912.1,KX284912
KX284913.1,KX284913
KX284914.1,KX284914
KX284915.1,KX284915
KX284916.1,KX284916
KX284917.1,KX284917
KX284918.1,KX284918
KX284919.1,KX284919
KX284920.1,KX284920
KX284921.1,KX284921
KX284922.1,KX284922
KX284923.1,KX284923
KX284924.1,KX284924
KX284925.1,KX284925
KX284926.1,KX284926
KX284927.1,KX284927
KX284928.1,KX284928
KX284929.1,KX284929
KX284930.1,KX284930
KX284931.1,KX284931
KX284932.1,KX284932
KX284933.1,KX284933
KX284934.1,KX284934
KX284935.1,KX284935
KX284936.1,KX284936
KX284937.1,KX284937
KX284938.1,KX284938
KX284939.1,KX284939
KX284940.1,KX284940
KX284941.1,KX284941
KX284942.1,KX284942
KX284943.1,KX284943
KX284944.1,KX284944
KX284945.1,KX284945
KX284946.1,KX284946
KX284947.1,KX284947
KX284948.1,KX284948
KX284949.1,KX284949
KX284950.1,KX284950
KX284951.1,KX284951
KX284952.1,KX284952
KX284953.1,KX284953
KX284954.1,KX284954
KX284955.1,KX284955
KX284956.1,KX284956
KX284957.1,KX284957
KX284958.1,KX284958
KX284959.1,KX284959
KX284960.1,KX284960
KX284961.1,KX284961
KX284962.1,KX284962
KX284963.1,KX284963
KX284964.1,KX284964
KX284965.1,KX284965
KX284966.1,KX284966
KX284967.1,KX284967
KX284968.1,KX284968
KX284969.1,KX284969
KX284970.1,KX284970
KX284971.1,KX284971
KX284972.1,KX284972
KX284973.1,KX284973
KX284974.1,KX284974
KX284975.1,KX284975
KX284976.1,KX284976
KX284977.1,KX284977
KX284978.1,KX284978
KX284979.1,KX284979
KX284980.1,KX284980
KX284981.1,KX284981
KX284982.1,KX284982
KX284983.1,KX284983
KX284984.1,KX284984
KX284985.1,KX284985
KX284986.1,KX284986
KX284987.1,KX284987
KX284988.1,KX284988
KX284989.1,KX284989
KX284990.1,KX284990
KX284991.1,KX284991
KX284992.1,KX284992
KX284993.1,KX284993
KX284994.1,KX284994
KX284995.1,KX284995
KX284996.1,KX284996
KX284997.1,KX284997
KX284998.1,KX284998
KX284999.1,KX284999
KX285000.1,KX285000
KX285001.1,KX285001
KX285002.1,KX285002
KX285003.1,KX285003
KX285006.1,KX285006
KX285007.1,KX285007
KX285008.1,KX285008
KX285009.1,KX285009
KX285010.1,KX285010
KX285011.1,KX285011
KX285012.1,KX285012
KX285013.1,KX285013
KX285014.1,KX285014
KX285015.1,KX285015
KX285016.1,KX285016
KX285017.1,KX285017
KX285018.1,KX285018
KX285019.1,KX285019
KX285020.1,KX285020
KX285021.1,KX285021
KX285022.1,KX285022
KX285023.1,KX285023
KX285024.1,KX285024
KX285025.1,KX285025
KX285026.1,KX285026
KX285027.1,KX285027
KX285028.1,KX285028
KX285029.1,KX285029
KX285030.1,KX285030
