Host,HostTaxID
abramis brama,38527
abrothrix longipilis,29094
acanthis flammea,54769
acanthopagrus latus,8177
acanthopagrus schlegelii,72011
acanthophis antarcticus,8605
acanthorhynchus tenuirostris,266336
acanthurus bariene,670521
acanthurus dussumieri,238051
acanthurus triostegus,175435
accipiter cooperii,261198
accipiter gentilis,8957
accipiter gularis,258530
accipiter nisus,211598
accipiter striatus,56330
accipiter trivirgatus,210844
acerodon celebensis,58057
acheilognathus macropterus,80791
acinonyx jubatus,32536
acipenser baerii,27689
acipenser brevirostrum,7907
acipenser gueldenstaedtii,7902
acipenser naccarii,42330
acipenser ruthenus,7906
acipenser stellatus,7903
acipenser transmontanus,7904
acomys cahirinus,10068
acomys dimidiatus,60744
acomys subspinosus,81631
acomys wilsoni,37436
acrantophis dumerili,51850
acridotheres cristatellus,451382
acridotheres tristis,279927
acrocephalus dumetorum,68474
acrocephalus schoenobaenus,52609
acrocephalus scirpaceus,48156
acropoma japonicum,2233869
actitis macularius,190659
aechmophorus occidentalis,57236
aegithalos caudatus,73327
aegypius monachus,8959
aeorestes cinereus,257879
aepyceros melampus,9897
aesopia cornuta,215406
aethomys chrysophilus,121561
aethomys ineptus,284517
afronycteris nana,568927
agama agama,103336
agamia agami,706245
agapornis fischeri,60463
agapornis nigrigenis,60465
agapornis personatus,60466
agapornis roseicollis,60468
agelaius phoeniceus,39638
agropsar sturninus,2675479
ailuropoda melanoleuca,9646
ailurus fulgens,9649
aix galericulata,8832
aix sponsa,8833
akodon azarae,29095
akodon cursor,29096
akodon montensis,106112
akodon paranaensis,230113
akodon serrensis,106114
akodon simulator,484371
alcelaphus buselaphus,59517
alces alces,9852
alces americanus,999462
alectoris chukar,9078
alectoris graeca,40178
alectoris rufa,9079
alisterus amboinensis,309870
alisterus scapularis,458117
allenopithecus nigroviridis,54135
allochrocebus lhoesti,100224
allochrocebus preussi,147649
allochrocebus solatus,147650
allocricetulus eversmanni,329634
alopochen aegyptiaca,30382
alouatta belzebul,30590
alouatta caraya,9502
alouatta guariba,182256
alouatta macconnelli,198115
alouatta palliata,30589
alouatta pigra,182253
alouatta sara,121123
alouatta seniculus,9503
alytes obstetricans,8443
amandava amandava,247729
amaurornis phoenicurus,261959
amazona aestiva,12930
amazona albifrons,241569
amazona amazonica,151758
amazona arausiaca,241563
amazona auropalliata,152277
amazona autumnalis,151759
amazona barbadensis,229553
amazona brasiliensis,244070
amazona farinosa,151760
amazona festiva,244075
amazona leucocephala,241562
amazona ochrocephala,151761
amazona oratrix,152276
amazona rhodocorytha,244082
amazona ventralis,57393
amazona vinacea,244084
amazona viridigenalis,229552
amazona xantholora,1209394
ambassis marianus,498364
ambloplites rupestris,109273
amblygaster clupeoides,392305
amblygaster leiogaster,1411162
ambystoma maculatum,43114
ambystoma mavortium,2511205
ambystoma mexicanum,8296
ambystoma opacum,43115
ambystoma tigrinum,8305
ameiurus melas,219545
ameiurus nebulosus,27778
ameiva ameiva,8535
ammodytes personatus,215382
ammotragus lervia,9899
amphiprion ocellaris,80972
amphiprion percula,161767
amphiprion sebae,229075
anabas testudineus,64144
anarhichas lupus,8204
anas acuta,28680
anas bahamensis,75834
