,VirusTaxID,Virus,VirusGenus,VirusFamily
147,2042591,coronavirus predict cov-67,betacoronavirus,coronaviridae
160,694006,rousettus bat coronavirus hku9,betacoronavirus,coronaviridae
161,694006,rousettus bat coronavirus hku9,betacoronavirus,coronaviridae
168,693997,alphacoronavirus 1,alphacoronavirus,coronaviridae
169,693997,alphacoronavirus 1,alphacoronavirus,coronaviridae
170,693997,alphacoronavirus 1,alphacoronavirus,coronaviridae
171,693997,alphacoronavirus 1,alphacoronavirus,coronaviridae
172,693997,alphacoronavirus 1,alphacoronavirus,coronaviridae
173,693997,alphacoronavirus 1,alphacoronavirus,coronaviridae
174,693997,alphacoronavirus 1,alphacoronavirus,coronaviridae
175,693997,alphacoronavirus 1,alphacoronavirus,coronaviridae
176,693997,alphacoronavirus 1,alphacoronavirus,coronaviridae
177,693997,alphacoronavirus 1,alphacoronavirus,coronaviridae
650,1906673,alphacoronavirus sp.,alphacoronavirus,coronaviridae
659,2419667,bat alphacoronavirus,alphacoronavirus,coronaviridae
660,2419667,bat alphacoronavirus,alphacoronavirus,coronaviridae
661,2419667,bat alphacoronavirus,alphacoronavirus,coronaviridae
662,2419667,bat alphacoronavirus,alphacoronavirus,coronaviridae
678,694014,avian coronavirus,gammacoronavirus,coronaviridae
679,694014,avian coronavirus,gammacoronavirus,coronaviridae
680,694014,avian coronavirus,gammacoronavirus,coronaviridae
681,694014,avian coronavirus,gammacoronavirus,coronaviridae
777,693997,alphacoronavirus 1,alphacoronavirus,coronaviridae
778,693997,alphacoronavirus 1,alphacoronavirus,coronaviridae
779,693997,alphacoronavirus 1,alphacoronavirus,coronaviridae
780,693997,alphacoronavirus 1,alphacoronavirus,coronaviridae
781,693997,alphacoronavirus 1,alphacoronavirus,coronaviridae
782,693997,alphacoronavirus 1,alphacoronavirus,coronaviridae
783,693997,alphacoronavirus 1,alphacoronavirus,coronaviridae
819,694009,severe acute respiratory syndrome-related coronavirus,betacoronavirus,coronaviridae
1758,694014,avian coronavirus,gammacoronavirus,coronaviridae
1759,694014,avian coronavirus,gammacoronavirus,coronaviridae
1760,694014,avian coronavirus,gammacoronavirus,coronaviridae
1761,694014,avian coronavirus,gammacoronavirus,coronaviridae
1762,694014,avian coronavirus,gammacoronavirus,coronaviridae
1766,1697926,deltacoronavirus b04,deltacoronavirus,coronaviridae
1905,694014,avian coronavirus,gammacoronavirus,coronaviridae
1906,694014,avian coronavirus,gammacoronavirus,coronaviridae
1907,694014,avian coronavirus,gammacoronavirus,coronaviridae
1908,694014,avian coronavirus,gammacoronavirus,coronaviridae
1909,694014,avian coronavirus,gammacoronavirus,coronaviridae
1910,694014,avian coronavirus,gammacoronavirus,coronaviridae
1911,694014,avian coronavirus,gammacoronavirus,coronaviridae
1912,694014,avian coronavirus,gammacoronavirus,coronaviridae
1913,694014,avian coronavirus,gammacoronavirus,coronaviridae
1914,694014,avian coronavirus,gammacoronavirus,coronaviridae
1915,694014,avian coronavirus,gammacoronavirus,coronaviridae
1916,694014,avian coronavirus,gammacoronavirus,coronaviridae
1917,694014,avian coronavirus,gammacoronavirus,coronaviridae
1918,694014,avian coronavirus,gammacoronavirus,coronaviridae
1919,694014,avian coronavirus,gammacoronavirus,coronaviridae
1920,694014,avian coronavirus,gammacoronavirus,coronaviridae
1921,694014,avian coronavirus,gammacoronavirus,coronaviridae
1922,694014,avian coronavirus,gammacoronavirus,coronaviridae
1923,694014,avian coronavirus,gammacoronavirus,coronaviridae
1924,694014,avian coronavirus,gammacoronavirus,coronaviridae
1925,694014,avian coronavirus,gammacoronavirus,coronaviridae
1926,694014,avian coronavirus,gammacoronavirus,coronaviridae
1927,694014,avian coronavirus,gammacoronavirus,coronaviridae
1928,694014,avian coronavirus,gammacoronavirus,coronaviridae
1929,694014,avian coronavirus,gammacoronavirus,coronaviridae
1930,694014,avian coronavirus,gammacoronavirus,coronaviridae
1931,694014,avian coronavirus,gammacoronavirus,coronaviridae
1932,694014,avian coronavirus,gammacoronavirus,coronaviridae
1933,694014,avian coronavirus,gammacoronavirus,coronaviridae
1934,694014,avian coronavirus,gammacoronavirus,coronaviridae
1935,694014,avian coronavirus,gammacoronavirus,coronaviridae
1936,694014,avian coronavirus,gammacoronavirus,coronaviridae
2562,694014,avian coronavirus,gammacoronavirus,coronaviridae
2563,694014,avian coronavirus,gammacoronavirus,coronaviridae
3082,694014,avian coronavirus,gammacoronavirus,coronaviridae
3083,694014,avian coronavirus,gammacoronavirus,coronaviridae
3084,694014,avian coronavirus,gammacoronavirus,coronaviridae
3085,694014,avian coronavirus,gammacoronavirus,coronaviridae
3086,694014,avian coronavirus,gammacoronavirus,coronaviridae
3087,694014,avian coronavirus,gammacoronavirus,coronaviridae
3088,694014,avian coronavirus,gammacoronavirus,coronaviridae
3089,694014,avian coronavirus,gammacoronavirus,coronaviridae
3090,694014,avian coronavirus,gammacoronavirus,coronaviridae
3091,694014,avian coronavirus,gammacoronavirus,coronaviridae
3092,694014,avian coronavirus,gammacoronavirus,coronaviridae
3093,694014,avian coronavirus,gammacoronavirus,coronaviridae
3094,694014,avian coronavirus,gammacoronavirus,coronaviridae
3095,694014,avian coronavirus,gammacoronavirus,coronaviridae
3096,694014,avian coronavirus,gammacoronavirus,coronaviridae
3097,694014,avian coronavirus,gammacoronavirus,coronaviridae
3098,694014,avian coronavirus,gammacoronavirus,coronaviridae
