Phylum,Class,Order,Family,Genus,Species
Chordata,Actinopteri,Cypriniformes,Leuciscidae,Abramis,Abramis brama
Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix longipilis
Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix olivaceus
Chordata,Mammalia,Rodentia,Cricetidae,Abrothrix,Abrothrix sanborni
Chordata,Actinopteri,Blenniiformes,Chaenopsidae,Acanthemblemaria,Acanthemblemaria crockeri
Chordata,Aves,Passeriformes,Fringillidae,Acanthis,Acanthis flammea
Chordata,Actinopteri,Spariformes,Sparidae,Acanthopagrus,Acanthopagrus latus
Chordata,Actinopteri,Spariformes,Sparidae,Acanthopagrus,Acanthopagrus schlegelii
Chordata,Lepidosauria,Squamata,Elapidae,Acanthophis,Acanthophis antarcticus
Chordata,Aves,Passeriformes,Meliphagidae,Acanthorhynchus,Acanthorhynchus tenuirostris
Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus bariene
Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus dussumieri
Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,Acanthurus triostegus
Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter cooperii
Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter gentilis
Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter gularis
Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter nisus
Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter striatus
Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter trivirgatus
Chordata,Mammalia,Chiroptera,Pteropodidae,Acerodon,Acerodon celebensis
Chordata,Actinopteri,Cypriniformes,Acheilognathidae,Acheilognathus,Acheilognathus macropterus
Chordata,Mammalia,Carnivora,Felidae,Acinonyx,Acinonyx jubatus
Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser baerii
Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser brevirostrum
Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser gueldenstaedtii
Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser naccarii
Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser oxyrinchus
Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser ruthenus
Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser stellatus
Chordata,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,Acipenser transmontanus
Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys cahirinus
Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys dimidiatus
