Host,Virus,HostTaxID,VirusTaxID,HostNCBIResolved,VirusNCBIResolved,ICTVRatified,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusOriginal,HostFlagID,DetectionMethod,DetectionOriginal,Database,DatabaseVersion,PublicationYear,ReferenceText,PMID,ReleaseYear,ReleaseMonth,ReleaseDay,CollectionYear,CollectionMonth,CollectionDay,AssocID,DatabaseDOI,NCBIAccession
acerodon celebensis,rousettus bat coronavirus hku9,58057,694006,True,True,True,acerodon,pteropodidae,chiroptera,mammalia,acerodon celebensis,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,bat coronavirus hku9,False,PCR/Sequencing,PREDICT,PREDICT,June282021PCRTests,,,,2021.0,8.0,28.0,2018.0,1.0,19.0,,,MT064734
aethomys ineptus,alphacoronavirus sp.,284517,1906673,True,True,False,aethomys,muridae,rodentia,mammalia,Aethomys ineptus,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Alphacoronavirus sp.,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2021.0,7.0,1.0,2017.0,11.0,23.0,,,MK569462.1
afronycteris nana,bat alphacoronavirus,568927,2419667,True,True,False,afronycteris,vespertilionidae,chiroptera,mammalia,Afronycteris nana,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Bat alphacoronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2018.0,11.0,21.0,2016.0,4.0,11.0,,,MG310231.1
agamia agami,avian coronavirus,706245,694014,True,True,True,agamia,ardeidae,pelecaniformes,aves,Agamia agami,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Avian coronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2010.0,1.0,13.0,2009.0,,,,,GU323504.1
ailuropoda melanoleuca,alphacoronavirus 1,9646,693997,True,True,True,ailuropoda,ursidae,carnivora,mammalia,ailuropoda melanoleuca,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,alphacoronavirus 1,False,PCR/Sequencing,NCBI Nucleotide,EID2,Wardeh et al. 2015 Sci Data,,NCBI Nucleotide,,2003.0,,,,,,162368.0,https://doi.org/10.1038/sdata.2015.49,38098849
amazona vinacea,avian coronavirus,244084,694014,True,True,True,amazona,psittacidae,psittaciformes,aves,Amazona vinacea,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Avian coronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2015.0,3.0,20.0,2013.0,,,,,KP256820.1
amazona vinacea,deltacoronavirus b04,244084,1697926,True,True,False,amazona,psittacidae,psittaciformes,aves,Amazona vinacea,deltacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Deltacoronavirus B04,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2015.0,8.0,10.0,2009.0,,,,,KP965434.1
anas acuta,avian coronavirus,28680,694014,True,True,True,anas,anatidae,anseriformes,aves,anas acuta,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,avian coronavirus,False,PCR/Sequencing,NCBI Nucleotide,EID2,Wardeh et al. 2015 Sci Data,,NCBI Nucleotide,,2010.0,,,,,,151489.0,https://doi.org/10.1038/sdata.2015.49,295060535
anas bahamensis,avian coronavirus,75834,694014,True,True,True,anas,anatidae,anseriformes,aves,Anas bahamensis,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Avian coronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2019.0,12.0,15.0,2019.0,,,,,"MN622961.1, MN623247.1, MN689140.1"
anas crecca,avian coronavirus,75839,694014,True,True,True,anas,anatidae,anseriformes,aves,anas crecca,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,avian coronavirus,False,PCR/Sequencing,NCBI Nucleotide,EID2,Wardeh et al. 2015 Sci Data,,NCBI Nucleotide,,2011.0,,,,,,151781.0,https://doi.org/10.1038/sdata.2015.49,353444830
anas gracilis,avian coronavirus,45630,694014,True,True,True,anas,anatidae,anseriformes,aves,Anas gracilis,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Avian coronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2018.0,4.0,19.0,2016.0,10.0,28.0,,,"MG764099.1, MG764100.1, MG764101.1, MG764102.1, MG764103.1"
anas platyrhynchos,avian coronavirus,8839,694014,True,True,True,anas,anatidae,anseriformes,aves,anas platyrhynchos,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,avian coronavirus,False,PCR/Sequencing,NCBI Nucleotide,EID2,Wardeh et al. 2015 Sci Data,,NCBI Nucleotide,,2004.0,,,,,,151992.0,https://doi.org/10.1038/sdata.2015.49,56311264
anas poecilorhyncha,avian coronavirus,75854,694014,True,True,True,anas,anatidae,anseriformes,aves,Anas poecilorhyncha,gammacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Avian coronavirus,False,PCR/Sequencing,GenBank,GenBank,Aug2021FlatFile,,,,2013.0,11.0,11.0,2012.0,,,,,"KF437667.1, KF437668.1, KF437669.1, KF437670.1, KF437671.1, KF437672.1, KF437673.1, KF437674.1, KF437675.1, KF437676.1, KF437677.1, KF437678.1, KF437679.1"
