RON,S.ZORB.PDT_3002.DACA,S.ZORB.PDT_3502.DACA,S.ZORB.TC_5005.PV,S.ZORB.LI_9102.DACA,S.ZORB.SIS_TE_2802,S.ZORB.FC_1203.PV,S.ZORB.TE_5202.PV,S.ZORB.PDT_3602.DACA,Raw_RON,S.ZORB.TC_1606.PV,S.ZORB.FT_3001.DACA,S.ZORB.PDT_1004.DACA,S.ZORB.AT.0010.DACA.PV,S.ZORB.TE_9301.PV,S.ZORB.LT_1301.DACA,S.ZORB.FT_5101.PV,S.ZORB.TE_1608.PV,S.ZORB.FT_5201.PV,S.ZORB.TE_2501.DACA,S.ZORB.AT_6201.DACA,S.ZORB.PC_2401.DACA,S.ZORB.FT_1003.PV,JT,S.ZORB.BS_AT_2402.PV,S.ZORB.FC_5001.DACA,S.ZORB.PT_6005.DACA,S.ZORB.TE_1601.PV,S.ZORB.FT_1006.DACA.PV,S.ZORB.LT_2901.DACA
89.22,15.7311,9.3083,129.8417,38.5827,273.2372,11.8764,35.8212,0.1662,90.6,413.0808,53.7536,7.7189,0.5442,196.9936,-0.6786,771.817,448.4572,117.5145,192.2735,-40.4507,1.7338,46.4817,2.32,0.1657,2564.2634,-0.2888,362.8572,6368.747,3.8481
89.32,22.7904,10.6112,129.8441,28.8229,282.0436,11.4191,35.0052,0.2143,90.5,409.9786,80.1127,8.1081,0.541,197.4851,-1.2617,678.9409,443.138,110.819,187.7075,-40.3734,1.6628,43.8109,2.37,0.165,2277.3611,-0.2609,359.9192,6360.6453,3.8486
89.32,22.9342,9.4571,129.6369,38.2631,274.1667,11.5726,32.8114,0.1804,90.7,409.947,80.0608,7.4366,0.5413,201.774,-0.8634,563.5862,437.6325,119.9549,195.6202,-40.6534,1.5874,44.433,2.43,0.1663,2117.8925,-0.3324,362.1211,6504.9649,3.452
89.02,25.1861,10.0584,130.9427,52.8067,270.0702,11.7341,35.0016,0.3239,90.4,410.0554,92.6729,6.7196,0.534,196.4212,-0.7734,681.9708,434.9628,119.2925,204.1488,-40.3948,1.4644,50.4176,3.08,0.1671,2078.1086,-0.3312,362.649,6506.825,2.0549
88.32,19.3526,10.182,130.7587,25.5148,268.022,11.6739,34.4444,0.3221,89.6,409.9473,66.564,7.3473,0.5419,192.6426,-0.7905,715.3468,429.3234,110.9421,215.2273,-40.5552,1.5513,52.7069,2.45,0.1653,2057.85,-0.4407,365.7978,6560.2423,2.0845
89.59,21.3219,9.7698,130.0322,37.6116,280.1175,12.1418,34.7904,0.2552,91,409.9372,77.5413,5.8055,0.5466,191.5672,-0.5533,731.1526,430.7409,120.3151,210.6558,-40.3791,1.6088,48.2577,2.31,0.1667,1940.6934,-0.3961,365.7881,4995.8179,0.968
89.2,21.4003,9.9145,128.9459,51.5961,279.2018,11.851,34.3276,0.2604,90.4,409.9917,77.1476,6.4374,0.553,190.7841,-0.7209,674.4375,434.501,109.3001,213.0114,-40.6163,1.58,47.8878,2.38,0.1685,1863.941,-0.3508,364.6735,5013.5304,0.879
89.2,21.2139,9.9246,130.2752,25.9083,291.163,11.3308,37.6474,0.2891,90.5,410.0162,74.9011,4.8183,0.5255,192.4339,-0.7395,959.0756,442.7544,123.4683,210.5171,-40.3958,1.5023,47.5255,3,0.1622,2229.6758,-0.2549,360.8434,5085.5481,0.4387
89.3,20.8604,9.9266,129.9749,48.7509,280.8944,11.278,36.0272,0.244,90.4,409.9874,77.2966,5.1418,0.5497,191.5742,-0.6691,865.7672,438.5423,113.1878,207.974,-40.3494,1.6565,45.2804,2.32,0.166,2334.8248,-0.3144,362.6232,5089.856,-0.0012
88.8,18.7165,10.2706,129.048,33.923,283.2769,11.6864,35.88,0.2601,90.2,410.1134,70.4908,4.3259,0.55,206.8057,-0.3665,935.9836,437.6162,126.0658,216.3921,-40.4906,1.5393,51.6357,2.32,0.16,2434.024,-0.3567,362.9784,5035.9411,-0.0006
88.9,15.2556,10.0367,127.4696,47.3296,278.3013,9.2661,35.2843,0.2282,90.2,409.9576,57.7171,6.9849,0.5448,198.6306,-0.5037,632.5331,441.5604,53.6294,212.8846,-40.4334,1.4875,55.4712,1.99,0.1588,2629.7534,-0.2959,357.9807,5113.008,-0.0023
88.9,19.6754,10.1521,127.8682,27.199,282.5534,9.4416,35.5993,0.3105,90.2,409.9024,78.2426,6.8783,0.541,184.9157,-0.594,771.1941,442.3221,54.3213,221.5117,-40.8067,1.4535,55.1119,2.01,0.1615,3123.3104,-0.2789,358.4909,5143.6871,0.0029
87.7,14.2535,10.6453,125.3812,39.4421,276.0089,9.1072,34.9972,0.3622,89.2,410.0501,47.3222,6.556,0.5467,187.1825,-0.9452,1000.824,443.5427,54.8241,216.5169,-40.4965,1.3478,50.0477,1.74,0.1656,3578.0258,-0.2422,357.891,5193.7348,41.1297
85.4,14.0295,10.0063,128.889,25.9888,271.3019,9.4802,34.7634,0.2729,86.8,409.9693,51.3075,6.5307,0.5456,199.8772,-0.7972,1048.4443,437.7346,48.88,214.4541,-40.4686,1.3405,54.014,2.06,0.1619,3519.0304,-0.2683,361.5981,5167.5338,40.3572
86.1,16.5253,10.5175,123.8879,41.8492,272.6404,9.8267,35.1311,0.2734,87.8,409.9799,72.2629,5.7347,0.5437,196.3017,-0.2807,854.1842,439.5921,55.4909,180.7248,-40.3094,1.6029,53.569,2.03,0.161,2871.1649,-0.3201,359.8376,5293.4297,35.0684
86.7,19.0911,9.6889,124.5075,33.5961,265.6136,9.757,35.0154,0.5954,88.4,410.0578,79.6932,5.4342,0.5406,199.3361,5.2572,769.4439,432.4802,69.7317,190.3956,-40.3325,1.6639,66.0833,2.06,0.1571,2539.6368,-0.3995,362.8358,5234.3488,34.8919
86.1,18.6691,10.5438,123.7441,53.9047,267.1597,9.6594,34.959,0.3249,87.2,409.9587,77.788,5.5897,0.538,197.2444,-0.7213,911.1237,437.0017,54.5499,192.6579,-40.3332,1.5547,53.4831,1.74,0.1626,2793.1915,-0.3412,361.3624,5378.558,34.3128
86.49,17.1434,11.056,124.041,57.6365,254.0415,9.9279,34.4814,0.7303,88,410.0251,91.7675,5.39,0.5767,193.0156,-0.5176,785.3731,434.9349,52.9488,170.2916,-41.1213,1.4636,52.5044,1.76,0.1679,2632.1027,-0.3272,361.3262,4617.9967,32.6168
87.09,17.3078,10.5375,124.401,18.2631,264.0232,9.4262,35.8873,0.45,88.2,410.0849,91.4965,5.6859,0.5481,196.294,-0.6178,869.6207,443.6097,55.2228,193.0898,-40.4722,1.5834,53.7498,1.755,0.1663,2453.7623,-0.2781,361.114,4625.965,31.9509
87.59,17.0603,10.3565,124.8796,30.7049,271.7476,9.8637,35.5574,0.4042,88.8,409.9505,92.251,5.9833,0.5494,199.4194,0.3228,873.3973,445.1741,56.5834,202.8478,-40.6082,1.4618,54.775,1.64,0.1653,2399.0571,-0.3144,361.6758,4754.4619,31.7024
86.59,15.4003,10.2375,124.9698,27.396,266.3889,9.5478,33.4084,0.4236,88.1,409.9936,78.5404,5.6071,0.5397,204.8057,-0.9562,934.1116,450.6274,55.6417,214.0823,-40.5475,1.547,52.4228,1.669868056,0.1658,2534.3664,-0.2597,360.3943,4710.3484,28.4642
87.19,14.0258,9.8661,125.5952,17.3427,270.0275,9.955,34.1246,0.2245,88.2,409.853,75.1732,5.5836,0.5659,206.2919,-0.6051,922.1918,451.4774,53.1149,196.1696,-40.8602,0.4654,50.7193,1.71,0.1618,2594.7601,-0.2694,359.4198,4724.9449,27.0817
87.99,17.9735,9.212,127.2134,51.1327,276.5919,11.6759,36.7041,0.5863,89.6,409.9972,98.9942,4.4273,0.5367,202.6092,-0.6363,1066.9212,443.5358,105.98,211.4799,-40.3803,1.3262,51.2702,1.66,0.1601,1988.7276,-0.3335,364.2104,4722.6842,23.0668
87.59,17.5131,9.1346,126.8921,41.3173,259.1926,11.1419,32.7082,0.6942,89,410.0876,102.3415,4.5298,0.5334,212.4671,-0.3908,943.0344,440.9858,91.7382,203.6186,-40.4697,1.3232,36.7304,1.63,0.1616,2409.9704,-0.3642,364.5177,4659.7764,22.0197
87.89,12.6629,9.7292,125.8998,34.0579,263.3089,11.1693,37.1212,0.3864,89.3,409.9816,96.4908,4.0966,0.5493,188.7196,-0.3867,1182.6107,436.0637,90.3234,215.13,-40.4909,1.3148,34.7781,1.62,0.1672,2476.1815,-0.4244,366.7066,4706.2808,20.4878
87.69,9.939,9.7179,126.622,42.28,269.0781,11.4799,37.0127,0.6512,89.2,409.9863,97.2338,3.6929,0.5279,192.2757,-0.4336,968.5629,441.3129,95.0144,210.6665,-40.5387,1.3255,34.7657,1.01,0.1645,2257.9257,-0.3716,365.6027,4723.1183,19.9833
87.29,16.278,9.7207,126.6139,41.5044,263.4127,10.8085,37.2343,0.3014,88.7,409.9956,82.0605,2.8517,0.5418,179.3194,8.7674,1002.8725,445.1662,101.9965,204.0257,-40.4802,1.3087,35.8712,1.63,0.1713,2289.4013,-0.3102,363.6476,4710.7758,19.4188
87.89,16.1656,9.0982,126.0949,22.6729,273.5302,11.1135,35.8132,0.3369,89,410.0642,78.3175,2.2285,0.5345,183.6354,-0.1721,1359.5892,446.6699,100.4957,215.9425,-40.4832,1.2638,34.4936,1.68,0.1653,2459.5919,-0.2664,364.293,4718.4867,19.5353
88.29,16.8867,8.8602,126.8268,39.4349,269.9832,10.8882,37.0602,0.4848,89.7,409.9418,97.8067,33.5681,0.5321,228.6175,0.6939,973.7501,442.5845,94.1293,212.2727,-40.4788,1.2253,36.2442,1.79,0.1672,2011.8329,-0.3235,364.8673,4730.8891,16.9472
87.99,15.5323,9.1925,126.6816,51.3181,270.0748,11.5398,37.6458,0.362,89.2,410.0511,100.3321,33.2903,0.5419,193.895,0.1601,926.4363,445.7838,95.6836,210.3818,-40.5615,1.2845,38.2516,1.736666667,0.1633,2130.5576,-0.3335,364.2126,4671.9988,15.3032
87.39,13.3324,9.6126,126.9113,54.5663,278.3242,11.0325,37.3719,0.7262,89.1,409.9449,96.0819,33.6558,0.5309,192.1121,-0.3506,1250.6692,449.7213,92.2455,214.5625,-40.4511,1.4321,36.8094,1.73,0.1615,1278.6385,-0.2777,363.8739,4779.865,13.9047
87.09,11.16,9.6674,126.5277,19.3685,267.5198,11.3348,35.8967,0.7282,88.5,410.9903,98.2413,33.6309,0.5408,188.4125,0.6038,1092.0016,447.2796,90.9251,216.7492,-40.5737,1.2516,34.9142,1.796666667,0.1646,2306.8035,-0.2979,365.9024,4692.3122,12.1641
87.29,8.7703,9.7634,126.2974,15.5523,273.312,11.3676,35.0011,0.519,88.4,410.9436,99.1951,33.5788,0.5321,197.2988,-0.2702,1064.6772,449.3355,94.1337,219.0013,-40.4236,1.4664,38.3278,2.05,0.1636,2282.5253,-0.308,364.8129,4725.7098,10.0878
87.19,8.8045,8.846,126.5908,25.4776,275.2442,11.334,35.1132,0.5822,88.1,410.9529,98.6345,35.0934,0.5507,195.9923,-0.3353,1170.4402,448.4915,91.1095,221.2983,-40.5076,1.374,40.6081,1.75,0.1605,2168.135,-0.2971,365.2708,4748.0337,7.82
87.59,8.1504,9.3198,125.9392,48.3948,272.0559,11.6313,35.175,0.3676,88.7,411.032,98.7456,32.3118,0.5357,192.9326,0.1857,1220.7938,448.0274,105.0969,210.6839,-40.5743,1.386,48.167,2,0.1681,2415.5579,-0.3159,365.9171,4784.3497,4.9057
