RON,S.ZORB.CAL_H2.PV,S.ZORB.PDI_2102.PV,S.ZORB.PT_2801.PV,S.ZORB.FC_2801.PV,S.ZORB.TE_2103.PV,S.ZORB.TE_2005.PV,S.ZORB.PT_2101.PV,S.ZORB.PDT_2104.PV,S.ZORB.SIS_PDT_2103B.PV,S.ZORB.TC_2101.PV,S.ZORB.TE_2301.PV,S.ZORB.PT_2301.PV,S.ZORB.PC_2105.PV,S.ZORB.PC_5101.PV,S.ZORB.TC_5005.PV,S.ZORB.LC_5001.PV,S.ZORB.LC_5101.PV,S.ZORB.TE_5102.PV,S.ZORB.TE_5202.PV,S.ZORB.FC_5202.PV,S.ZORB.AT_5201.PV,S.ZORB.PT_9301.PV,S.ZORB.FT_9301.PV,S.ZORB.FT_5101.PV,S.ZORB.TE_9001.PV,S.ZORB.PT_9001.PV,S.ZORB.FT_9001.PV,S.ZORB.FT_9403.PV,S.ZORB.PT_9403.PV,S.ZORB.TE_9301.PV,S.ZORB.FT_9201.PV,S.ZORB.FT_9202.PV,S.ZORB.FT_9302.PV,S.ZORB.FT_3301.PV,S.ZORB.FT_9402.PV,S.ZORB.PT_9402.PV,S.ZORB.FT_9401.PV,S.ZORB.PT_9401.PV,S.ZORB.PDC_2502.PV,S.ZORB.FC_2501.PV
89.22,0.2763,31.212,2.5269,647.7524,424.6159,421.6081,2.394,101.2906,33.4802,240.0884,381.8851,2.405,4.9801,0.6521,129.8417,55.0111,49.9165,31.3408,35.8212,111.2135,-0.11,0.8526,1458.34,771.817,25.1113,0.427,479.0939,476.2084,0.9945,196.9936,397.2652,390.0082,5361.6265,92.3881,200.1535,0.6134,97.244,0.5155,9.584,24.9949
89.32,0.2771,31.462,2.5274,651.8219,420.9534,417.9278,2.3941,101.5449,33.324,239.8098,374.3393,2.4051,4.9797,0.6521,129.8441,54.9962,49.9552,31.1838,35.0052,110.5248,0.2418,0.8764,1142.1792,678.9409,27.4397,0.4201,470.9836,453.6872,0.9968,197.4851,398.996,392.1423,5394.2922,74.3661,235.5626,0.6132,100.0282,0.5133,16.1036,24.9453
89.32,0.277,31.34,2.5289,650.7472,423.9411,420.0035,2.3945,101.6183,33.2518,239.7427,381.692,2.406,4.9556,0.6524,129.6369,55.0219,50.2152,30.2639,32.8114,111.5751,-0.04,0.8537,1025.8748,563.5862,25.3922,0.4233,433.0178,454.1381,0.9971,201.774,402.3946,395.3947,5349.3918,146.1568,242.4333,0.6111,98.5161,0.5168,11.1254,24.9439
89.02,0.2772,31.0334,2.5306,652.6691,423.7228,419.9648,2.3929,105.0298,33.1973,239.7325,377.6586,2.4047,4.9908,0.6521,130.9427,55.0417,49.8779,31.3218,35.0016,111.3883,-0.1995,0.8562,967.8523,681.9708,26.2322,0.4146,440.3958,467.9517,0.9955,196.4212,398.3698,391.4226,5342.5033,88.3609,204.1912,0.6109,99.2777,0.5146,18.6663,30.0194
88.32,0.2773,30.8269,2.5309,649.3409,427.132,422.1289,2.3927,105.9375,32.7859,239.8356,385.8465,2.4054,4.9732,0.6522,130.7587,55.0268,49.9006,31.5105,34.4444,111.533,-0.1871,0.8626,932.6085,715.3468,25.9955,0.4172,411.5768,470.4705,0.9977,192.6426,398.891,391.6648,5208.6394,186.4398,319.4251,0.6153,98.593,0.5201,15.9294,30.0231
89.59,0.2766,30.9354,2.5131,650.1234,426.438,422.1307,2.3748,105.788,32.8959,239.8739,383.3761,2.3863,4.9944,0.6521,130.0322,54.964,50.1022,31.8104,34.7904,109.4757,0.9168,0.8254,861.8165,731.1526,25.4862,0.4193,424.2933,454.8152,0.9961,191.5672,400.5132,392.994,4926.6344,218.6999,346.5409,0.6083,102.3195,0.5199,14.2795,30.05
89.2,0.2774,30.9286,2.5124,649.1494,425.4798,421.3018,2.3744,106.0066,32.8716,239.7867,383.6505,2.3856,4.9728,0.6521,128.9459,54.9974,50.0238,30.6929,34.3276,109.5812,-0.0327,0.8337,796.4514,674.4375,25.1535,0.4178,430.1436,455.2386,0.9955,190.7841,398.5052,390.9946,4916.3633,217.0279,294.6338,0.6086,102.3451,0.5215,17.0837,30.0957
89.2,0.2769,29.2863,2.5126,649.7636,421.4343,418.6726,2.3728,107.4893,31.0768,240.1918,379.0675,2.3843,4.9459,0.652,130.2752,55.0201,50.1835,35.5373,37.6474,109.0069,2.5181,0.8726,1080.4545,959.0756,29.9288,0.4324,483.3216,457.5429,0.9954,192.4339,395.5427,389.743,4725.2411,177.5825,361.4031,0.6068,99.604,0.3757,15.9338,30.0985
89.3,0.2777,29.6704,2.5134,651.1395,423.912,420.2229,2.3746,106.9436,31.5998,240.053,379.2921,2.3863,4.9548,0.6535,129.9749,55.0006,50.0766,33.5113,36.0272,109.9748,0.9008,0.8116,1243.9264,865.7672,26.832,0.5111,450.1654,294.9963,0.9958,191.5742,393.6172,388.2236,4804.6154,178.2242,290.6946,0.6119,100.8373,0.4997,14.5874,30.016
88.8,0.2773,29.2909,2.5132,649.4392,423.6727,420.0183,2.3735,107.091,31.2775,240.1478,385.0375,2.3847,4.9895,0.6523,129.048,54.9387,52.1224,34.3313,35.88,109.3367,0.568,0.9531,1221.2632,935.9836,26.5477,0.4542,450.2011,449.7931,0.9955,206.8057,394.2145,388.324,4854.6814,188.4419,319.3684,0.6309,102.1239,0.5171,13.2158,30.0105
