Virus_ID,Phylum_ID,Class_ID,Order_ID,Family_ID,Genus_ID,Species_ID
1000586,2497569,2497576,1980410,1980413,1980442,1000586
1000587,2497569,2497576,1980410,1980413,1980442,1000587
1000650,2731361,2731363,548681,10292,,1000650
1001081,2497569,2497576,1980410,1980413,1980442,1001081
1001627,2732408,2732506,464095,11974,,1001627
1001628,2732408,2732506,464095,11974,,1001628
1001974,2497569,2497576,1980410,1980413,1980442,1001974
1001975,2497569,2497576,1980410,1980413,1980442,1001975
100217,2732007,2732523,2732555,10486,10492,100217
1002931,2732406,2732462,2732545,11050,,1002931
1004021,2732007,2732525,2732527,10240,10260,1004021
1004022,2732007,2732525,2732527,10240,10260,1004022
1004050,2732406,2732462,2732545,11050,,1004050
1004778,2732007,2732525,2732527,10240,10260,1004778
1004948,2732408,2732506,76804,11118,693996,1004948
1004949,2732408,2732506,76804,11118,693996,1004949
1005673,2732415,2732422,2732534,10780,1507401,1005673
1005674,2732415,2732422,2732534,10780,1507401,1005674
1005675,2732415,2732422,2732534,10780,1507401,1005675
1005676,2732415,2732422,2732534,10780,1507401,1005676
1005677,2732415,2732422,2732534,10780,1507401,1005677
1006326,2732007,2732525,2732527,10240,10260,1006326
1006327,2732007,2732525,2732527,10240,10260,1006327
100953,2732008,2732529,2732559,10508,100953,
1009692,2732406,2732462,2732545,11050,,1009692
1018469,2732408,2732506,76804,11118,693996,1018469
10240,2732007,2732525,2732527,10240,,
10242,2732007,2732525,2732527,10240,10242,
10243,2732007,2732525,2732527,10240,10242,10243
10244,2732007,2732525,2732527,10240,10242,10244
10245,2732007,2732525,2732527,10240,10242,10245
10255,2732007,2732525,2732527,10240,10242,10255
10256,2732007,2732525,2732527,10240,10242,10256
10257,2732007,2732525,2732527,10240,10257,
10258,2732007,2732525,2732527,10240,10257,10258
10260,2732007,2732525,2732527,10240,10260,
10261,2732007,2732525,2732527,10240,10260,10261
10264,2732007,2732525,2732527,10240,10260,10264
10265,2732007,2732525,2732527,10240,10265,
10266,2732007,2732525,2732527,10240,10265,10266
1026938,2732405,2732459,2732541,2946187,10979,1026938
10270,2732007,2732525,2732527,10240,10270,
10271,2732007,2732525,2732527,10240,10270,10271
1027244,2732408,2732507,2732551,39733,249588,1027244
1027245,2732408,2732507,2732551,39733,249588,1027245
1027246,2732408,2732507,2732551,39733,249588,1027246
1027247,2732408,2732507,2732551,39733,249588,1027247
1027248,2732408,2732507,2732551,39733,249588,1027248
10273,2732007,2732525,2732527,10240,10270,10273
1027366,2732408,2732507,2732551,39733,249588,1027366
1027367,2732408,2732507,2732551,39733,249588,1027367
10274,2732007,2732525,2732527,10240,10270,10274
1027468,2497569,2497574,11157,11270,,1027468
10276,2732007,2732525,2732527,10240,10275,10276
10279,2732007,2732525,2732527,10240,10278,10279
10292,2731361,2731363,548681,10292,,
10294,2731361,2731363,548681,10292,10294,
10295,2731361,2731363,548681,10292,10294,10295
10298,2731361,2731363,548681,10292,10294,10298
10310,2731361,2731363,548681,10292,10294,10310
10317,2731361,2731363,548681,10292,10294,10317
1031707,2497569,2497576,1980410,1980413,1980442,1031707
10319,2731361,2731363,548681,10292,10319,
10320,2731361,2731363,548681,10292,10319,10320
1032406,2731361,2731363,548681,10292,,1032406
1032407,2731361,2731363,548681,10292,,1032407
10325,2731361,2731363,548681,10292,10294,10325
10326,2731361,2731363,548681,10292,10319,10326
1032690,2497569,2497576,1980410,1980418,11584,1032690
1032691,2497569,2497576,1980410,1980418,11584,1032691
10331,2731361,2731363,548681,10292,10319,10331
10334,2731361,2731363,548681,10292,10319,10334
10335,2731361,2731363,548681,10292,10319,10335
1034320,2732408,2732506,76804,11118,693996,1034320
1034321,2732408,2732506,76804,11118,693996,1034321
1034322,2732408,2732506,76804,11118,693996,1034322
10345,2731361,2731363,548681,10292,10319,10345
1034771,,,,687329,,1034771
1034800,2732415,2732421,2732533,151340,,1034800
10353,2731361,2731363,548681,10292,10294,10353
10358,2731361,2731363,548681,10292,10358,
10359,2731361,2731363,548681,10292,10358,10359
10364,2731361,2731363,548681,10292,10358,50292
10365,2731361,2731363,548681,10292,10365,
1036586,2732008,2732529,2732559,10508,100953,1036586
1036587,2732008,2732529,2732559,10508,100953,1036587
10366,2731361,2731363,548681,10292,10365,10366
10368,2731361,2731363,548681,10292,40272,10368
10371,2731361,2731363,548681,10292,548688,10371
10372,2731361,2731363,548681,10292,40272,10372
10375,2731361,2731363,548681,10292,10375,
10376,2731361,2731363,548681,10292,10375,10376
10379,2731361,2731363,548681,10292,10379,
10380,2731361,2731363,548681,10292,10379,10380
1038051,2732008,2732529,2732559,10508,10509,1038051
1038052,2732008,2732529,2732559,10508,10509,1038052
1038053,2732008,2732529,2732559,10508,10509,1038053
1038054,2732008,2732529,2732559,10508,10509,1038054
10381,2731361,2731363,548681,10292,10379,10381
103821,2732415,2732421,2732533,151340,,103821
10385,2731361,2731363,548681,10292,10379,10385
10386,2731361,2731363,548681,10292,180255,10386
10390,2731361,2731363,548681,10292,180252,10390
10397,2731361,2731363,548681,10292,2842996,10397
10398,2731361,2731363,548681,10292,548687,10398
10401,2731361,2731363,548681,548682,172653,10401
10405,2732409,2732514,2732515,10404,10405,
10406,2732409,2732514,2732515,10404,10405,10406
10407,2732409,2732514,2732515,10404,10405,10407
104223,2731361,2731363,548681,10292,,104223
1042528,2731361,2731363,548681,10292,10294,1042528
104382,2732415,2732422,2732534,10780,40121,104382
104388,2731361,2731363,548681,10292,180252,104388
104394,2732408,2732505,2732549,585893,104394,
104395,2732408,2732505,2732549,585893,104394,104395
