Virus_ID,Phylum,Class,Order,Family,Genus,Species
1000586,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,Carrizal virus
1000587,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,Huitzilac virus
1000650,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,unclassified Herpesviridae genus,Arvicola amphibius gammaherpesvirus 1
1001081,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,Azagny virus
1001627,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,unclassified Caliciviridae genus,Calicivirus chicken/V0013/Bayern/2004
1001628,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,unclassified Caliciviridae genus,Calicivirus chicken/V0027/Bayern/2004
1001974,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,Eothenomys miletus hantavirus LX17
1001975,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,Eothenomys miletus hantavirus LX43
100217,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Ranavirus,Epizootic haematopoietic necrosis virus
1002931,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,unclassified Flaviviridae genus,Bat GB-like virus JFD-2011
1004021,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Avipoxvirus,Avipoxvirus India/07/2009
1004022,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Avipoxvirus,Avipoxvirus India/08/2009
1004050,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,unclassified Flaviviridae genus,Bat GB virus JFD/Gabon/2005
1004778,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Avipoxvirus,Avipoxvirus Spilornis cheela/Taiwan/2008
1004948,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Rocky Mountain bat coronavirus 61/2007/EF
1004949,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Rocky Mountain bat coronavirus 15/2006/ML
1005673,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Bocavirus pig/6V/China/2010
1005674,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Bocavirus pig/7V/China/2010
1005675,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Bocavirus pig/PBoV1/China/2010
1005676,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Bocavirus pig/PBoV2/China/2010
1005677,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Bocavirus pig/Sw-PBoV/China/2010
1006326,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Avipoxvirus,Avipoxvirus flamingo/PT-29021/Portugal/2010
1006327,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Avipoxvirus,Avipoxvirus canary/PT-44463/Portugal/2010
100953,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Atadenovirus,unclassified Atadenovirus species
1009692,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,unclassified Flaviviridae genus,Canine hepacivirus AAK-2011
1018469,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Bat coronavirus Hipposideros/Ratcha-67/THA/2007
10240,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,unclassified Poxviridae genus,unclassified Poxviridae species
10242,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus,unclassified Orthopoxvirus species
10243,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus,Cowpox virus
10244,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus,Monkeypox virus
10245,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus,Vaccinia virus
10255,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus,Variola virus
10256,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus,Raccoonpox virus
10257,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Parapoxvirus,unclassified Parapoxvirus species
10258,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Parapoxvirus,Orf virus
10260,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Avipoxvirus,unclassified Avipoxvirus species
10261,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Avipoxvirus,Fowlpox virus
10264,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Avipoxvirus,Pigeonpox virus
10265,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Capripoxvirus,unclassified Capripoxvirus species
10266,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Capripoxvirus,Sheeppox virus
1026938,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Aquareovirus,White bream reovirus
10270,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Leporipoxvirus,unclassified Leporipoxvirus species
10271,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Leporipoxvirus,Rabbit fibroma virus
1027244,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Bovine astrovirus B170/HK
1027245,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Bovine astrovirus B18/HK
1027246,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Bovine astrovirus B34/HK
1027247,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Bovine astrovirus B76-2/HK
1027248,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Bovine astrovirus B76/HK
10273,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Leporipoxvirus,Myxoma virus
1027366,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Bovine astrovirus B161-1
1027367,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Bovine astrovirus B161-2
10274,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Leporipoxvirus,Malignant rabbit fibroma virus
1027468,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,unclassified Rhabdoviridae genus,Farmington virus
10276,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Suipoxvirus,Swinepox virus
10279,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Molluscipoxvirus,Molluscum contagiosum virus
10292,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,unclassified Herpesviridae genus,unclassified Herpesviridae species
10294,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Simplexvirus,unclassified Simplexvirus species
10295,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Simplexvirus,Bovine alphaherpesvirus 2
10298,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Simplexvirus,Human alphaherpesvirus 1
10310,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Simplexvirus,Human alphaherpesvirus 2
10317,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Simplexvirus,Cercopithecine alphaherpesvirus 2
1031707,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,Hantavirus YN06-862
10319,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,unclassified Varicellovirus species
10320,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,Bovine alphaherpesvirus 1
1032406,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,unclassified Herpesviridae genus,"Acomys herpesvirus SVMS 226,222"
1032407,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,unclassified Herpesviridae genus,"Dipodillus herpesvirus SVMS 065,081"
10325,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Simplexvirus,Macacine alphaherpesvirus 1
10326,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,Equid alphaherpesvirus 1
1032690,Negarnaviricota,Ellioviricetes,Bunyavirales,Phenuiviridae,Phlebovirus,Phlebovirus Hu/Xinyang1/China/2010
1032691,Negarnaviricota,Ellioviricetes,Bunyavirales,Phenuiviridae,Phlebovirus,Phlebovirus Hu/Xinyang2/China/2010
10331,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,Equid alphaherpesvirus 4
10334,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,Felid alphaherpesvirus 1
10335,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,Human alphaherpesvirus 3
1034320,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Rm-Bat-CoV 429/2007/MV
1034321,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Rm-Bat-CoV 453/2007/EF
1034322,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Rm-Bat-CoV 09-07/2009/MV
10345,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,Suid alphaherpesvirus 1
1034771,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Anelloviridae,unclassified Anelloviridae genus,uncultured Anellovirus
1034800,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,unclassified Papillomaviridae genus,uncultured Papillomavirus
10353,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Simplexvirus,Saimiriine alphaherpesvirus 1
10358,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Cytomegalovirus,unclassified Cytomegalovirus species
10359,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Cytomegalovirus,Human betaherpesvirus 5
10364,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Cytomegalovirus,Cercopithecine betaherpesvirus 5
10365,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Muromegalovirus,unclassified Muromegalovirus species
1036586,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Atadenovirus,Western bearded dragon adenovirus 1
1036587,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Atadenovirus,Central netted dragon adenovirus 1
10366,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Muromegalovirus,Murid betaherpesvirus 1
10368,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Roseolovirus,Human betaherpesvirus 6
10371,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Percavirus,Equid gammaherpesvirus 5
10372,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Roseolovirus,Human betaherpesvirus 7
10375,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,unclassified Lymphocryptovirus species
10376,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4
10379,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Rhadinovirus,unclassified Rhadinovirus species
10380,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Rhadinovirus,Ateline gammaherpesvirus 2
1038051,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Rabbit adenovirus Wisconsin
1038052,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Bovine adenovirus WIa
1038053,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Bovine adenovirus WIc
1038054,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Bovine adenovirus WIb
10381,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Rhadinovirus,Saimiriine gammaherpesvirus 2
103821,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,unclassified Papillomaviridae genus,Trichosurus vulpecula papillomavirus
10385,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Rhadinovirus,Bovine gammaherpesvirus 4
10386,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Iltovirus,Gallid alphaherpesvirus 1
10390,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Mardivirus,Gallid alphaherpesvirus 2
10397,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Quwivirus,Tupaiid betaherpesvirus 1
10398,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Macavirus,Ovine gammaherpesvirus 2
10401,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Ictalurivirus,Ictalurid herpesvirus 1
10405,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,unclassified Orthohepadnavirus species
10406,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,Ground squirrel hepatitis virus
10407,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,Hepatitis B virus
104223,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,unclassified Herpesviridae genus,Deer malignant catarrhal fever virus
1042528,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Simplexvirus,Recombinant Human herpesvirus 03/10478
104382,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Erythroparvovirus,Human erythrovirus VX
104388,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Mardivirus,Anatid alphaherpesvirus 1
104394,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Picobirnavirus,unclassified Picobirnavirus species
104395,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Picobirnavirus,Rabbit picobirnavirus
104542,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,Hantavirus SEO
104580,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Seadornavirus,Kadipiro virus
1045882,Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,unclassified Herpesviridae genus,Fisher herpesvirus
