Host	Virus	HostTaxID	VirusTaxID	HostNCBIResolved	VirusNCBIResolved	ICTVRatified	HostGenus	HostFamily	HostOrder	HostClass	HostOriginal	VirusGenus	VirusFamily	VirusOrder	VirusClass	VirusOriginal	HostFlagID	DetectionMethod	DetectionOriginal	Database	DatabaseVersion	PublicationYear	ReferenceText	PMID	ReleaseYear	ReleaseMonth	ReleaseDay	CollectionYear	CollectionMonth	CollectionDay	AssocID	DatabaseDOI	NCBIAccession
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2005	8	31						DQ160294.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2010	10	15	2007	8	23			HQ392470.1, HQ392471.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2010	10	15	2008	1	22			HQ392472.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2010	2	8	2007	9	13			GU553361.1, GU553362.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2010	8	14	2007	7	17			HQ012367.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2010	8	14	2007	7	24			HQ012368.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2010	8	14	2007	9	11			HQ012369.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2010	8	14	2008	1	25			HQ012371.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2010	8	14	2008	1	3			HQ012370.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2018	6	5	2014	11	26			MF457591.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	10	14	2017	10				MK736783.1, MK736784.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	10	14	2017	12				MK736785.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	10	14	2018	11				MK736805.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	10	14	2018	2				MK736786.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	10	14	2018	3				MK736787.1, MK736788.1, MK736789.1, MK736790.1, MK736791.1, MK736792.1, MK736806.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	10	14	2018	4				MK736793.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	10	14	2018	5				MK736794.1, MK736807.1, MK736808.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	10	14	2018	6				MK736795.1, MK736796.1, MK736797.1, MK736798.1, MK736799.1, MK736800.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	10	14	2018	7				MK736801.1, MK736802.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	10	14	2018	8				MK736803.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	10	14	2018	9				MK736804.1, MK736809.1, MK736810.1
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	4	10	2017					MH708884.2
	alphacoronavirus 1	33554	693997	TRUE	TRUE	TRUE			carnivora	mammalia	Feliformia	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2019	4	15	2017					MH717723.1
	alphacoronavirus 1	9608	693997	TRUE	TRUE	TRUE		canidae	carnivora	mammalia	Canidae	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2004	9	22						AY702639.1, AY702642.1
	alphacoronavirus 1	9608	693997	TRUE	TRUE	TRUE		canidae	carnivora	mammalia	Canidae	alphacoronavirus	coronaviridae	nidovirales	pisoniviricetes	Alphacoronavirus 1	FALSE	PCR/Sequencing	GenBank	GenBank	Aug2021FlatFile				2005	1	31						AY864662.1, AY864663.1
