HostTaxID,VirusTaxID
38527,1494919
38527,696863
38527,219585
29094,1980456
54769,2815018
54769,1940570
8177,2116165
8177,180170
72011,1980915
8605,1104499
266336,2779174
670521,670523
238051,670555
175435,45475
261198,93386
261198,11320
261198,11082
8957,2814937
8957,2794564
8957,2794463
8957,1294100
8957,93386
8957,11320
8957,11082
258530,2560319
211598,336959
211598,11320
211598,11082
56330,11082
210844,11320
58057,1891717
58057,1891757
58057,1912147
58057,1986399
58057,1170370
58057,2711112
58057,2711114
58057,694006
80791,2116423
32536,2358483
32536,1511906
32536,526120
32536,10243
32536,2748958
32536,11978
32536,11673
32536,10785
32536,11320
32536,181667
27689,1851774
27689,320884
27689,696863
27689,1867819
27689,577567
7907,320884
7907,1676984
7902,1851774
7902,1867819
42330,1851774
7906,1851774
7903,1851774
7904,1851774
7904,320883
7904,320884
7904,1302811
7904,691958
10068,2734448
60744,1032406
81631,1383924
81631,1383925
37436,1281454
51850,1654823
451382,2560319
279927,2560319
279927,2671519
68474,2560319
68474,11084
68474,11082
52609,380432
48156,2846173
2233869,670556
2233869,670524
190659,11082
57236,11320
73327,2815021
73327,2814943
73327,2794464
73327,2794485
73327,1955153
73327,1530251
73327,2585031
73327,1955172
73327,11082
8959,11082
257879,11292
9897,12110
9897,299474
215406,1390981
121561,1480698
121561,1383926
121561,1383927
121561,1383929
284517,1906673
284517,1497434
568927,2419667
568927,1300978
568927,2050578
568927,1174522
568927,589522
103336,1288350
706245,694014
60463,77856
60465,77856
60466,1891747
60466,1548713
60468,77856
39638,11021
39638,1972612
39638,11082
2675479,11320
9646,2560288
9646,693997
9646,11232
9646,1511906
9646,11320
9646,28875
9649,1908805
9649,11232
9649,1511906
9649,10243
9649,2560580
9649,36362
9649,2846554
8832,2560319
8832,2560328
8832,12639
8832,190063
8832,11320
8832,1414603
8833,2560319
8833,2560328
8833,1294119
8833,1928336
8833,11320
29095,1980456
29095,60876
29095,332097
29096,497342
29096,430511
29096,1912147
29096,2846546
106112,2163422
106112,1980456
106112,700375
106112,587480
106112,587484
106112,714974
106112,714975
106112,641886
106112,641887
106112,911298
106112,261204
106112,436077
106112,2137545
106112,2054611
106112,2054612
106112,2846546
106112,2846547
230113,308159
230113,436077
106114,1055451
484371,1980476
59517,12110
9852,2219143
9852,2219111
9852,2219112
9852,2219114
9852,2219115
9852,2219142
9852,135102
9852,2202563
9852,2169706
9852,2844411
9852,2844412
9852,1678143
9852,10398
999462,2340996
999462,1678143
999462,10398
9078,2560319
9078,11320
40178,11024
9079,1294113
9079,64290
9079,64286
309870,1548713
458117,77856
54135,194443
54135,11642
100224,11642
100224,11723
147649,47681
147649,1986019
147650,11642
147650,11723
329634,2560345
30382,2560328
30382,11320
30382,64286
30382,11082
30590,11642
9502,2849141
9502,2170112
9502,10245
9502,11089
182256,1513251
182256,11642
182256,11089
182256,64320
198115,1881000
30589,1881001
30589,1511871
30589,1511900
30589,1511913
182253,2358482
121123,11642
9503,1881002
9503,1933304
9503,11642
9503,11089
8443,540070
8443,10493
8443,1585659
247729,1891751
261959,2560319
12930,1891747
12930,2560319
12930,77856
12930,12455
12930,50294
12930,1548713
241569,11320
151758,77856
151758,50294
241563,1891747
152277,1891747
152277,77856
152277,1548713
151759,1891747
151759,2560319
151759,77856
229553,1548713
244070,675389
151760,1548713
151760,2003673
244075,1548713
241562,1548713
151761,1294109
151761,1548713
152276,77856
152276,2604840
152276,11320
152276,50294
244082,1548713
57393,1548713
244084,694014
244084,2560319
244084,1697926
244084,1548713
229552,1548713
1209394,1548713
498364,1906674
109273,1980916
392305,1906674
1411162,180170
43114,10493
2511205,265294
8296,265294
43115,10493
8305,265294
219545,100217
219545,508441
219545,2137754
219545,56049
27778,100217
8535,1985694
8535,1972620
8535,1985696
8535,1158193
8535,1158191
215382,1980916
9899,333343
80972,2725395
161767,36363
229075,1170232
64144,1492740
8204,11002
28680,1539747
28680,1239437
28680,1239439
28680,694014
28680,11864
28680,2560316
28680,2560318
28680,2560319
28680,2560326
28680,2560328
28680,10390
28680,11320
28680,11636
75834,694014
75834,38525
8837,11320
75836,11864
75836,2560316
75836,2560318
75836,2560319
75836,2560328
75836,10995
75836,11320
45631,2759411
45631,2798290
45631,2759402
45631,2759403
45631,2759404
45631,2759405
45631,2759413
45631,2759416
45631,11320
45631,183405
75839,1239437
75839,1239438
75839,1239439
75839,694014
75839,2560316
75839,2560319
75839,2560328
75839,324685
75839,2006642
75839,11320
75840,11320
75841,2560319
75841,11320
75843,2560319
75843,11320
75845,11320
75846,2560319
75846,1294114
75846,11320
75847,11320
45630,694014
45630,2592487
45630,2759408
45630,2798291
45630,2592488
45630,2592489
45630,2592491
45630,2592490
45630,11320
45630,183405
45630,183407
75852,2560319
75853,11320
8839,2169685
8839,104388
8839,1891746
8839,1511895
8839,1239437
8839,1239438
8839,1239439
8839,694014
8839,2781374
8839,11864
8839,2560316
8839,38525
8839,2560319
8839,2560322
8839,2560326
8839,38170
8839,2560328
8839,691956
8839,1496300
8839,1294109
8839,1294119
8839,1569592
8839,1496301
8839,1496299
8839,12455
8839,336959
8839,2781378
8839,2006585
8839,1897654
8839,905828
8839,130328
8839,2605442
8839,324685
8839,1843768
8839,1843769
8839,1843770
8839,1093105
8839,2781375
8839,2781376
8839,12639
8839,1400257
8839,1350001
8839,2562546
8839,2781382
8839,2810802
8839,10390
8839,146032
8839,2781379
8839,2781380
8839,2781381
8839,2202624
8839,10995
8839,11320
8839,1985386
8839,1985426
8839,1714619
8839,2170004
8839,2712699
8839,1548713
8839,11636
8839,335100
8839,64293
8839,11084
8839,70793
8839,64286
8839,11082
75854,694014
75854,2560316
75854,2560319
75854,10390
75854,11320
75854,11636
75855,12639
75856,11320
75856,11082
75857,2560319
75857,2560328
75857,2605442
75857,2562546
75857,2810801
75857,2810802
75857,2810803
75857,11320
75859,11320
45632,272636
45632,2217649
45632,694014
45632,2560316
45632,1911231
45632,2163008
45632,11320
45632,2759412
45632,2759417
45632,2759419
45632,2798286
45632,2759420
45632,2798287
45632,2798288
45632,2759406
45632,2759407
45632,2592492
45632,2798289
45632,2759415
45632,183407
75862,11320
75863,11320
1706835,11320
30325,10493
141262,979227
141262,540070
141262,10493
141262,1093104
7936,1420600
7936,150286
7936,1300113
7936,1941417
7936,11002
7936,1980916
7936,1914568
7940,638660
7937,150286
7937,1743015
7937,2748307
7937,2748305
7937,2748308
7937,11002
7937,712037
7939,2175116
7939,150286
7939,11002
7939,1662286
7939,1689168
7939,43763
7938,1300113
51900,77856
51900,12455
51900,50294
51900,1548713
178882,2560319
141892,2609873
141892,2609869
28377,1585653
28377,1458867
38893,1342749
38893,1342750
38937,2303005
38937,2303006
38937,2303007
38937,2303008
38937,2303009
38937,2303010
38937,2303011
