Phylum,Class,Order,Family,Genus,Species
Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Bream circovirus
Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Sprivivirus,Sprivivirus cyprinus
Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Cyprinivirus,Cyprinid herpesvirus
Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Cyprinivirus,Cyprinid herpesvirus 3
,,,Birnaviridae,Aquabirnavirus,Infectious pancreatic necrosis virus
Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Sprivivirus,Sprivivirus esox
Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Vesiculovirus,Pike fry-like rhabdovirus
Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,Andes orthohantavirus
Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Lymphocystivirus,Lymphocystis disease virus 1
Cressdnaviricota,,,,,Acanthis flammea CRESS-DNA-virus sp.
Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,,Parvoviridae sp.
Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Whataroa virus
Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,,Beihai yellowfin seabream calicivirus
Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Megalocytivirus,Infectious spleen and kidney necrosis virus
Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Novirhabdovirus,Novirhabdovirus hirame
Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Novirhabdovirus,Novirhabdovirus piscine
Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Atadenovirus,Death adder adenovirus
Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Atadenovirus,Passerine adenovirus 1
Kitrinoviricota,Magsaviricetes,Nodamuvirales,Nodaviridae,Betanodavirus,Acanthurus bariene nervous necrosis virus
Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,,Acanthurus dussumieri iridovirus
Kitrinoviricota,Magsaviricetes,Nodamuvirales,Nodaviridae,Betanodavirus,Dicentrarchus labrax encephalitis virus
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Mardivirus,Columbid alphaherpesvirus 1
Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza A virus
Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Flavivirus,West Nile virus
Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,,Accipiter gentilis Genomoviridae sp.
Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,,Accipiter gentilis parvo-like hybrid virus
Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,,Accipiter gentilis parvoviridae sp.
Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Avipoxvirus,Avipoxvirus isolate Hungary
Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Avipoxvirus,Fowlpox virus
Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Orthoavulavirus,Avian orthoavulavirus 1
Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Avastrovirus,Chicken astrovirus
Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,Alphapolyomavirus,Alphapolyomavirus acelebensis
Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,Betapolyomavirus,Betapolyomavirus secacelebensis
Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,,Bat polyomavirus
Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,,Bat polyomavirus 5
Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,,Bat polyomavirus 6
Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,Coronavirus PREDICT CoV-67
Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus sp.
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,,Megabat gammaherpesvirus
Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,,Paramyxovirus IFBPV32/2012
Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,,Paramyxovirus PREDICT_PMV-93
Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,,Paramyxovirus PREDICT_PMV-95
Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,Rousettus bat coronavirus HKU9
,,,,,Wuhan astro-like virus
Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,,Acinonyx jubatus papillomavirus type 1
Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Orbivirus,African horse sickness virus
Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,Alphacoronavirus 1
Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Orbivirus,Bluetongue virus
Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Morbillivirus,Canine morbillivirus
Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Cardiovirus,Cardiovirus A
Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Protoparvovirus,Carnivore protoparvovirus 1
Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Cheetah astrovirus 1
Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus,Cowpox virus
Negarnaviricota,Ellioviricetes,Bunyavirales,Phenuiviridae,Bandavirus,Dabie bandavirus
Peploviricota,Herviviricetes,Herpesvirales,Herpesviridae,Varicellovirus,Felid alphaherpesvirus 1
Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,Vesivirus,Feline calicivirus
Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Feline immunodeficiency virus
Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,Feline leukemia virus
Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Protoparvovirus,Feline parvovirus
Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,,Feline picornavirus
Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Lambdapapillomavirus,Lambdapapillomavirus 1
Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus 2
