encoding,name,country,director,actor,vote,score,year,link
tt0111161,肖申克的救赎, 美国,弗兰克·德拉邦特,"'蒂姆·罗宾斯', '摩根·弗里曼', '鲍勃·冈顿', '威廉姆·赛德勒', '克兰西·布朗'",2684629,9.7,1994,https://movie.douban.com/subject/1292052/
tt0106332,霸王别姬, 中国大陆 ,陈凯歌,"'张国荣', '张丰毅', '巩俐', '葛优', '英达'",1991412,9.6,1993,https://movie.douban.com/subject/1291546/
tt0109830,阿甘正传, 美国,罗伯特·泽米吉斯,"'汤姆·汉克斯', '罗宾·怀特', '加里·西尼斯', '麦凯尔泰·威廉逊', '莎莉·菲尔德'",2016057,9.5,1994,https://movie.douban.com/subject/1292720/
tt0120338,泰坦尼克号, 美国 ,詹姆斯·卡梅隆,"'莱昂纳多·迪卡普里奥', '凯特·温丝莱特', '比利·赞恩', '凯西·贝茨', '弗兰西丝·费舍'",1975111,9.4,1997,https://movie.douban.com/subject/1292722/
tt0110413,这个杀手不太冷, 法国 ,吕克·贝松,"'让·雷诺', '娜塔莉·波特曼', '加里·奥德曼', '丹尼·爱罗', '彼得·阿佩尔'",2159805,9.4,1994,https://movie.douban.com/subject/1295644/
tt0118799,美丽人生, 意大利,罗伯托·贝尼尼,"'罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼', '朱斯蒂诺·杜拉诺', '赛尔乔·比尼·布斯特里克'",1237725,9.6,1997,https://movie.douban.com/subject/1292063/
tt0245429,千与千寻, 日本,宫崎骏,"'柊瑠美', '入野自由', '夏木真理', '菅原文太', '中村彰男'",2092225,9.4,2001,https://movie.douban.com/subject/1291561/
tt0108052,辛德勒的名单, 美国,史蒂文·斯皮尔伯格,"'连姆·尼森', '本·金斯利', '拉尔夫·费因斯', '卡罗琳·古多尔', '乔纳森·萨加尔'",1032649,9.6,1993,https://movie.douban.com/subject/1295124/
tt1375666,盗梦空间, 美国 ,克里斯托弗·诺兰,"'莱昂纳多·迪卡普里奥', '约瑟夫·高登-莱维特', '艾利奥特·佩吉', '汤姆·哈迪', '渡边谦'",1929049,9.4,2010,https://movie.douban.com/subject/3541415/
tt0816692,星际穿越, 美国 ,克里斯托弗·诺兰,"'马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '麦肯吉·弗依', '卡西·阿弗莱克'",1631278,9.4,2014,https://movie.douban.com/subject/1889243/
tt1028532,忠犬八公的故事, 美国 ,拉斯·霍尔斯道姆,"'理查·基尔', '萨拉·罗默尔', '琼·艾伦', '罗比·萨布莱特', '艾瑞克·阿瓦利'",1316345,9.4,2009,https://movie.douban.com/subject/3011091/
tt0120382,楚门的世界, 美国,彼得·威尔,"'金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇', '娜塔莎·麦克艾霍恩'",1550546,9.3,1998,https://movie.douban.com/subject/1292064/
tt0120731,海上钢琴师, 意大利,朱塞佩·托纳多雷,"'蒂姆·罗斯', '普路特·泰勒·文斯', '比尔·努恩', '克兰伦斯·威廉姆斯三世', '梅兰尼·蒂埃里'",1571020,9.3,1998,https://movie.douban.com/subject/1292001/
tt1187043,三傻大闹宝莱坞, 印度,拉吉库马尔·希拉尼,"'阿米尔·汗', '卡琳娜·卡普尔', '马达范', '沙尔曼·乔希', '奥米·瓦依达'",1747383,9.2,2009,https://movie.douban.com/subject/3793023/
tt0910970,机器人总动员, 美国,安德鲁·斯坦顿,"'本·贝尔特', '艾丽莎·奈特', '杰夫·格尔林', '佛莱德·威拉特', '西格妮·韦弗'",1235221,9.3,2008,https://movie.douban.com/subject/2131459/
tt0372824,放牛班的春天, 法国 ,克里斯托夫·巴拉蒂,"'让-巴蒂斯特·莫尼耶', '热拉尔·朱尼奥', '弗朗索瓦·贝莱昂', '凯德·麦拉德', '让-保罗·博奈雷'",1218707,9.3,2004,https://movie.douban.com/subject/1291549/
tt0338564,无间道, 中国香港,刘伟强,"'刘德华', '梁朝伟', '黄秋生', '曾志伟', '郑秀文'",1249185,9.3,2002,https://movie.douban.com/subject/1307914/
tt2948356,疯狂动物城, 美国,拜伦·霍华德,"'金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴', '珍妮·斯蕾特', '内特·托伦斯'",1773039,9.2,2016,https://movie.douban.com/subject/25662329/
tt0114996,大话西游之大圣娶亲, 中国香港 ,刘镇伟,"'周星驰', '吴孟达', '朱茵', '蔡少芬', '蓝洁瑛'",1433204,9.2,1995,https://movie.douban.com/subject/1292213/
tt2070649,熔炉, 韩国,黄东赫,"'孔刘', '郑有美', '金贤秀', '郑仁絮', '白承焕'",872348,9.3,2011,https://movie.douban.com/subject/5912992/
tt0051201,控方证人, 美国,比利·怀尔德,"'泰隆·鲍华', '玛琳·黛德丽', '查尔斯·劳顿', '埃尔莎·兰彻斯特', '约翰·威廉姆斯'",485195,9.6,1957,https://movie.douban.com/subject/1296141/
tt0068646,教父, 美国,弗朗西斯·福特·科波拉,"'马龙·白兰度', '阿尔·帕西诺', '詹姆斯·肯恩', '理查德·卡斯特尔诺', '罗伯特·杜瓦尔'",893326,9.3,1972,https://movie.douban.com/subject/1291841/
tt0454921,当幸福来敲门, 美国,加布里埃莱·穆奇诺,"'威尔·史密斯', '贾登·史密斯', '坦迪·牛顿', '布莱恩·豪威 ', '詹姆斯·凯伦'",1422830,9.2,2006,https://movie.douban.com/subject/1849031/
tt1675434,触不可及, 法国,奥利维埃·纳卡什,"'弗朗索瓦·克鲁塞', '奥玛·希', '安娜·勒尼', '奥德雷·弗勒罗', '约瑟芬娜·德·摩'",1008292,9.3,2011,https://movie.douban.com/subject/6786002/
tt0817177,怦然心动, 美国,罗伯·莱纳,"'玛德琳·卡罗尔', '卡兰·麦克奥利菲', '瑞贝卡·德·莫妮', '安东尼·爱德华兹', '约翰·马奥尼'",1709788,9.1,2010,https://movie.douban.com/subject/3319755/
tt0096283,龙猫, 日本,宫崎骏,"'日高法子', '坂本千夏', '糸井重里', '岛本须美', '北林谷荣'",1182242,9.2,1988,https://movie.douban.com/subject/1291560/
tt0093389,末代皇帝, 英国 ,贝纳尔多·贝托鲁奇,"'尊龙', '陈冲', '邬君梅', '彼得·奥图尔', '英若诚'",802916,9.3,1987,https://movie.douban.com/subject/1293172/
tt2380307,寻梦环游记, 美国,李·昂克里奇,"'安东尼·冈萨雷斯', '盖尔·加西亚·贝纳尔', '本杰明·布拉特', '阿兰娜·乌巴赫', '芮妮·维克托'",1531882,9.1,2017,https://movie.douban.com/subject/20495023/
tt0468569,蝙蝠侠：黑暗骑士, 美国 ,克里斯托弗·诺兰,"'克里斯蒂安·贝尔', '希斯·莱杰', '艾伦·艾克哈特', '迈克尔·凯恩', '玛吉·吉伦哈尔'",986496,9.2,2008,https://movie.douban.com/subject/1851857/
tt0110081,活着, 中国大陆 ,张艺谋,"'葛优', '巩俐', '姜武', '牛犇', '郭涛'",773383,9.3,1994,https://movie.douban.com/subject/1292365/
tt0241527,哈利·波特与魔法石, 美国 ,克里斯·哥伦布,"'丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特', '艾伦·瑞克曼', '玛吉·史密斯'",1080010,9.2,2001,https://movie.douban.com/subject/1295038/
tt0167260,指环王3：王者无敌, 美国 ,彼得·杰克逊,"'伊利亚·伍德', '西恩·奥斯汀', '维果·莫腾森', '奥兰多·布鲁姆', '伊恩·麦克莱恩'",746318,9.3,2003,https://movie.douban.com/subject/1291552/
