Virus,VirusTaxID
bream circovirus,1494919
carp sprivivirus,696863
pike fry-like rhabdovirus,219585
andes orthohantavirus,1980456
acanthis flammea cress-dna-virus sp.,2815018
parvoviridae sp.,1940570
beihai yellowfin seabream calicivirus,2116165
infectious spleen and kidney necrosis virus,180170
hirame novirhabdovirus,1980915
death adder adenovirus,1104499
passerine adenovirus 1,2779174
acanthurus bariene nervous necrosis virus,670523
acanthurus dussumieri iridovirus,670555
dicentrarchus labrax encephalitis virus,45475
columbid alphaherpesvirus 1,93386
influenza a virus,11320
west nile virus,11082
accipiter gentilis genomoviridae sp.,2814937
accipiter gentilis parvo-like hybrid virus,2794564
accipiter gentilis parvoviridae sp.,2794463
avipoxvirus isolate hungary,1294100
avian orthoavulavirus 1,2560319
chicken astrovirus,336959
acerodon celebensis polyomavirus 1,1891717
acerodon celebensis polyomavirus 2,1891757
mamastrovirus sp.,1912147
megabat gammaherpesvirus,1986399
paramyxovirus ifbpv32/2012,1170370
paramyxovirus predict_pmv-93,2711112
paramyxovirus predict_pmv-95,2711114
rousettus bat coronavirus hku9,694006
wuhan astro-like virus,2116423
acinonyx jubatus papillomavirus type 1,2358483
carnivore protoparvovirus 1,1511906
cheetah astrovirus 1,526120
cowpox virus,10243
dabie bandavirus,2748958
feline calicivirus,11978
feline immunodeficiency virus,11673
feline parvovirus,10785
lambdapapillomavirus 1,181667
acipenser iridovirus-european,1851774
acipenserid herpesvirus 2,320884
european sturgeon nucleo-cytoplasmatic large dna virus,1867819
siberian sturgeon herpesvirus,577567
shortnose sturgeon virus,1676984
acipenserid herpesvirus 1,320883
bc white sturgeon virus,1302811
sturgeon ichtadenovirus a,691958
gabek phlebovirus,2734448
"acomys herpesvirus svms 226,222",1032406
rodent paramyxovirus lr10-62,1383924
rodent paramyxovirus lr11-113,1383925
rodent hepacivirus,1281454
unidentified reptarenavirus,1654823
siadenovirus sp.,2671519
tick-borne encephalitis virus,11084
sandjimba virus,380432
sedlec orthobunyavirus,2846173
acropoma japonicum iridovirus,670556
acropoma japonicum nervous necrosis virus,670524
aegithalos caudatus cress-dna-virus sp.,2815021
aegithalos caudatus genomoviridae sp.,2814943
aegithalos caudatus parvoviridae sp.,2794464
cygnus atratus chaphamaparvovirus,2794485
picornavirales sp.,1955153
picornaviridae sp.,1530251
riboviria sp.,2585031
totiviridae sp.,1955172
rabies lyssavirus,11292
foot-and-mouth disease virus,12110
impala herpesvirus 1,299474
